#	HDIC Project
#	Integrated Database of Hanzi Dictionaries in Early Japan
#
#	SYP: Songben Yupian database
#
#	Version: 1.0.36
#	Date: 20 October 2015
#	Last update : 27 March 2019
#
#	Copyright (c) 2014-2017 HDIC project, IKEDA Shoju (Chair)
#	LI Yuan (Person in Charge)
#	Department of Linguistic Sciences, Hokkaido University Graduate School of Letters
#	North 10, West 7, Kita-ku Sapporo, Hokkaido, 060-0810 Japan
#	Contact: hdic_info@let.hokudai.ac.jp
#
#	Feel free to copy and distribute.
#	Send bug reports and feature requests via email.
#
#	TSV Format information:
#
#	SYID	: Book, leaf, recto-verso, line and number (Zecuntang edition)
#	SY_vol_radical	: Volume and radical number
#	SY_radical	: Radical of Chinese character
#	Entry		: Headword
#	Entry_original	: Original headword (option)
#	UCShex		: Numeric character reference in hexadecimal format
#	SY_def		: Definition of pronunciation, meaning and variant(s)
#	KSY_diff	: Differences of SYID with Kunaicho Shoryobu edition
#	SY_remarks	: Editor's notes
#
#   References
#   ----------
#   臧克和著, 中古漢字流變, 華東師範大學出版社, 2008. Zang Kehe, Zhong gu Han zi liu bian, Shanghai : Hua dong shi fan da xue chu ban she, 2008.
#
#   Primary Sources
#   ---------------
#   Songben Yupian 宋本玉篇. 
#       宮内廳書陵部藏本(南宋版) 大廣益會玉篇 (box 515, no.106, photographic images).
#       澤存堂本：〔梁〕顧野王著, 大廣益會玉篇, 北京：中華書局, 1987.
#
#	This work was supported by JSPS KAKENHI Grant Number 25370506, 16H03422.
#
SYID	SY_vol_radical	SY_radical	Entry	Entry_original	UCShex	SY_def	KSY_diff
a065b083	v7#76	足	跽		&#x8DFD;	奇几切。擎跽曲拳也。	
a065b084	v7#76	足	踄		&#x8E04;	蒲故蒲各二切。蹈也。	
a065b091	v7#76	足	踧		&#x8E27;	達的切。《説文》云：行平易也。《詩》云：踧踧周道。又子六切。	
a065b092	v7#76	足	躣		&#x8EA3;	渠俱切。《説文》云：行皃。《楚辭》云：右蒼龍之躣躣。	
a065b101	v7#76	足	踖		&#x8E16;	子石切。踧踖也。	
a065b102	v7#76	足	躤		&#x8EA4;	在亦切。踐也。亦作踖。	
a065b103	v7#76	足	𨄚		&#xD860;&#xDD1A;	七羊切。行皃。	
a065b104	v7#76	足	蹡		&#x8E61;	同上。	
a065b105	v7#76	足	躡		&#x8EA1;	女涉切。登也。《説文》云：蹈也。	
a065b106	v7#76	足	踽		&#x8E3D;	九禹區禹二切。獨行皃。《詩》曰：獨行踽踽。	
a066a011	v7#76	足	䠪		&#x482A;	他卵切。踐處也。又行速也。	
a066a012	v7#76	足	䟔		&#x47D4;	芳付切。趣越皃。亦作赴。	
a066a013	v7#76	足	踰		&#x8E30;	與俱切。《詩》云：無踰我里。踰越也。	
a066a014	v7#76	足	䟠		&#x47E0;	詡月切。走皃。	
a066a021	v7#76	足	蹐		&#x8E50;	子亦切。小步也。	
a066a022	v7#76	足	蹻		&#x8E7B;	渠略居略二切。《説文》曰：舉足行髙也。《詩》云：小子蹻蹻。	
a066a023	v7#76	足	躩		&#x8EA9;	丘縛居縛二切。足躩也。	
a066a024	v7#76	足	𨁀		&#xD860;&#xDC40;	舒育切。疾也。	
a066a031	v7#76	足	蹌		&#x8E4C;	七羊切。《説文》曰：動也。《書》云：鳥獣蹌蹌。相率舞也。	
a066a032	v7#76	足	躋		&#x8E8B;	子兮切。登也。	
a066a033	v7#76	足	踊		&#x8E0A;	俞冢切。跳也。《左氏傳》云：曲踊三百。	
a066a034	v7#76	足	跧		&#x8DE7;	莊攣切。《説文》云：蹴也。一曰卑也、絭也。	
a066a041	v7#76	足	躍		&#x8E8D;	余灼切。跳躍也。《詩》云：踊躍用兵。	
a066a042	v7#76	足	蹵		&#x8E75;	七六子六二切。蹴蹋也。	
a066a043	v7#76	足	蹴		&#x8E74;	同上。	
a066a044	v7#76	足	蹋		&#x8E4B;	徒闔切。踐也。	
a066a045	v7#76	足	蹈		&#x8E48;	徒到切。踐也。	
a066a051	v7#76	足	躔	𨇠	&#x8E94;	直連切。踐也。	
a066a052	v7#76	足	踐		&#x8E10;	慈翦切。《詩》云：籩豆有踐。踐行也。	
a066a053	v7#76	足	踔		&#x8E14;	敕卓切。跛也。踸踔跛者行。	
a066a054	v7#76	足	踸		&#x8E38;	丑甚切。踸踔。	
a066a055	v7#76	足	𧿒		&#xD85F;&#xDFD2;	同上。	
a066a061	v7#76	足	踵		&#x8E35;	之勇切。足後。《禮記》云：舉前曳踵。	
a066a062	v7#76	足	蹛		&#x8E5B;	都賴直例二切。踶也。	
a066a063	v7#76	足	䟗		&#x47D7;	時紙切。樹也。	
a066a064	v7#76	足	蹩		&#x8E69;	蒲結切。蹩𨇨旋行皃。一曰跛也。	
a066a065	v7#76	足	𨇨		&#xD860;&#xDDE8;	私列切。蹩𨇨。	
a066a071	v7#76	足	䠟		&#x481F;	大叶切。䠟足也。	
a066a072	v7#76	足	蹢		&#x8E62;	丈隻切。蹢躅行不進。又都歴切。蹄也。	
a066a073	v7#76	足	躑		&#x8E91;	丈隻切。亦躑躅。	
a066a074	v7#76	足	躅		&#x8E85;	馳録切。蹢躅也。	
a066a075	v7#76	足	䠱		&#x4831;	同上。	
a066a076	v7#76	足	踶		&#x8E36;	徒計切。蹋也。《莊子》云：馬怒則分背相踶。	
a066a081	v7#76	足	踤		&#x8E24;	財律切。躅也、駭也。	
a066a082	v7#76	足	䠛		&#x481B;	餘昭切。跳也。	
a066a083	v7#76	足	跳		&#x8DF3;	徒彫切。亦躑躅。《説文》：蹶也。一曰躍也。	
a066a084	v7#76	足	蹷		&#x8E77;	渠月居月居䘙三切。《説文》：僵也。一曰跳也。	
a066a091	v7#76	足	蹶		&#x8E76;	同上。	
a066a092	v7#76	足	𨇮		&#xD860;&#xDDEE;	《説文》：同上。	
a066a093	v7#76	足	䟴		&#x47F4;	之仁之刃二切。動也。	
a066a094	v7#76	足	䠧		&#x4827;	陳如切。䠧跱不前。	
a066a095	v7#76	足	䟺		&#x47FA;	補艾切。歩行獵跋也。	
a066a096	v7#76	足	𨃚		&#xD860;&#xDCDA;	他合切。𨃚趿也。	
a066a101	v7#76	足	趿		&#x8DBF;	先荅切。進足有所拾。	
a066a102	v7#76	足	跲		&#x8DF2;	渠劫居業二切。躓也。	
a066a103	v7#76	足	跇		&#x8DC7;	翼丗丑丗二切。超踰也。	
a066a104	v7#76	足	蹎		&#x8E4E;	丁千切。蹎跋也。	
a066a105	v7#76	足	跌		&#x8DCC;	徒結切。仆也。	
a066b011	v7#76	足	踼		&#x8E3C;	徒郎切。跌踼也。	
a066b012	v7#76	足	蹲		&#x8E72;	在昆切。《説文》云：踞也。	
a066b013	v7#76	足	踞		&#x8E1E;	記恕切。《大戴禮》曰：獨處而踞。踞蹲也。	
a066b014	v7#76	足	踣		&#x8E23;	蒲北匹豆二切。凡殺人者踣諸市踣僵尸也。	
a066b021	v7#76	足	跛		&#x8DDB;	布火切。跛足。又碑寄切。《國語》云：立無跛跛不正也。	
a066b022	v7#76	足	蹇		&#x8E47;	羇演切。跛也。	
a066b023	v7#76	足	蹁		&#x8E41;	蒲堅切。足不正。	
a066b024	v7#76	足	䟸		&#x47F8;	渠追切。脛肉也。一曰曲脛也。	
a066b031	v7#76	足	踒		&#x8E12;	於卧切。足跌也。	
a066b032	v7#76	足	跣		&#x8DE3;	蘇殄切。跣足。《書》曰：若跣不視地。	
a066b033	v7#76	足	跂		&#x8DC2;	⿰足虛豉切。有跂踵國其人行腳跟不著地。	
a066b034	v7#76	足	跔		&#x8DD4;	渠俱居劬二切。天寒足跔。寒凍手足跔不伸也。	
a066b041	v7#76	足	𨁉		&#xD860;&#xDC49;	口衮切。瘃足也。	字頭：原作𨁉、澤存堂本作䠅、臧同作。
a066b042	v7#76	足	躧		&#x8EA7;	所倚所買二切。《説文》云：舞履也。	
a066b043	v7#76	足	蹝		&#x8E5D;	同上。	
a066b044	v7#76	足	䠍		&#x480D;	何加切。足所履也。	
a066b045	v7#76	足	䠊		&#x480A;	扶謂切。刖足也。《書》曰：䠊辟疑赦其罰倍差。亦作剕。	
a066b051	v7#76	足	𨅥		&#xD860;&#xDD65;	《字書》云：亦䠊字。	
a066b052	v7#76	足	跀		&#x8DC0;	五刮五厥二切。司𡨥掌跀罪、五百跀、斷足也。亦作刖。	
a066b053	v7#76	足	𧿁		&#xD85F;&#xDFC1;	同上。	
a066b061	v7#76	足	趽		&#x8DBD;	甫亡蒲更二切。《説文》云：曲脛馬也。	
a066b062	v7#76	足	距		&#x8DDD;	渠吕切。𨿸距也。	
a066b063	v7#76	足	趹		&#x8DB9;	古穴切。疾也。	
a066b064	v7#76	足	趼		&#x8DBC;	魚見切。《爾雅》曰：騉蹄趼。謂蹄如趼而健上山。	
a066b071	v7#76	足	躛		&#x8E9B;	禹袂切。《説文》云：䘙也。	
a066b072	v7#76	足	蹼		&#x8E7C;	補木切。《爾雅》曰：鳧鴈醜其足蹼。	
a066b073	v7#76	足	路		&#x8DEF;	吕故切。道路。	
a066b074	v7#76	足	䟷		&#x47F7;	丑厲切。踰也。	
a066b075	v7#76	足	蹙		&#x8E59;	子陸切。《詩》曰：政事愈蹙。蹙促也。	
a066b081	v7#76	足	踇		&#x8E07;	莫后切。踇偶山。	
a066b082	v7#76	足	蹜		&#x8E5C;	所陸切。《論語》曰：足蹜蹜如有循。	
a066b083	v7#76	足	𨂣		&#xD860;&#xDCA3;	亡遇切。長跪也。	
a066b084	v7#76	足	踕		&#x8E15;	才協切。足疾也。	
a066b085	v7#76	足	蹪		&#x8E6A;	徒雷切。仆也。	
a066b091	v7#76	足	蹕		&#x8E55;	比栗切。《周禮》：隷僕掌蹕宮中之事。蹕謂止行者。	
a066b092	v7#76	足	蹯		&#x8E6F;	輔袁切。熊掌也。《左氏傳》曰：宰夫胹熊蹯不熟。	
a066b093	v7#76	足	𨆌		&#xD860;&#xDD8C;	同上。	
a066b094	v7#76	足	䠯		&#x482F;	餘灼切。登也、拔也。	
a066b101	v7#76	足	躊		&#x8E8A;	直留切。躊躇也。	
a066b102	v7#76	足	躇		&#x8E87;	直於切。躊躇猶猶豫也。	
a066b103	v7#76	足	跦		&#x8DE6;	陟俱切。行皃。	
a066b104	v7#76	足	䠇		&#x4807;	渠勿切。足多力也。	
a066b105	v7#76	足	躐		&#x8E90;	艮涉切。踐也。	
a066b106	v7#76	足	跬		&#x8DEC;	羌棰切。舉一足。	
a067a011	v7#76	足	蹞		&#x8E5E;	同上。	
a067a012	v7#76	足	躄		&#x8E84;	俾亦切。跛躄不能行也。	
a067a013	v7#76	足	躁		&#x8E81;	子到切。《易》云：震爲決躁。躁動也。	
a067a014	v7#76	足	踆		&#x8E06;	且遵切。退也。	
a067a015	v7#76	足	趾		&#x8DBE;	諸市切。足也。	
a067a021	v7#76	足	蹉		&#x8E49;	采何切。蹉跎也。	
a067a022	v7#76	足	跎		&#x8DCE;	達何切。蹉跎。	
a067a023	v7#76	足	蹟		&#x8E5F;	子亦切。《詩》曰：念彼不蹟。不蹟、不循道也。	
a067a024	v7#76	足	跡		&#x8DE1;	子昔切。《左氏傳》曰：車轍馬跡焉。	
a067a025	v7#76	足	跱		&#x8DF1;	除几切。《爾雅》曰：室中謂之跱。跱上也。	
a067a031	v7#76	足	蹀		&#x8E40;	徒篋切。躞蹀。	
a067a032	v7#76	足	躞		&#x8E9E;	蘇協切。躞蹀。	
a067a033	v7#76	足	䟣		&#x47E3;	褚律切。獸跡也。《山海經》云：赤水之西流沙之東有獸、左右有首名䟣踢。	
a067a041	v7#76	足	蹊		&#x8E4A;	遐雞切。徑也。	
a067a042	v7#76	足	跗		&#x8DD7;	方俱切。《儀禮》曰：棊結于跗。跗足上也。	
a067a043	v7#76	足	趺		&#x8DBA;	同上。	
a067a044	v7#76	足	踂		&#x8E02;	女輒切。兩足不相過楚謂之踂。	
a067a045	v7#76	足	𨅔		&#xD860;&#xDD54;	才含才合二切。止也。	
a067a051	v7#76	足	躒		&#x8E92;	令的切。動也。《大戴禮》曰：騏驥一躒、不能千步。	
a067a052	v7#76	足	踉		&#x8E09;	吕唐切。踉䠙欲行皃。	
a067a053	v7#76	足	䠙		&#x4819;	蒲唐切。踉䠙。	
a067a054	v7#76	足	踳		&#x8E33;	姝允尺轉二切。踳駮色雜不同。	
a067a061	v7#76	足	蹣		&#x8E63;	薄安切。蹣跚旋行皃。	
a067a062	v7#76	足	跚		&#x8DDA;	先安切。蹣跚。	
a067a063	v7#76	足	蹮		&#x8E6E;	蘇田切。蹁蹮猶蹣跚也。	
a067a064	v7#76	足	蹃		&#x8E43;	如藥切。蹈足皃。	
a067a065	v7#76	足	𨈈		&#xD860;&#xDE08;	徒頰切。走聲也。	
a067a071	v7#76	足	跑		&#x8DD1;	蒲篤切。蹴也。又蒲包切。	
a067a072	v7#76	足	趵		&#x8DB5;	方卓切。足擊聲。	
a067a073	v7#76	足	䠡		&#x4821;	才他切。蹋聲。	
a067a074	v7#76	足	𨇃		&#xD860;&#xDDC3;	同上。	
a067a075	v7#76	足	跙		&#x8DD9;	才與切。行不進也。《太玄經》云：四馬跙跙。	
a067a081	v7#76	足	踾		&#x8E3E;	普力切。蹋地聲。	
a067a082	v7#76	足	跐		&#x8DD0;	祖解子爾二切。蹋也。	
a067a083	v7#76	足	䟟		&#x47DF;	且欲切。迫也、速也。或作促趗。	
a067a084	v7#76	足	蹨		&#x8E68;	乃殄切。蹀跡也。	
a067a085	v7#76	足	𨁏		&#xD860;&#xDC4F;	普胡切。馬蹀跡。	
a067a086	v7#76	足	跰		&#x8DF0;	補孟切。散走也。《史記》云：歳星晨出𤔡跰踵。或作𧻓。	
a067a091	v7#76	足	躂		&#x8E82;	他達切。足跌也。	
a067a092	v7#76	足	䟹		&#x47F9;	吕絶切。踰也。	
a067a093	v7#76	足	躟		&#x8E9F;	仁羊仁養二切。躟躟行疾皃。	
a067a094	v7#76	足	蹍		&#x8E4D;	女展切。足蹈皃。	
a067a101	v7#76	足	跁		&#x8DC1;	蒲瓦切。跁跒不肯前。	
a067a102	v7#76	足	跒		&#x8DD2;	口瓦切。跁跒。	
a067a103	v7#76	足	跈		&#x8DC8;	乃殄切。蹈也。	
a067a104	v7#76	足	𨃘		&#xD860;&#xDCD8;	阻流切。獸足。	
a067a105	v7#76	足	踥		&#x8E25;	且獵切。踥踥往來皃。	
a067a106	v7#76	足	踏		&#x8E0F;	他帀切。足著地。	
a067b011	v7#76	足	䟘		&#x47D8;	公朗切。伸脛也。	
a067b012	v7#76	足	𨄏		&#xD860;&#xDD0F;	芳昭切。輕行也。	
a067b013	v7#76	足	踡		&#x8E21;	具貟切。踡跼不伸也。	
a067b014	v7#76	足	跼		&#x8DFC;	渠足切。踡跼。	
a067b015	v7#76	足	𧾻		&#xD85F;&#xDFBB;	渠幼切。𧾻䠗蹌行皃。	
a067b021	v7#76	足	䠗		&#x4817;	丘幼切。𧾻䠗。	
a067b022	v7#76	足	𨁹		&#xD860;&#xDC79;	餘斂切。疾趨也。	
a067b023	v7#76	足	䠈		&#x4808;	他忽切。蹂也。	
a067b024	v7#76	足	䟧		&#x47E7;	達堅切。蹋地聲。	
a067b025	v7#76	足	躘		&#x8E98;	吕恭切。躘蹱小兒行皃。	
a067b026	v7#76	足	蹱		&#x8E71;	職凶切。躘蹱。	
a067b031	v7#76	足	跉		&#x8DC9;	力呈切。跉䟓行皃。	
a067b032	v7#76	足	䟓		&#x47D3;	丑丁切。跉䟓。	
a067b033	v7#76	足	蹖		&#x8E56;	舒庸切。蹋也。	
a067b034	v7#76	足	䠐		&#x4810;	丘役切。踞皃。	
a067b035	v7#76	足	𨂁		&#xD860;&#xDC81;	於合切。跛𨂁。	
a067b036	v7#76	足	跮		&#x8DEE;	丑利丑栗二切。跮踱乍前乍卻。	
a067b041	v7#76	足	踱		&#x8E31;	丑略切。跮踱。又田各切。	
a067b042	v7#76	足	蹔		&#x8E54;	徂濫切。不久也。與暫同。	
a067b043	v7#76	足	蹂		&#x8E42;	仁柳切。踐也。	
a067b044	v7#76	足	䟡	䟗	&#x47E1;	丁戾切。蹋也。	字頭：藏云、按：對照《名義》、《宋本》此字字形應為“䟡”、原字聲符為“氐”、傳刻有誤。
a067b045	v7#76	足	踓		&#x8E13;	千水切。蹵也。亦趡字。	
a067b051	v7#76	足	䠢		&#x4822;	莫仲切。䠢𧽒疲行皃。	
a067b052	v7#76	足	躝		&#x8E9D;	六安切。踰也。	
a067b053	v7#76	足	𨄐		&#xD860;&#xDD10;	子采切。走皃。	
a067b054	v7#76	足	踃		&#x8E03;	先聊切。跳踃。	
a067b055	v7#76	足	𨆪		&#xD860;&#xDDAA;	丘盛切。足行皃。	
a067b056	v7#76	足	䠆		&#x4806;	仗良切。東郡謂跪曰䠆。䠆𨂣拜也。	
a067b061	v7#76	足	䠘		&#x4818;	普計切。偶也。	
a067b062	v7#76	足	䠋		&#x480B;	補爾切。古髀字。股外也。	
a067b063	v7#76	足	䠣		&#x4823;	先卷切。罥獸足罔。	
a067b064	v7#76	足	𩕎		&#xD865;&#xDD4E;	閭几切。古文履。踐也、禮也。	
a067b071	v7#76	足	踁		&#x8E01;	何定切。腳踁。與脛同。	
a067b072	v7#76	足	蹭		&#x8E6D;	七亘切。蹭蹬。	
a067b073	v7#76	足	𨄔		&#xD860;&#xDD14;	時兖切。腓腸也。正作腨。	
a067b074	v7#76	足	𨁈		&#xD860;&#xDC48;	胡唐切。獸迹。與迒同。	
a067b075	v7#76	足	𨂰		&#xD860;&#xDCB0;	丑世切。渡也。	
a067b081	v7#76	足	䟾		&#x47FE;	徴劣切。跳也。	
a067b082	v7#76	足	蹸		&#x8E78;	吕振切。蹸轢也。	
a067b083	v7#76	足	躙		&#x8E99;	同上。	
a067b084	v7#76	足	𧿂		&#xD85F;&#xDFC2;	何諫切。脛骨也。與骭同。	
a067b085	v7#76	足	跤		&#x8DE4;	苦交切。脛也。亦作骹。	
a067b086	v7#76	足	𨆁		&#xD860;&#xDD81;	他殄切。行皃。	
a067b091	v7#76	足	跕		&#x8DD5;	都牒他協二切。跕屣也。	
a067b092	v7#76	足	踹		&#x8E39;	都館市兖二切。足跟也。	
a067b093	v7#76	足	蹤		&#x8E64;	子龍切。跡也。	
a067b094	v7#76	足	跆		&#x8DC6;	達來切。蹋跆也。	
a067b095	v7#76	足	𨄅		&#xD860;&#xDD05;	去俱切。跛行也。	
a067b096	v7#76	足	跜		&#x8DDC;	女時切。躨跜虯龍動皃。出《靈光殿賦》。	
a067b101	v7#76	足	躨		&#x8EA8;	渠追切。躨跜。	
a067b102	v7#76	足	踈		&#x8E08;	色魚切。慢也。	
a067b103	v7#76	足	踟		&#x8E1F;	直知切。踟躕行不進也。	
a067b104	v7#76	足	躕		&#x8E95;	直朱切。踟躕。	
a067b105	v7#76	足	𨁺		&#xD860;&#xDC7A;	舉愚切。足冷痛。	
a068a011	v7#76	足	𨂠		&#xD860;&#xDCA0;	相俞切。足行也。	
a068a012	v7#76	足	踚		&#x8E1A;	力迍切。行也。	
a068a013	v7#76	足	𨃟		&#xD860;&#xDCDF;	步般切。𨃟跚跛行皃。	
a068a014	v7#76	足	跘		&#x8DD8;	同上。	
a068a015	v7#76	足	䠕		&#x4815;	千來切。	
a068a016	v7#76	足	𨃤		&#xD860;&#xDCE4;	口交切。脛也。	
a068a017	v7#76	足	𨀕		&#xD860;&#xDC15;	曲王切。𨀕躟行遽也。	
a068a021	v7#76	足	䟕		&#x47D5;	策涉切。踏。	
a068a022	v7#76	足	䠓		&#x4813;	七由切。行皃。	
a068a023	v7#76	足	𨀜		&#xD860;&#xDC1C;	他紅切。走皃。	
a068a024	v7#76	足	𨁃		&#xD860;&#xDC43;	他兮切。𨁃蹋。	
a068a025	v7#76	足	𨇱		&#xD860;&#xDDF1;	布眠切。行不正。	
a068a026	v7#76	足	𨇤		&#xD860;&#xDDE4;	相然切。行。	
a068a027	v7#76	足	𨀛		&#xD860;&#xDC1B;	在䰟切。踞。	
a068a031	v7#76	足	𨁆		&#xD860;&#xDC46;	式延切。行。	
a068a032	v7#76	足	蹺		&#x8E7A;	去堯切。舉足。	
a068a033	v7#76	足	跠		&#x8DE0;	羊脂切。跠踞。	
a068a034	v7#76	足	跏		&#x8DCF;	古牙切。結跏坐。	
a068a035	v7#76	足	𨁋		&#xD860;&#xDC4B;	都婁切。跌。	
a068a036	v7#76	足	踜		&#x8E1C;	魯登切。蹶也。	
a068a037	v7#76	足	𨂃		&#xD860;&#xDC83;	步登切。走。	
a068a041	v7#76	足	𨁊		&#xD860;&#xDC4A;	士今切。蹏蹟停水。	
a068a042	v7#76	足	𨅣		&#xD860;&#xDD63;	巨皎切。行。	
a068a043	v7#76	足	𨀘		&#xD860;&#xDC18;	寺羊切。趨行。	
a068a044	v7#76	足	𨅏		&#xD860;&#xDD4F;	魯甘切。急行。	
a068a045	v7#76	足	𨁶		&#xD860;&#xDC76;	烏賈切。行不正。	
a068a046	v7#76	足	𧿆		&#xD85F;&#xDFC6;	蒲郎切。	
a068a051	v7#76	足	䠑		&#x4811;	去弭切。足開皃。	a068a047
a068a052	v7#76	足	跓		&#x8DD3;	直主切。勇足。	a068a051
a068a053	v7#76	足	𨆇		&#xD860;&#xDD87;	丑犯切。跂足。	a068a052
a068a054	v7#76	足	䟨		&#x47E8;	密云切。踔。	a068a053
a068a055	v7#76	足	跥		&#x8DE5;	都果他果二切。行皃。	a068a054
a068a056	v7#76	足	踴		&#x8E34;	與恐切。跳躍也。	a068a055
a068a057	v7#76	足	𪘏		&#xD869;&#xDE0F;	測角切。齒相近聲。又初六切。謹慎皃。	a068a056
a068a061	v7#76	足	䠀		&#x4800;	尺兩切。踞也。	a068a061
a068a062	v7#76	足	𧿹		&#xD85F;&#xDFF9;	莫后切。大拇指。	a068a062
a068a063	v7#76	足	踠		&#x8E20;	於遠切。曲腳也。	a068a063
a068a064	v7#76	足	䠏		&#x480F;	葵涙切。足。	a068a064
a068a065	v7#76	足	𨄉		&#xD860;&#xDD09;	初産切。騎馬。	a068a065
a068a071	v7#76	足	躓		&#x8E93;	知利切。跲也。	a068a066
a068a072	v7#76	足	趶		&#x8DB6;	苦故切。	a068a071
a068a073	v7#76	足	跢		&#x8DE2;	丁泰切。倒也。又丁佐切。小兒行皃。	a068a072
a068a074	v7#76	足	𨂱		&#xD860;&#xDCB1;	胡困切。	a068a073
a068a075	v7#76	足	𨂡		&#xD860;&#xDCA1;	則候切。蹋𨂡也。	a068a074
a068a076	v7#76	足	𨄋		&#xD860;&#xDD0B;	盧候切。蹋也。	a068a075
a068a081	v7#76	足	䠨		&#x4828;	昌占切。馬急行。	a068a076
a068a082	v7#76	足	𨃔		&#xD860;&#xDCD4;	牛幼切。跛行。	a068a081
a068a083	v7#76	足	䟛		&#x47DB;	匹貝切。又蒲末切。急行皃。	a068a082
a068a084	v7#76	足	𨀖		&#xD860;&#xDC16;	户愛切。急行。	a068a083
a068a085	v7#76	足	𧿳		&#xD85F;&#xDFF3;	甫味切。急行皃。	a068a084
a068a086	v7#76	足	𨇆		&#xD860;&#xDDC6;	落帶切。跛行也。	a068a085
a068a091	v7#76	足	𨅎		&#xD860;&#xDD4E;	七外切。行皃。	a068a086
a068a092	v7#76	足	䟻		&#x47FB;	徒故切。不履也。	a068a091
a068a093	v7#76	足	𧿵		&#xD85F;&#xDFF5;	古狎切。行聲。	a068a092
a068a094	v7#76	足	𨂫		&#xD860;&#xDCAB;	他各切。𨂫弛。亦作跅。	a068a093
a068a095	v7#76	足	𨁽		&#xD860;&#xDC7D;	多則切。行皃。	a068a094
a068a096	v7#76	足	𨅗		&#xD860;&#xDD57;	彼律切。走皃。	a068a095
a068a101	v7#76	足	蹗		&#x8E57;	（二同。力谷切。又力玉切。行皃。）	a068a096
a068a102	v7#76	足	䟿		&#x47FF;	二同。力谷切。又力玉切。行皃。	a068a097
a068a103	v7#76	足	䟯		&#x47EF;	苦活切。蹵也。	a068a101
a068a104	v7#76	足	蹘		&#x8E58;	力交切。走。	a068a102
a068a105	v7#76	足	踘		&#x8E18;	九六其六二切。踘蹋也。	a068a103
a068a106	v7#76	足	𧿻		&#xD85F;&#xDFFB;	九六切。足也。	a068a104
a068a107	v7#76	足	𧿷		&#xD85F;&#xDFF7;	魚曲切。行不正。	a068a105
a068b011	v7#76	足	𨂭		&#xD860;&#xDCAD;	徒沃切。行不正。	a068a106
a068b012	v7#76	足	𨀙		&#xD860;&#xDC19;	許吉切。行。	a068b011
a068b013	v7#76	足	蹫		&#x8E6B;	圭律切。跛皃。	a068b012
a068b014	v7#76	足	𨆬		&#xD860;&#xDDAC;	初角切。行𨆬也。	a068b013
a068b015	v7#76	足	踛		&#x8E1B;	力竹切。翹踛也。	a068b014
a068b016	v7#76	足	蹳		&#x8E73;	普末切。行也。	a068b015
a068b017	v7#76	足	𨇂		&#xD860;&#xDDC2;	直列切。又癡列切。足。	a068b016
a068b021	v7#76	足	𧿔		&#xD85F;&#xDFD4;	女六切。行。	a068b021
a068b022	v7#76	足	䟮		&#x47EE;	父六切。行皃。	a068b022
a068b023	v7#76	足	跫		&#x8DEB;	苦紅切。蹋聲。	a068b023
a068b024	v7#76	足	𨂢		&#xD860;&#xDCA2;	子力切。蹙也。	a068b024
a068b025	v7#76	足	跨		&#x8DE8;	苦瓦切。又苦化切。越也。	a068b025
a068b026	v7#76	足	跋		&#x8DCB;	步末切。跋𨇨行皃。	a068b026
a068b031	v7#76	足	蹬		&#x8E6C;	徒亘切。蹭蹬。	a068b027
a068b041	v7#77	疋	疋		&#x758B;	山居山慮二切。《說文》云：足也。上象腓腸、下从止。《弟子職》曰：問疋何止。古文以𤔡《詩・大疋》字。亦以𤔡足字。一曰疋、記也。	a068b031
a068b051	v7#77	疋	𤴙		&#xD853;&#xDD19;	山於切。門戶青䟽䆫也。	a068b041
a068b052	v7#77	疋	𤕟		&#xD851;&#xDD5F;	山於切。𤕟通也、達也。《月令》云：其器𤕟以達。今作䟽。	a068b042
a068b053	v7#77	疋	𤴟		&#xD853;&#xDD1F;	之世切。姓也。王莽時有𤴟惲。	a068b043
a068b061	v7#78	乖	𠦬		&#xD842;&#xDDAC;	公懷切。𠦬背吕。今作乖。	a068b051
a068b062	v7#78	乖	𦟝		&#xD859;&#xDFDD;	子亦切。背𦟝也。今作脊。	a068b052
a068b063	v7#78	乖	傘		&#x5098;	音散。蓋也。	a068b053
a068b064	v7#78	乖	𦶎		&#xD85B;&#xDD8E;	苦媧切。𦶎斜也。	a068b054
a068b071	v7#79	骨	骨		&#x9AA8;	古没切。《說文》曰：肉之覈也。	
a068b072	v7#79	骨	髑		&#x9AD1;	徒木切。髑髏頭也。	
a068b073	v7#79	骨	髏		&#x9ACF;	力侯切。髑髏。	
a068b074	v7#79	骨	髃		&#x9AC3;	牛口切。《說文》曰：肩前也。	
a068b081	v7#79	骨	髆		&#x9AC6;	補各切。《說文》曰：肩甲也。	
a068b082	v7#79	骨	髀		&#x9AC0;	補爾切。又步米切。股也。	
a068b083	v7#79	骨	骿		&#x9ABF;	步田切。骿脅也。	
a068b084	v7#79	骨	髁		&#x9AC1;	口卧口禾二切。髀骨。又胡瓦切。	
a068b091	v7#79	骨	𩪜		&#xD866;&#xDE9C;	渠月切。臀骨也。	
a068b092	v7#79	骨	髖		&#x9AD6;	苦官苦昆二切。髀上。	
a068b093	v7#79	骨	髕		&#x9AD5;	蒲忍切。膝端也。《大戴禮》曰：人生朞而髕。	
a068b094	v7#79	骨	䯏		&#x4BCF;	光末切。骨端也。	
a068b095	v7#79	骨	䯣		&#x4BE3;	丘愧切。膝脛閒骨。	
a068b101	v7#79	骨	骹		&#x9AB9;	苦交切。脛也。《爾雅》曰：馬四骹皆白驓。	
