#	HDIC Project
#	Integrated Database of Hanzi Dictionaries in Early Japan
#
#	SYP: Songben Yupian database
#
#	Version: 1.0.2
#	Date: 20 October 2015
#	Last update : 24 October 2015
#
#	Copyright (c) 2014-2015 HDIC project, IKEDA Shoju (Chair)
#	LI Yuan (Person in Charge)
#	Department of Linguistic Sciences, Hokkaido University Graduate School of Letters
#	North 10, West 7, Kita-ku Sapporo, Hokkaido, 060-0810 Japan
#	Contact: hdic_info@let.hokudai.ac.jp
#
#	Feel free to copy and distribute
#	Send bug reports and feature requests via email
#
#	CSV Format information:
#
#	SYID	: Book, leaf, a(recto) or b(verso), line and number (Zecuntang edition)
#	SY_vol_radical	: Volume and radical number
#	SY_radical	: Chinese character of radical 
#	Entry		: Headword
#	Entry_original	: Original headword (option)
#	UCShex		: Numeric character reference in hexadecimal format
#	SY_def		: Definition of pronunciation, meaning and variant(s)
#	KSY_diff	: Differences of SYID with Kunaicho Shoryobu edition
#	SY_remarks	: Editor's notes
#
#	This work was supported by JSPS KAKENHI Grant Number 25370506.
#
SYID	SY_vol_radical	SY_radical	Entry	Entry_original	Unicode	SY_def	KSY_diff
a039a023	v4#36	頁	䫆		U+4AC6	視盈切。頸也。	
a039a024	v4#36	頁	頏		U+980F	戶郞切。《詩傳》云：飛而下曰頏。又苦浪切。咽也。	
a039a031	v4#36	頁	頔		U+9814	徒激切。好也。	
a039a032	v4#36	頁	𩒰		U+294B0	五柯切。或爲俄。	
a039a033	v4#36	頁	𩒕		U+29495	五舌切。面醜也。	
a039a034	v4#36	頁	頝		U+981D	口交切。頝薄、不媚也。	
a039a035	v4#36	頁	預		U+9810	餘據切。宴也、樂也。	
a039a036	v4#36	頁	𩑟		U+2945F	丘耽切。醜也。	
a039a041	v4#36	頁	𩒯		U+294AF	丘飲切。醜皃。	
a039a042	v4#36	頁	𩖆		U+29586	牛飲切。𩒯𩖆醜皃。	
a039a043	v4#36	頁	䫦		U+4AE6	公盍切。頷車骨也。	
a039a044	v4#36	頁	䫖		U+4AD6	丑甚切。䫖䫴愞劣皃。	
a039a045	v4#36	頁	䫴		U+4AF4	距錦切。䫖䫴。又怒也。	
a039a051	v4#36	頁	𩑹		U+29479	胡絹切。顋後也。	
a039a052	v4#36	頁	䫂		U+4AC2	丁可切。醜皃。	
a039a053	v4#36	頁	顁		U+9841	都定切。題顁也。	
a039a054	v4#36	頁	𩕏		U+2954F	蒲何切。《說文》：與皤同。老人白也。	
a039a055	v4#36	頁	𩑶		U+29476	戶吾切。牛頷垂也。與胡同。	
a039a061	v4#36	頁	𩒺		U+294BA	扶武切。頰骨也。	
a039a062	v4#36	頁	𩑛		U+2945B	甫越切。《說文》：古髮字。	
a039a063	v4#36	頁	𩔚		U+2951A	於紅切。頸毛也。亦作翁。	
a039a064	v4#36	頁	𩖀		U+29580	五各切。嚴敬也。	
a039a065	v4#36	頁	𩔁		U+29501	呼憒切。面肥皃。《聲類》：頮字。謂洗面也。	
a039a071	v4#36	頁	䫳		U+4AF3	達祿切。《埤蒼》云：䫳䫫、頭骨。	
a039a072	v4#36	頁	䫫		U+4AEB	呂侯切。䫳䫫。	
a039a073	v4#36	頁	䫉		U+4AC9	孟教切。容也、咢也、見也。《說文》：與皃同。	
a039a074	v4#36	頁	頕		U+9815	丁甘切。頰緩也。或儋字。	
a039a081	v4#36	頁	𩕖		U+29556	先全切。圓面也。亦作𡈣。	
a039a082	v4#36	頁	𩖎		U+2958E	霍肱切。《字書》云：惛也。或作𠐿。	
a039a083	v4#36	頁	頌		U+980C	與恭切。形容也。又似用切。歌其盛德。《禮》：爲人臣、頌而無諂。	
a039a091	v4#36	頁	𩔜		U+2951C	籀文。	
a039a092	v4#36	頁	顯		U+986F	虛典切。《詩》云：天維顯思。顯光也。又見也、明也、覿也、著也。	
a039a093	v4#36	頁	䫢		U+4AE2	思移切。䫢靚、頭不正也。	
a039a094	v4#36	頁	𩓨		U+294E8	子庭切。䫢靚。	
a039a101	v4#36	頁	𩔊		U+2950A	助轉切。《說文》曰：選具也。或爲僎。古文作選。	
a039a102	v4#36	頁	𩒿		U+294BF	莫邦切。頭也。	
a039a103	v4#36	頁	䪹		U+4AB9	普眉切。大面。	
a039a104	v4#36	頁	䫛		U+4ADB	胡鉤切。䫛䫗、言不正也。	
a039b011	v4#36	頁	䫗		U+4AD7	胡加切。䫛䫗。	
a039b012	v4#36	頁	𩒾		U+294BE	五孤切。大頭也。	
a039b013	v4#36	頁	頹		U+9839	徒回切。頰下。	
a039b014	v4#36	頁	䪳		U+4AB3	余準切。面不平也。	
a039b015	v4#36	頁	𩑖		U+29456	胡官切。	
a039b016	v4#36	頁	頳		U+9833	丑盈切。赤也。本作赬䞓。	
a039b021	v4#36	頁	顋		U+984B	息來切。頰顋。	
a039b022	v4#36	頁	顢		U+9862	莫安切。顢頇、大面。	
a039b023	v4#36	頁	頇		U+9807	許安切。顢頇。又五旦切。頭無髮頇頟也。	
a039b024	v4#36	頁	𩑏		U+2944F	渠公切。	
a039b031	v4#36	頁	䫜		U+4ADC	於交切。頭凹也。	
a039b032	v4#36	頁	𩓟		U+294DF	口咸切。鶼鵮也。	
a039b033	v4#36	頁	䫚		U+4ADA	古花切。短頭也。	
a039b034	v4#36	頁	𩒏		U+2948F	呼塊切。大首也。	
a039b035	v4#36	頁	𩔸		U+29538	（上：鳥鉤切。下：奴兜切。面折。）	
a039b036	v4#36	頁	𩒔		U+29494	上：鳥鉤切。下：奴兜切。面折。	
a039b037	v4#36	頁	顃		U+9843	徒含切。又余占切。面長也。	
a039b041	v4#36	頁	䭭		U+4B6D	舒酉切。人初產子。	
a039b042	v4#36	頁	䫩		U+4AE9	桑感切。動頭也。	
a039b043	v4#36	頁	䫬		U+4AEC	諸甚切。低頭皃。	
a039b044	v4#36	頁	䫲		U+4AF2	火感切。動首。	
a039b045	v4#36	頁	頧		U+9827	都雷切。或作追。母追冠名。	
a039b051	v4#36	頁	𩔂		U+29502	徒困切。𩔂顐禿。	
a039b052	v4#36	頁	顐		U+9850	五困切。禿也。	
a039b053	v4#36	頁	𩑰		U+29470	他嬾切。面平也。	
a039b054	v4#36	頁	頃		U+9803	去穎切。田百畝爲頃。	
a039b055	v4#36	頁	𩕳		U+29573	奴頂切。頂𩕳也。	
a039b061	v4#36	頁	𩑳		U+29473	丘檢切。𩑳顩、不平也。	
a039b062	v4#36	頁	𩒐		U+29490	昌旨切。面大也。	
a039b063	v4#36	頁	𩒘		U+29498	尺勇切。充也。	
a039b064	v4#36	頁	𩑙		U+29459	他頂切。	
a039b065	v4#36	頁	頮		U+982E	荒佩切。洗面也。	
a039b066	v4#36	頁	䪿		U+4ABF	（二同。息進切。頂門也。）	
a039b067	v4#36	頁	顖		U+9856	二同。息進切。頂門也。	
a039b071	v4#36	頁	䪻		U+4ABB	薄變切。冠名。	
a039b072	v4#36	頁	顂		U+9842	力載切。顂蒙也。	
a039b073	v4#36	頁	𩑵		U+29475	勿沸切。面前也。	
a039b074	v4#36	頁	𩕐		U+29550	（二同。力弔切。顟顤頭長皃。）	
a039b075	v4#36	頁	顟		U+985F	二同。力弔切。顟顤頭長皃。	
a039b076	v4#36	頁	䪷		U+4AB7	火豆切。勤也。	
a039b081	v4#36	頁	䫘		U+4AD8	胡割切。又呼割切。健皃。	
a039b082	v4#36	頁	䫄		U+4AC4	丑滑切。強皃。	
a039b083	v4#36	頁	𩓝		U+294DD	蒲結切。𩓝䫔短皃。	
a039b084	v4#36	頁	頙		U+9819	初貞切。正也。	
a039b085	v4#36	頁	𩔳		U+29533	爭索切。頭不正。	
a039b091	v4#36	頁	䫷		U+4AF7	（二同。音愕。面高皃。）	
a039b092	v4#36	頁	顎		U+984E	二同。音愕。面高皃。	
a039b093	v4#36	頁	𩓪		U+294EA	力篤切。𩓪項也。	
a039b094	v4#36	頁	順		U+9806	食潤切。從也。	
a039b095	v4#36	頁	頖		U+9816	剖半切。《禮記》曰：頖宮。亦作泮。	
a039b096	v4#36	頁	䫈		U+4AC8	七錦切。皃醜。	
a039b101	v4#37	頻	頻		U+983B	毗賔切。《詩》云：國步斯頻。頻急也。《説文》作𩔤。水厓也。人所賔附𩔤蹙不前而止也。	
a040a011	v4#37	頻	𩕘		U+29558	同上。	
a040a012	v4#37	頻	顰		U+9870	毗賔切。顰蹙、憂愁不樂之狀也。《易》：本作頻、曰頻復厲无咎。《注》謂：頻蹙之貌。	
a040a021	v4#38	𦣻	𦣻		U+268FB	舒酉切。《說文》云：人頭也。象形。	
a040a022	v4#38	𦣻	脜		U+811C	如由切。《說文》云：面和也。野王案：柔色以蘊之。是以今爲柔字。	
a040a041	v4#39	𩠐	𩠐		U+29810	舒酉切。《說文》：與𦣻同、古文首也、巛象髮、謂之鬌、鬌卽巛也。《廣雅》云：首謂之頭也。《易》曰：幹爲首。《書》云：元首起哉。元首君也。《方言》云：人之初生謂之首。又書授切。自首罪也。	
a040a051	v4#39	𩠐	首		U+9996	同上、今文。	
a040a052	v4#39	𩠐	䭬		U+4B6C	苦禮切。《周禮》：太祝、辨九拜、一曰䭬首。玄曰：首至地。今作稽。	
a040a061	v4#39	𩠐	𩠹		U+29839	諸兗切。《說文》云：截也。《廣雅》云：斷也。或剸同。	
a040a062	v4#39	𩠐	𩠛		U+2981B	餘之切。籀文頤。	
a040a063	v4#39	𩠐	𩠪		U+2982A	語間切。籀文顏。	
a040a064	v4#39	𩠐	𩠑		U+29811	都冷切。顚也。今作頂。	
a040a071	v4#39	𩠐	𩠣		U+29823	居牒切。面傍也。今作頰。	
a040a072	v4#39	𩠐	𩠖		U+29816	甫月切。古文髪。	
a040a073	v4#39	𩠐	馘		U+9998	古穫切。截耳也。《詩》云：攸馘安安。馘獲也。不服者殺而獻其首曰馘。《禮記》云：以訊馘告。鄭玄曰：所生獲及斷首者。或爲聝。	
a040a091	v4#40	𥄉	𥄊		U+2510A	古堯切。《說文》云：倒首也。賈侍中曰：謂斷首倒縣也。野王謂：縣首於木上竿頭、以肆大辠、秦刑也。	
a040a101	v4#40	𥄉	縣		U+7E23	胡涓切。《説文》云：繫也。《易》曰：縣象著明、莫大乎日月。《周禮》：小胥、掌樂縣王宮縣諸侯軒縣大夫判縣士特縣。今俗作懸。又胡絹切。《周禮》云：九夫爲井、四井爲邑、四邑爲丘、四丘爲甸、四甸爲縣。鄭玄曰：方二十里。又曰：五家爲鄰、五鄰爲里、四里爲酂、五酂爲鄙、五鄙爲縣。	
a040b021	v4#41	面	面		U+9762	彌箭切。《說文》作𠚑。顏前也。《書》云：汝無面從退有後言。《左氏傳》曰：人心之不同猶若面焉。又私覿也。《曲禮》曰：爲人子者、出必告、反必面、告面同耳。	
a040b031	v4#41	面	䩉		U+4A49	扶矩切。《說文》云：頰也。《左氏傳》曰：䩉車相依。亦作輔。	
a040b032	v4#41	面	靨		U+9768	於協切。《淮南》：靨輔在頰前則好。《楚辭》曰：靨輔奇牙。	
a040b041	v4#41	面	靦		U+9766	他典切。《詩》云：有靦面目。靦姡也。又靦慙皃。	
a040b042	v4#41	面	𩈍		U+2920D	《埤蒼》：同上。	
a040b043	v4#41	面	𡆎		U+2118E	《字書》：靦字。	
a040b044	v4#41	面	𩉊		U+2924A	同上。	
a040b051	v4#41	面	䩌		U+4A4C	在遙切。《說文》云：面焦枯小也。《楚辭》云：顏色䩌顇。	
a040b052	v4#41	面	䩍		U+4A4D	力小切。面白䩍䩍也。	
a040b053	v4#41	面	䩊		U+4A4A	於遠切。眉目之閒美皃。《韓詩》云：清揚䩊兮。今作婉。	
a040b061	v4#41	面	𩈵		U+29235	魯甘切。𩈵𩈻面長皃。	
a040b062	v4#41	面	𩈻		U+2923B	在咸切。𩈵𩈻。	
a040b063	v4#41	面	䩇		U+4A47	竹咸切。䩇䩂、小頭也。	
a040b064	v4#41	面	䩂		U+4A42	呼咸切。䩇䩂。	
a040b065	v4#41	面	䩆		U+4A46	側板切。䩆𩈶、老也。	
a040b071	v4#41	面	𩈶		U+29236	女板切。䩆𩈶。又慙愧也。或爲赧。	
a040b072	v4#41	面	䩋		U+4A4B	眉可切。面青皃。	
a040b073	v4#41	面	𩉙		U+29259	力可切。䩋𩉙。	
a040b074	v4#41	面	𩈣		U+29223	火含切。面紐皃。	
a040b075	v4#41	面	𩈮		U+2922E	徒弔切。𩈮習也。	
a040b076	v4#41	面	靧		U+9767	音悔。洗面也。與頮同。	
a040b081	v4#41	面	靤		U+9764	蒲皃切。面瘡也。	
a040b082	v4#41	面	蠠		U+8820	彌吉切。《爾雅》云：蠠沒、勉也。	
a040b083	v4#41	面	𩈴		U+29234	（上：鳥感切。下：倉感切。面𩈴𩈼色也。）	
a040b084	v4#41	面	𩈼		U+2923C	上：鳥感切。下：倉感切。面𩈴𩈼色也。	
a040b085	v4#41	面	𩈐		U+29210	音妹。	
a040b091	v4#41	面	䩏		U+4A4F	彌結切。面小也。	
a040b092	v4#41	面	𩈢		U+29222	音溺。愁面。	
a040b093	v4#41	面	𩈙		U+29219	音活。面小。	
a040b101	v4#42	色	色		U+8272	師力切。《書》云：施于五色。此謂采色也。《禮記》云：色容顚顚。色容厲肅。此謂人面顏色也。	
a041a011	v4#42	色	艴		U+8274	蒲沒切。《說文》曰：色艴如也。《孟子》曰：曾西艴然不悅。	
a041a012	v4#42	色	𦫛		U+26ADB	同上俗。	
a041a013	v4#42	色	艵		U+8275	普經普冷二切。《說文》云：縹色也。《楚辭》曰：玉色艵以晚顏兮。	
a041a021	v4#42	色	䒋		U+448B	於丈切。氣流皃。	
a041a022	v4#42	色	䒍		U+448D	普朗切。䒍䒎、無也。	
a041a023	v4#42	色	䒎		U+448E	莫朗切。䒍䒎。	
a041a024	v4#42	色	䒊		U+448A	（二同。許奚切。黃病色。）	
a041a025	v4#42	色	𦫬		U+26AEC	二同。許奚切。黃病色。	
a041a026	v4#42	色	靘		U+9758	千定切。靘䒌、青黑色也。	
a041a031	v4#42	色	䒌		U+448C	亡定切。靘䒌。	
a041a032	v4#42	色	赩		U+8D69	許力切。大赤色。	
a041a033	v4#42	色	艶		U+8276	羊念切。俗豔字。	
a041a041	v4#43	囟	囟		U+56DF	先進切。《說文》云：象人、頭會腦蓋也。或作顖𦞤。	
a041a042	v4#43	囟	𠙷		U+20677	古文。	
a041a043	v4#43	囟	𣬈		U+23B08	婢時切。《說文》云：人臍也、从囟、从比、取其氣所通也。	
a041a051	v4#43	囟	巤		U+5DE4	閭涉切。《說文》云：毛巤也、象髮在、卤上、及毛巤之形也。亦作鬣。	
a041a061	v4#44	𦣝	𦣝		U+268DD	以之切。《說文》云：𦣝𩔞也、象形。篆文作頤。籀文作𩠡。	
a041a062	v4#44	𦣝	巸		U+5DF8	與之切。廣𦣝也、長也。《字書》云：美也。	
a041a071	v4#44	𦣝	賾		U+8CFE	仕革切。《易》曰：聖人有以見天下之賾。賾者謂幽深難見也。	
a041a081	v4#45	亢	亢		U+4EA2	戶唐古郎二切。人頸也。又苦浪切。高也。	
a041a082	v4#45	亢	䶳		U+4DB3	弋灼切。仰也。	
a041a083	v4#45	亢	𡕬		U+2156C	下朗切。《說文》云：直頸莽𡕧。从夋。夋倨也。	
a041a091	v4#45	亢	𠿕		U+20FD5	丘召切。𠿕𧇠、不安也。	
a041a092	v4#45	亢	𧇠		U+271E0	牛召切。𠿕𧇠。	
a041a101	v4#46	鼻	鼻		U+9F3B	毗至切。《說文》云：引气自畀也。《白虎通》曰：鼻者肺之使。	
a041a102	v4#46	鼻	齃		U+9F43	鳥曷切。《說文》云：鼻莖也。與頞同。	
a041b011	v4#46	鼻	齅		U+9F45	喜宥切。《說文》云：以鼻就臭也。《論語》曰：三齅而作。亦作嗅。	
a041b012	v4#46	鼻	鼽		U+9F3D	渠牛切。《月令》云：人多鼽嚏。《說文》云：病寒鼻塞也。	
a041b013	v4#46	鼻	𪖖		U+2A596	或鼽字。	
a041b021	v4#46	鼻	鼾		U+9F3E	下旦切。卧息也。	
a041b022	v4#46	鼻	齂		U+9F42	呼介切。鼻息也。	
a041b023	v4#46	鼻	齆		U+9F46	鳥貢切。鼻病也。	
a041b024	v4#46	鼻	𪖛		U+2A59B	丘救切。𪖛𪖐、仰鼻也。	
a041b025	v4#46	鼻	䶍		U+4D8D	（二同。都計切。鼻噴氣。本作嚏。）	
a041b026	v4#46	鼻	䶑		U+4D91	二同。都計切。鼻噴氣。本作嚏。	
a041b031	v4#46	鼻	𪖐		U+2A590	牛弔牛救二切。仰鼻也。	
a041b032	v4#46	鼻	齇		U+9F47	壯加切。鼻上皰也。	
a041b033	v4#46	鼻	䶏		U+4D8F	他計切。鼻𪖦。本作涕。	
a041b034	v4#46	鼻	𪖪		U+2A5AA	呼几切。卧息聲。	
a041b035	v4#46	鼻	𪖼		U+2A5BC	子心切。高鼻也。	
a041b041	v4#46	鼻	𪖨		U+2A5A8	呼洽切。𪖨齁、鼻息也。	
a041b042	v4#46	鼻	䶎		U+4D8E	同上。	
a041b043	v4#46	鼻	齁		U+9F41	火侯切。𪖨齁。	
a041b044	v4#46	鼻	𪗂		U+2A5C2	鋤咸切。鼻高皃。	
a041b045	v4#46	鼻	䶐		U+4D90	鳥快切。喘息也。	
a041b046	v4#46	鼻	鼼		U+9F3C	魚小切。鼻折也。	
a041b047	v4#46	鼻	䶌		U+4D8C	傍孝切。䶌、面瘡。	
a041b051	v4#46	鼻	鼿		U+9F3F	音兀。仰鼻。	
a041b052	v4#46	鼻	𪖡		U+2A5A1	同上。	
a041b053	v4#46	鼻	齈		U+9F48	奴東切。鼻齈也。	
a041b054	v4#46	鼻	𧗗		U+275D7	紐六切。	
a041b061	v4#47	自	自		U+81EA	疾利切。鼻也、象形。又由也、率也。	
a041b062	v4#47	自	𦣹		U+268F9	古文。	
a041b063	v4#47	自	臱		U+81F1	眉然切。不見也。	
a041b064	v4#47	自	臭		U+81ED	赤又切。惡氣息。	
a041b071	v4#47	自	臰		U+81F0	同上、俗。	
a041b081	v4#48	目	目		U+76EE	莫六切。眼目也、目者氣之精明也。《説文》云：人眼、象形。重瞳子也。	
a041b082	v4#48	目	𡇡		U+211E1	古文。	
a041b091	v4#48	目	眼		U+773C	五簡切。目也。《易》曰：其於人也、爲多白眼。	
a041b092	v4#48	目	𥃩		U+250E9	《字書》：眼字。	
a041b093	v4#48	目	䁵		U+4075	方辯切。小兒初生蔽目也。	
a041b094	v4#48	目	眩		U+7729	胡徧胡蠲二切。目無常主。《書》云：藥弗、暝眩。	
a041b101	v4#48	目	眥		U+7725	靜計切。目際也。又才賜切。	
a041b102	v4#48	目	䀹		U+4039	子葉切。目旁毛也。	
a041b103	v4#48	目	睫		U+776B	同上。	
a041b104	v4#48	目	𥌭		U+2532D	戶犬戶蠲二切。目瞳子也。	
a041b105	v4#48	目	𥌣		U+25323	同上。	
a041b106	v4#48	目	瞦		U+77A6	虛之切。目瞳子、精也。	
a042a011	v4#48	目	矏		U+77CF	莫緣切。《說文》曰：目旁也。《爾雅》曰：密也。	
a042a012	v4#48	目	𥇖		U+251D6	方巾芳微二切。大目也。	
a042a013	v4#48	目	睅		U+7745	何版切。《左氏傳》云：睅其目。出目皃也。	
a042a014	v4#48	目	瞞		U+779E	眉安切。平目也。	
a042a021	v4#48	目	䁔		U+4054	胡管切。大目眥也。又況晚切。	
a042a022	v4#48	目	睴		U+7774	公困切。大出目也。又音混。	
a042a023	v4#48	目	矕		U+77D5	馬板切。《說文》云：目矕矕也。	
a042a024	v4#48	目	睔		U+7754	古遜切。大目也。又盧本切。	
a042a031	v4#48	目	盼		U+76FC	普莧切。《詩》云：美目盼兮。謂黑白分也。	
a042a032	v4#48	目	盰		U+76F0	公旦切。目白皃。	
a042a033	v4#48	目	眅		U+7705	普板普班二切。多白眼也。	
a042a034	v4#48	目	窅		U+7A85	烏了烏苞二切。《說文》云：深目皃。	
a042a041	v4#48	目	睍		U+774D	下顯切。目出皃。《詩》云：睍睆黃鳥。	
a042a042	v4#48	目	睆		U+7746	華綰切。出目皃。	
a042a043	v4#48	目	䁺		U+407A	式赤切。視也。	
a042a044	v4#48	目	瞵		U+77B5	力辰切。《說文》云：目精也。《蒼頡篇》云：視不了也。	
a042a051	v4#48	目	矔		U+77D4	光旦切。轉目視。	
a042a052	v4#48	目	眊		U+770A	莫到莫角二切。《孟子》曰：眸子眊焉。眊不明皃。	
a042a053	v4#48	目	矘		U+77D8	他朗切。目無精直視。	
a042a054	v4#48	目	睒		U+7752	式冉切。《說文》云：暫視皃。	
a042a061	v4#48	目	眮		U+772E	大孔大貢二切。轉目視。	
a042a062	v4#48	目	䀣		U+4023	鄙利莫八二切。直視也。	
a042a063	v4#48	目	瞴		U+77B4	亡于亡禹二切。瞜瞴、微視也。	
a042a064	v4#48	目	䀘		U+4018	去倪胡圭二切。《說文》：蔽人視也。一曰直視也。	
a042a071	v4#48	目	𥅝		U+2515D	䀘目或在下。	
a042a072	v4#48	目	𥇅		U+251C5	亡限切。睌䁂目視皃。	
a042a073	v4#48	目	䁂		U+4042	音限。睌䁂。	
a042a074	v4#48	目	睨		U+7768	魚計切。《說文》云：衺視也。	
a042a075	v4#48	目	𥈆		U+25206	莫報莫六二切。低目視也、細視也。	
a042a081	v4#48	目	眓		U+7713	呼達切。視高皃。	
a042a082	v4#48	目	𢌨		U+22328	餘連切。相顧視而行也。	
a042a083	v4#48	目	䀽		U+403D	同上。	
a042a084	v4#48	目	眈		U+7708	當含切。《說文》云：視近而志遠也。	
a042a085	v4#48	目	睎		U+774E	許機切。眄望也。	
a042a091	v4#48	目	眛		U+771B	莫蓋切。目不明。	
a042a092	v4#48	目	𥈼		U+2523C	步安切。轉目視也。	
a042a093	v4#48	目	𥌊		U+2530A	匹莧切。小兒白眼。或曰視之皃。	
a042a094	v4#48	目	睘		U+7758	衢并切。目驚視。	
a042a095	v4#48	目	䁴		U+4074	止善切。《說文》云：視而止也。	
a042a101	v4#48	目	𥊳		U+252B3	同上。	
a042a102	v4#48	目	𥃳		U+250F3	休俱切。舉眼也、燕代朝鮮列水謂盧瞳子爲𥃳。	
a042a103	v4#48	目	𥅚		U+2515A	同上。	
a042a104	v4#48	目	䀛		U+401B	亡拜亡撥二切。目冥遠視。一曰久也。	
a042b011	v4#48	目	眕		U+7715	之忍切。重也。又目有所限而止。	
a042b012	v4#48	目	瞟		U+779F	匹昭切。瞟𥉻、明察。又匹小切。	
a042b013	v4#48	目	𥉻		U+2527B	戚細切。視也。又音察。	
a042b014	v4#48	目	睩		U+7769	盧谷切。視皃。	
a042b015	v4#48	目	睹		U+7779	東魯切。見也。與覩同。	
a042b021	v4#48	目	𥄳		U+25133	大合切。目相及也。	
a042b022	v4#48	目	睽		U+777D	枯攜切。乖也、目少精。	
a042b023	v4#48	目	眽		U+773D	莫革切。相視也。眽眽、姦人視也。	
a042b024	v4#48	目	眿		U+773F	同上。	
a042b025	v4#48	目	䀩		U+4029	來各來灼二切。盼也。	
a042b031	v4#48	目	𥇜		U+251DC	之閏切。謹鈍目。	
a042b032	v4#48	目	𥉈		U+25248	敕周他狄二切。失意視皃。	
a042b033	v4#48	目	瞤		U+77A4	如倫切。目動也。	
a042b034	v4#48	目	矉		U+77C9	裨身切。恨張目。	
a042b035	v4#48	目	眢		U+7722	於桓於元二切。目無明也。	
a042b041	v4#48	目	䂄		U+4084	許縛切。大視也。	
a042b042	v4#48	目	矆		U+77C6	同上。	
a042b043	v4#48	目	睢		U+7762	許隹切。睢盱視皃。又胥維切。水名。	
a042b044	v4#48	目	䀏		U+400F	胡絹切。目搖也。	
a042b045	v4#48	目	眴		U+7734	同上。	
a042b046	v4#48	目	睦		U+7766	莫六切。《書》云：九族旣睦。睦和也。	
a042b051	v4#48	目	𡻲		U+21EF2	古文。	
a042b052	v4#48	目	䁲		U+4072	莫佳切。小視也。	
a042b053	v4#48	目	瞀		U+7780	莫遘亡角二切。目不明皃。	
a042b054	v4#48	目	眱		U+7731	與脂大奚二切。《說文》云：目小視也、南楚謂眄曰眱。	
a042b061	v4#48	目	𥅣		U+25163	古眱字。	
a042b062	v4#48	目	瞻		U+77BB	諸廉切。視也。	
a042b063	v4#48	目	𥌈		U+25308	耕懺耕讒二切。視也。	
a042b064	v4#48	目	䁈		U+4048	口戾切。窺也。	
a042b065	v4#48	目	瞗		U+7797	丁𦝫切。目熟視。	
a042b066	v4#48	目	相		U+76F8	先羊切。又先亮切。《詩》云：相彼鳥矣。相視也。	
a042b071	v4#48	目	瞋		U+778B	昌眞切：《說文》云：張目也。	
a042b072	v4#48	目	𥅜		U+2515C	同上。	
a042b073	v4#48	目	睗		U+7757	式赤切。目疾視也。	
a042b074	v4#48	目	睊		U+774A	公縣切。視皃。《孟子》曰：睊睊胥讒。	
a042b081	v4#48	目	𥈾		U+2523E	一決切。目深皃。	
a042b082	v4#48	目	睼		U+777C	土系徒奚二切。迎視也。	
a042b083	v4#48	目	䁊		U+404A	一活女刮二切。目深皃。	
a042b084	v4#48	目	䁙		U+4059	烏澗烏殄二切。《說文》云：目相戲也。	
a042b091	v4#48	目	瞫		U+77AB	尸甚切。深視皃。	
a042b092	v4#48	目	眷		U+7737	古援切。眷屬。《說文》云：顧也。	
a042b093	v4#48	目	睠		U+7760	同上。	
a042b094	v4#48	目	督		U+7763	都谷切。正也。《說文》云：察也。一曰目痛也。	
a042b095	v4#48	目	看		U+770B	苦安苦案二切。睎也。	
a042b101	v4#48	目	𥉏		U+2524F	同上。	
a042b102	v4#48	目	瞚		U+779A	式閏切。目動也。《莊子》曰：終日視而不瞚。	
a042b103	v4#48	目	瞬		U+77AC	同上。	
a042b104	v4#48	目	䀢		U+4022	亦同上。《公羊傳》：郤克䀢魯、衛之使。又式荏切。	
a042b105	v4#48	目	眙		U+7719	敕吏切。《說文》云：直視也。	
a043a011	v4#48	目	盻		U+76FB	下計吾計二切。恨視也。	
a043a012	v4#48	目	𥄱		U+25131	扶未切。目不明。	
a043a013	v4#48	目	䀟		U+401F	同上。	
a043a014	v4#48	目	眝		U+771D	直旅切。張目也。	
a043a015	v4#48	目	睡		U+7761	殊惴切。坐寐也。	
a043a021	v4#48	目	瞑		U+7791	眉田切。寐也。《說文》云：翕目也。又音麫。	
a043a022	v4#48	目	眠		U+7720	同上。	
a043a023	v4#48	目	眚		U+771A	所景切。《說文》云：目病生翳也。《書》云：眚災肆赦。眚過也。	
a043a024	v4#48	目	瞥		U+77A5	匹烈切。目瞥見。	
a043a031	v4#48	目	眵		U+7735	充支切。目傷眥也。	
a043a032	v4#48	目	𥋚		U+252DA	莫結切。《說文》云：目眵也。	
a043a033	v4#48	目	䁾		U+407E	同上、俗。	
a043a034	v4#48	目	䀗		U+4017	居穴切。睊目也。	
a043a035	v4#48	目	眯		U+772F	莫禮切。物入目中。《莊子》曰：播糠眯目。	
a043a041	v4#48	目	䀶		U+4036	理尚切。目病皃。	
a043a042	v4#48	目	䁁		U+4041	同上。	
a043a043	v4#48	目	眜		U+771C	莫達切。目不明。	
a043a044	v4#48	目	瞯		U+77AF	胡間切。眄也。	
a043a045	v4#48	目	眺		U+773A	丑弔切。眺望也。	
a043a046	v4#48	目	睞		U+775E	力代切。目瞳子不正也。	
a043a051	v4#48	目	䀺		U+403A	湯勞切。眣也。	
a043a052	v4#48	目	𥃧		U+250E7	九小切。目重瞼也。	
a043a053	v4#48	目	眣		U+7723	丑乙達結二切。目不正也。	
a043a054	v4#48	目	𥄺		U+2513A	古文。	
a043a055	v4#48	目	睇		U+7747	達計切。傾視也。	
a043a056	v4#48	目	䒅		U+4485	以證大登二切。美目也。大視也。亦作⿰目眷。	
a043a061	v4#48	目	𥉆		U+25246	呂計切。視也。	
a043a062	v4#48	目	䀼		U+403C	之忍切。䀼眩懣也。	
