#   HDIC Project
#   Integrated Database of Hanzi Dictionaries in Early Japan
#
#   TSJ: Tenjibon Shinsen Jikyo database -- Full list of headwords
#   ==============================================================
#
#   Tenjibon Shinsen Jikyo 新撰字鏡, Tenji copy 天治本.
#   A complete manuscript of 1124 is held by the Imperial Household Archives.
#   Buddhist monk Shoju 昌住, c. 898-901.
#   A Hanzi (Chinese character) dictionary.
#
#   TSJ_entries.tsv
#   Version: 1.0.28
#   Date published: 23 June 2018
#   Last modified: 12 September 2019
#
#   Copyright (c) 2018-2019 HDIC project, IKEDA Shoju (Chair)
#   LI Yuan (Person in charge of text data proofreading)
#   LIU Guanwei (Person in charge of image database design and implementation)
#   Department of Linguistic Sciences, Hokkaido University Graduate School of Letters
#   North 10, West 7, Kita-ku Sapporo, Hokkaido, 060-0810 Japan
#   Contact: hdic_info@let.hokudai.ac.jp
#
#   Feel free to copy and distribute.
#   Send bug reports and feature requests via email.
#
#   TSV format information
#   ----------------------
#   SJID (svvwwxyyz)         Book(vv), leaf(ww), recto-verso(x), line(yy) and number(z)
#   SJ2ID                    For headword of two or more characters, add 'a, b, ..., n' at the end of SJID
#   SJ_Rinsen (新xxx-yz)     Page(xxx), line(y) and number(z) in Rinsen shoten edition
#   SJ_vol_radical (xx#yyy)  Volume(xx) and radical number(yyy)
#   SJ_radical               Radical of Chinese character
#   Entry                    Headword
#   Entry_original           Headword based on original image
#   SJ_sources               Yiqiejingyinyi, Qieyun, Yupian, etc. (For details, refer to the following section)
#   SJ_entry_remarks         Editor's notes
#   TBID (v_www_xyz)         Book(v), leaf(www), recto-verso(x), line(y) and number(z)
#   SYID (vwwwxyyzz)         Book(v), leaf(www), recto-verso(x), line(yy) and number(z)
#
#   Abbreviations
#   -------------
#   TB: Tenrei Bansho Meigi 篆隸萬象名義, Kosanji copy 高山寺本
#   SY: Songben Yupian 宋本玉篇, Zecuntang edition 澤存堂本
#   SJ: Shinsen Jikyo 新撰字鏡, Tenji copy 天治本
#   KW: Shinsen Jikyo 新撰字鏡, Kyowa print 享和本
#
#   SJ_sources
#   ----------
#   Yiqiejingyinyi related parts 一切經音義部分
#    一切經音義: Yiqiejingyinyi related items 一切經音義引用項目
#    一切經音義N: Non-Yiqiejingyinyi related items 非一切經音義項目
#
#   Qieyun related parts 切韻引用部分
#    切韻A: Qieyun A, four tones noted as a whole, with the title of Qieyun. 四声一括注記。有切韻書名。e.g., 已上卅八字平聲…已上上々聲…已上去聲…已上出自切韻.
#    切韻B: Qieyun B, four tones noted as a whole, without the title of Qieyun. 四声一括注記。無切韻書名。e.g., 以上入聲…次去聲…次上聲…次平聲…已上四聲了.
#    切韻C: Qieyun C, even (level; 平) tone noted as a whole, while rising (上) tone, departing (going; 去) tone, and entering (checked; 入) tone noted under fanqie, without the title of Qieyun. 平声一括注記。有上・去・入声注記，在反切之下。無切韻書名。
#    切韻D: Qieyun D, four tones noted under fanqie, without the title of Qieyun. Items mentioned above are all Qieyun related parts. 有四声注記，在反切之下。無切韻書名。以上，切韻引用条目。
#    切韻N: Non-Qieyun related items 非切韻引用項目
#
#   Yupian related parts 玉篇引用部分
#    玉篇: Yupian related items 玉篇引用項目
#    玉篇N: Non-Yupian related items 非玉篇引用項目
#
#   Other parts 其他部分
#    出所不詳: Unidentified parts, unknown sources
#    辨別不能: Unseparated parts, mixed sources
#    爾雅: Erya
#    本草: Herbal book 本草木，本草草，本草鳥
#    小學篇: Shōgakuhen, a dictionary of Kokuji (Chinese characters created in Japan)
#    臨時雜要字: Rinjizōyōji, a daily dictionary of Sino-Japanese words in early Japan
#    添加項目: Additional items by people of later times
#
#   References
#   ----------
#   Sakakura Atsuyosi 阪倉 篤義. 1967. Shinsen jikyō no saikentō: Kyōwabon o chūshin ni 新撰字鏡の再檢討―享和本を中心に―. In Yamada Tadao 山田 忠雄 (ed.), Honpō jishoshi ronsō 本邦辭書史論叢, 359—392. Tokyo :Sanseidō 三省堂.
#   Ueda Tadashi 上田 正. 1981. Shinsen jikyō no Setsuin bubun ni tsuite [On quotations from Qieyun in the Shinsen jikyō] 新撰字鏡の切韻部分について. Kokugogaku 127. 13—20.
#   Ueda Tadashi 上田 正. 1984. Setsuin itsubun no kenkyū [A study of fragments of the Qieyun] 切韻逸文の研究. Tokyo: Kyūko shoin 汲古書院.
#   Ueda Tadashi 上田 正. 1986. Gyokuhen hansetsu sōran [A complete list of fanqie in the original Yupian] 玉篇反切總覽. Kobe: Private edition.
#   Sadakari Itoku 貞苅 伊徳. 1998. Shinsen jikyō no kenkyū [A study of Shinsen jikyō] 新撰字鏡の研究. Tokyo: Kyūko shoin 汲古書院.
#
#   Primary Sources
#   ---------------
#   Yuanben Yupian 原本玉篇. Tōhō bunka sōsho dairoku 東方文化叢書第六, Tokyo: Tōhō bunka gakuin, 1932
#   Songben Yupian 宋本玉篇. Kunaichō shoryōbu zō Daikō ekikai Gyokuhen 宮内廳書陵部藏大廣益會玉篇 (box 515, no.106, photographic images).
#   Tenreibanshōmeigii 篆隸萬象名義.Kōsanji shiryō sōsho 高山寺資料叢書 6, Tokyo: Tokyo daigaku shuppankai, 1977.
#   Shinsenjikyō 新撰字鏡. Tenjibon Shinsen jikyō revised edition 天治本新撰字鏡增訂版, Kyoto: Rinsen shoten, 1973
#   Ruijumyōgishō 類聚名義抄 (Zushoryōbon 圖書寮本). Zushoryōbon Ruiju myōgishō 圖書寮本類聚名義抄, Tokyo: Kunaichō Shoryōbu, Insatsu benridō, 1950.
#   Ruijumyōgishō 類聚名義抄 (Kanchi'inbon 觀智院本). Tenri toshokan zenbon sōsho washo no bu 天理圖書館善本叢書和書之部33, Tokyo: Yagi shoten, 1976.
#
#   Acknowledgments
#   ---------------
#   We are grateful to the Imperial Household Archives 宮内廳書陵部 for permission to publish the decipherment text of TSJ.
#   This work was supported by JSPS KAKENHI Grant Number 25370506, 16H03422.
#
SJID	SJ2ID	SJ_Rinsen	SJ_vol_radical	SJ_radical	Entry	Entry_original	SJ_source	SJ_entry_remarks	TBID	SYID
s0304a401	s0304a401	新157-41	v3#29	疒部第廿九	痛	◯	切韻A		3_073_B42	b008a051
s0304a402	s0304a402	新157-42	v3#29	疒部第廿九	痹	◯	切韻A		3_076_A21	b008b052
s0304a403	s0304a403	新157-43	v3#29	疒部第廿九	疿	◯	切韻A			b010a071
s0304a404	s0304a404	新157-44	v3#29	疒部第廿九	疰	◯	切韻A			
s0304a405	s0304a405	新157-45	v3#29	疒部第廿九	瘱	◯	切韻A			
s0304a501	s0304a501	新157-51	v3#29	疒部第廿九	瘛	◯	切韻A		3_077_A51	b009a024
s0304a502	s0304a502	新157-52	v3#29	疒部第廿九	痸	◯	切韻A		3_077_A52	b009a031
s0304a503	s0304a503	新157-53	v3#29	疒部第廿九	㿄	◯	切韻A		3_077_B22	b009a042
s0304a601	s0304a601	新157-61	v3#29	疒部第廿九	㿄	◯	切韻A		3_077_B22	b009a042
s0304a602	s0304a602	新157-62	v3#29	疒部第廿九	㾹	◯	切韻A		3_079_B32	b009b033
s0304a603	s0304a603	新157-63	v3#29	疒部第廿九	𤸁	◯	切韻A		3_080_B61	b009b095
s0304a604	s0304a604	新157-64	v3#29	疒部第廿九	瘽	◯	切韻A		3_073_B61	b008a055
s0304a605	s0304a605	新157-65	v3#29	疒部第廿九	㾙	◯	切韻A		3_080_B62	b009b101
s0304a701	s0304a701	新157-71	v3#29	疒部第廿九	㽹	◯	切韻A		3_078_A32	b009a074
s0304a702	s0304a702	新157-72	v3#29	疒部第廿九	㾺	◯	切韻A		3_074_B11	b010b043
s0304a703	s0304a703	新157-73	v3#29	疒部第廿九	瘹	◯	切韻A		3_080_A52	b009b072
s0304a704	s0304a704	新157-74	v3#29	疒部第廿九	療	◯	切韻A		3_077_B21	b009a041
s0304a801	s0304a801	新157-81	v3#29	疒部第廿九	癄	◯	切韻A		3_079_B22	b009b031
s0304a802	s0304a802	新157-82	v3#29	疒部第廿九	疴	◯	切韻A		3_073_B511	b008a053
s0304a803	s0304a803	新157-83	v3#29	疒部第廿九	病	◯	切韻A		3_073_B32	b008a033
s0304a804	s0304a804	新157-84	v3#29	疒部第廿九	㾭	◯	切韻A	後，有「已上去聲」。	3_080_B32	b009b085
s0304b101	s0304b101	新158-11	v3#29	疒部第廿九	疾	◯	切韻A		3_073_B31	b008a031
s0304b102	s0304b102	新158-12	v3#29	疒部第廿九	㾁	◯	切韻A		3_077_A21	b009a012
s0304b103	s0304b103	新158-13	v3#29	疒部第廿九	瘌	◯	切韻A		6_010_B52	b009a046
s0304b104	s0304b104	新158-14	v3#29	疒部第廿九	痆	◯	切韻A		3_081_A41	b010a012
s0304b201	s0304b201	新158-21	v3#29	疒部第廿九	癟	◯	切韻A		3_079_B42	b009b035
s0304b202	s0304b202	新158-22	v3#29	疒部第廿九	癧	◯	切韻A			
s0304b203	s0304b203	新158-23	v3#29	疒部第廿九	㽺	◯	切韻A		3_077_A42	b009a022
s0304b204	s0304b204	新158-24	v3#29	疒部第廿九	㿓	◯	切韻A		3_079_B12	b009b024
s0304b205	s0304b205	新158-25	v3#29	疒部第廿九	𤷾	◯	切韻A			b010b022
s0304b301	s0304b301	新158-31	v3#29	疒部第廿九	疫	◯	切韻A	後，有「已上入聲」。	3_077_B32	b009a045
s0304b302	s0304b302	新158-32	v3#29	疒部第廿九	癆	◯	玉篇		3_077_B42	b009a051
s0304b303	s0304b303	新158-33	v3#29	疒部第廿九	𤸬	◯	玉篇		3_077_B52	b009a053
s0304b304	s0304b304	新158-34	v3#29	疒部第廿九	㾅	𤴹	玉篇	字頭：原作「𤴹」。	3_077_A31	b009a014
s0304b401	s0304b401	新158-41	v3#29	疒部第廿九	𤴹	⿸疒帀	玉篇	字頭：原作「⿸疒帀」。		
s0304b402	s0304b402	新158-42	v3#29	疒部第廿九	疵	◯	玉篇		3_037_A21	b008a063
s0304b403	s0304b403	新158-43	v3#29	疒部第廿九	瘲	◯	玉篇		3_074_A32	b010b035
s0304b404	s0304b404	新158-44	v3#29	疒部第廿九	𤷇	◯	玉篇		3_074_A42	b010b024
s0304b405	s0304b405	新158-45	v3#29	疒部第廿九	𤺊	◯	玉篇		3_074_B12	△
s0304b501	s0304b501	新158-51	v3#29	疒部第廿九	疦	◯	玉篇		3_074_B22	△
s0304b502	s0304b502	新158-52	v3#29	疒部第廿九	㿙	◯	玉篇	字頭：上欄訂正。	3_074_B51	b008a075
s0304b503	s0304b503a	新158-53	v3#29	疒部第廿九	疛	◯	玉篇		3_074_B62	b008a083
s0304b504	s0304b503a	新158-54	v3#29	疒部第廿九	㿒	◯	玉篇		3_081_A62	b008a084
s0304b505	s0304b505	新158-55	v3#29	疒部第廿九	㾈	◯	玉篇		3_075_A11	b008a091
s0304b601	s0304b601	新158-61	v3#29	疒部第廿九	痀	◯	玉篇		3_075_A12	b008a092
s0304b602	s0304b602	新158-62	v3#29	疒部第廿九	瘚	◯	玉篇		3_075_A21	b008a093
s0304b603	s0304b603	新158-63	v3#29	疒部第廿九	痵	◯	玉篇		3_075_A22	b008a102
s0304b604	s0304b604	新158-64	v3#29	疒部第廿九	㿛	◯	玉篇		3_075_A42	b008a105
s0304b605	s0304b605	新158-65	v3#29	疒部第廿九	疥	◯	玉篇		3_075_A62	b008b015
s0304b701	s0304b701	新158-71	v3#29	疒部第廿九	㽱	◯	玉篇		3_075_B11	b008b021
s0304b702	s0304b702	新158-72	v3#29	疒部第廿九	𤸫	◯	玉篇		3_075_B12	b008b022
s0304b703	s0304b703	新158-73	v3#29	疒部第廿九	㽾	◯	玉篇		3_075_B22	b008b024
s0304b704	s0304b704	新158-74	v3#29	疒部第廿九	痿	◯	玉篇		3_076_A12	b008b051
s0304b801	s0304b801	新158-81	v3#29	疒部第廿九	𤺄	◯	玉篇		3_076_A42	b008b063
s0304b802	s0304b802	新158-82	v3#29	疒部第廿九	疻	◯	玉篇		3_076_A41	b008b065
s0304b803	s0304b803	新158-83	v3#29	疒部第廿九	𤼒	◯	玉篇		3_076_A61	b008b072
s0304b804	s0304b804	新158-84	v3#29	疒部第廿九	瘋	◯	玉篇	未勘。		
s0305a101	s0305a101	新159-11	v3#29	疒部第廿九	𤺆	◯	玉篇	字頭：疑即𤼌之誤。		
s0305a102	s0305a102	新159-12	v3#29	疒部第廿九	𤵧	𤵧β	玉篇	前項，疑即「𤴿」字之脱。	3_076_A621	b008b074
s0305a103	s0305a103	新159-13	v3#29	疒部第廿九	疢	◯	玉篇		3_076_B51	b008b082
s0305a104	s0305a104	新159-14	v3#29	疒部第廿九	𤵜	◯	玉篇		3_076_B511	b008b083
s0305a105	s0305a105	新159-15	v3#29	疒部第廿九	痬	□	玉篇	字頭：欠損。	3_077_A22	b009a013
s0305a201	s0305a201	新159-21	v3#29	疒部第廿九	痥	◯	玉篇		3_077_A62	b009a032
s0305a202	s0305a202	新159-22	v3#29	疒部第廿九	癙	◯	玉篇		3_078_A21	b009a073
s0305a203	s0305a203	新159-23	v3#29	疒部第廿九	瘎	◯	玉篇		3_078_A42	b009a081
s0305a204	s0305a204	新159-24	v3#29	疒部第廿九	㽸	◯	玉篇		3_078_A421	b009a082
s0305a205	s0305a205	新159-25	v3#29	疒部第廿九	瘁	◯	玉篇		3_078_A52	b009a083
s0305a301	s0305a301a	新159-31	v3#29	疒部第廿九	𬏛	◯	玉篇			
s0305a302	s0305a301a	新159-32	v3#29	疒部第廿九	瘯	◯	玉篇		3_078_A61	b009a084
s0305a303	s0305a303	新159-33	v3#29	疒部第廿九	𤼠	⿸疒䗍	玉篇	字頭：原作「⿸疒䗍」。	3_078_A62	b009a085
s0305a304	s0305a304	新159-34	v3#29	疒部第廿九	㾐	◯	玉篇		3_078_B11	b008b033
s0305a305	s0305a305	新159-35	v3#29	疒部第廿九	㾞	◯	玉篇		3_078_B32	b008a044
s0305a401	s0305a401	新159-41	v3#29	疒部第廿九	𤻂	◯	玉篇			
s0305a402	s0305a402a	新159-42	v3#29	疒部第廿九	𤺃	◯	玉篇		3_078_B52	b009a103
s0305a403	s0305a402a	新159-43	v3#29	疒部第廿九	㿁	◯	玉篇			
s0305a404	s0305a404	新159-44	v3#29	疒部第廿九	𤻵	◯	玉篇		3_078_B61	b009a104
s0305a405	s0305a405	新159-45	v3#29	疒部第廿九	𤶠	◯	玉篇		3_079_A21	b008a043
s0305a501	s0305a501	新159-51	v3#29	疒部第廿九	㾜	㾢	玉篇	字頭：原作「㾢」。	3_076_B62	b008b102
s0305a502	s0305a502	新159-52	v3#29	疒部第廿九	痠	◯	玉篇		3_079_A33	b009b013
s0305a503	s0305a503	新159-53	v3#29	疒部第廿九	㿑	◯	玉篇		3_079_A42	b009b014
s0305a504	s0305a504	新159-54	v3#29	疒部第廿九	𤸎	◯	玉篇		3_079_A51	b009b016
s0305a601	s0305a601	新159-61	v3#29	疒部第廿九	痴	◯	玉篇		3_079_A62	b009b023
s0305a602	s0305a602	新159-62	v3#29	疒部第廿九	㾻	◯	玉篇		3_079_B11	b008a042
s0305a603	s0305a603	新159-63	v3#29	疒部第廿九	痷	◯	玉篇		3_079_B31	b009b032
s0305a604	s0305a604	新159-64	v3#29	疒部第廿九	㾨	◯	玉篇		3_079_B41	b009b034
s0305a605	s0305a605	新159-65	v3#29	疒部第廿九	疓	◯	玉篇		3_079_B51	b009b041
s0305a701	s0305a701	新159-71	v3#29	疒部第廿九	𤸵	◯	玉篇		3_079_B61	b009b043
s0305a702	s0305a702	新159-72	v3#29	疒部第廿九	㿕	◯	玉篇		3_080_A12	b009b051
s0305a703	s0305a703	新159-73	v3#29	疒部第廿九	㾰	◯	玉篇		3_080_A22	b009b061
s0305a704	s0305a704	新159-74	v3#29	疒部第廿九	𤻙	◯	玉篇		3_080_A31	b009b062
s0305a801	s0305a801	新159-81	v3#29	疒部第廿九	㾾	◯	玉篇		3_080_A32	b009b063
s0305a802	s0305a802	新159-82	v3#29	疒部第廿九	𤷈	◯	玉篇		3_080_A41	b009b064*
s0305a803	s0305a803	新159-83	v3#29	疒部第廿九	㾔	◯	玉篇		3_080_A42	b009b065
s0305a804	s0305a804	新159-84	v3#29	疒部第廿九	𤸒	◯	玉篇		3_080_A51	b009b071
s0305a805	s0305a805	新159-85	v3#29	疒部第廿九	痓	◯	玉篇		3_080_A62	b009b073
s0305b101	s0305b101	新160-11	v3#29	疒部第廿九	瘂	◯	玉篇		3_080_B21	b009b082
s0305b102	s0305b102	新160-12	v3#29	疒部第廿九	⿸疒隽	◯	玉篇		3_080_B22	b009b083
s0305b103	s0305b103	新160-13	v3#29	疒部第廿九	𤺻	◯	玉篇		3_080_B22	b009b083
s0305b104	s0305b104	新160-14	v3#29	疒部第廿九	𤷃	◯	玉篇		3_080_B31	b009b084
s0305b105	s0305b105	新160-15	v3#29	疒部第廿九	⿸疒⿱土戈	◯	玉篇			
s0305b106	s0305b106	新160-16	v3#29	疒部第廿九	𤸶	◯	玉篇		3_080_B51	b009b093
s0305b201	s0305b201	新160-21	v3#29	疒部第廿九	痮	◯	玉篇		3_080_B52	b009b094
s0305b202	s0305b202	新160-22	v3#29	疒部第廿九	㾙	◯	玉篇		3_080_B62	b009b101
s0305b203	s0305b203	新160-23	v3#29	疒部第廿九	癵	◯	玉篇		3_081_A11	b009b102
s0305b204	s0305b204	新160-24	v3#29	疒部第廿九	𤵋	◯	玉篇		3_081_A12	△
s0305b301	s0305b301	新160-31	v3#29	疒部第廿九	疷	◯	玉篇		3_081_A12	
s0305b302	s0305b302	新160-32	v3#29	疒部第廿九	痊	◯	玉篇		3_081_A51	b010a035
s0305b303	s0305b303	新160-33	v3#29	疒部第廿九	𤸅	◯	玉篇		3_081_A52	b010a015
s0305b304	s0305b304	新160-34	v3#29	疒部第廿九	㿒	◯	玉篇		3_074_B63	b008a084
s0305b305	s0305b305	新160-35	v3#29	疒部第廿九	𤷀	◯	玉篇N			
s0305b401	s0305b401	新160-41	v3#29	疒部第廿九	㽵	◯	玉篇N			
s0305b402	s0305b402	新160-42	v3#29	疒部第廿九	⿸疒立	◯	玉篇N			
s0305b403	s0305b403	新160-43	v3#29	疒部第廿九	⿸疒〓	◯	玉篇N			
s0305b404	s0305b404	新160-44	v3#29	疒部第廿九	𤵼	◯	玉篇		3_081_A21	△
s0305b405	s0305b405	新160-45	v3#29	疒部第廿九	㾍	◯	玉篇		3_081_A22	b009b104
s0305b501	s0305b501	新160-51	v3#29	疒部第廿九	痌	◯	玉篇		3_081_A31	b009b105
s0305b502	s0305b502	新160-52	v3#29	疒部第廿九	㾄	◯	玉篇		3_081_A32	b010a011
s0305b503	s0305b503	新160-53	v3#29	疒部第廿九	㽴	◯	玉篇		3_081_A42	b010a013
s0305b504	s0305b504	新160-54	v3#29	疒部第廿九	癢	◯	一切經音義N		3_074_A621	b008a035
s0305b601	s0305b601	新160-61	v3#29	疒部第廿九	㿍	◯	一切經音義N			
s0305b602	s0305b602	新160-62	v3#29	疒部第廿九	㿃	◯	一切經音義		3_078_B42	b009a095
s0305b603	s0305b603	新160-63	v3#29	疒部第廿九	𤹝	◯	一切經音義	字頭：玄應一切經音義作「痺」。	3_076_A22	b008b053
s0305b701	s0305b701	新160-71	v3#29	疒部第廿九	痤	◯	一切經音義		3_075_A32	b008a103
s0305b702	s0305b702	新160-72	v3#29	疒部第廿九	痳	◯	一切經音義		3_075_B62	b008b044
s0305b703	s0305b703	新160-73	v3#29	疒部第廿九	瘜	◯	一切經音義		3_075_A53	b008b013
s0305b801	s0305b801	新160-81	v3#29	疒部第廿九	痋	◯	一切經音義		3_076_B32	b008b092
s0305b802	s0305b802	新160-82	v3#29	疒部第廿九	瘐	◯	一切經音義N		3_078_A41	b009a075
s0306a101	s0306a101	新161-11	v3#29	疒部第廿九	癘	◯	一切經音義		3_075_B42	b008b032
s0306a102	s0306a102	新161-12	v3#29	疒部第廿九	瘀	◯	一切經音義		3_074_B52	b008a082
s0306a103	s0306a103	新161-13	v3#29	疒部第廿九	𤸱	◯	一切經音義		3_076_A52	b008b064
s0306a201	s0306a201a	新161-21	v3#29	疒部第廿九	痼	◯	一切經音義		3_077_B101	b009a034
s0306a202	s0306a201a	新161-22	v3#29	疒部第廿九	㽽	◯	一切經音義		3_077_B11	b009a035
s0306a203	s0306a203b	新161-23	v3#29	疒部第廿九	痙	◯	出所不詳		3_076_B31	b008b085
s0306a204	s0306a203b	新161-24	v3#29	疒部第廿九	痙	◯	出所不詳		3_077_B51	b009a052
s0306a205	s0306a205	新161-25	v3#29	疒部第廿九	瘥	◯	出所不詳		3_077_B51	b009a052
s0306a301	s0306a301	新161-31	v3#29	疒部第廿九	𭼶	◯	出所不詳			
s0306a302	s0306a302	新161-32	v3#29	疒部第廿九	⿸疒⿱猒黑	◯	出所不詳			
s0306a303	s0306a303a	新161-33	v3#29	疒部第廿九	⿸疒⿱猒食	◯	出所不詳			
s0306a304	s0306a303a	新161-34	v3#29	疒部第廿九	𭟢	◯	出所不詳			
s0306a401	s0306a303a	新161-41	v3#29	疒部第廿九	𭼩	◯	出所不詳			
s0306a402	s0306a402	新161-42	v3#29	疒部第廿九	癤	◯	出所不詳		3_078_B62	b009a105
s0306a403	s0306a403	新161-43	v3#29	疒部第廿九	𤸑	◯	出所不詳		3_080_B12	b009b081
s0306a501	s0306a501	新161-51	v3#29	疒部第廿九	疶	◯	出所不詳			b010a103
s0306a502	s0306a502	新161-52	v3#29	疒部第廿九	𤴱	◯	出所不詳		3_079_A11	b009a107
s0306a503	s0306a503	新161-53	v3#29	疒部第廿九	痡	◯	出所不詳		3_077_A31	b008a045
s0306a504	s0306a504	新161-54	v3#29	疒部第廿九	㾖	◯	出所不詳		3_078_A12	b009a064
s0306a601	s0306a601	新161-61	v3#29	疒部第廿九	瘞	⿸疒⿱龹土	出所不詳	字頭：原作「⿸疒⿱龹土」。	1_035_B62	a015b051
s0306a602	s0306a602	新161-62	v3#29	疒部第廿九	疚	◯	出所不詳		3_078_A22	b009a071
s0306a603	s0306a603	新161-63	v3#29	疒部第廿九	痗	◯	出所不詳		3_078_A51	b009a062
s0306a604	s0306a604	新161-64	v3#29	疒部第廿九	𤺺	◯	出所不詳		3_078_B22	b010a022
s0306a605	s0306a605	新161-65	v3#29	疒部第廿九	瘵	◯	出所不詳		3_073_B62	b008a056
s0306a701	s0306a701	新161-71	v3#29	疒部第廿九	瘼	◯	出所不詳		3_074_A12	b008a062
s0306a702	s0306a702	新161-72	v3#29	疒部第廿九	癠	◯	出所不詳		3_078_B31	b009a093
s0306a703	s0306a703	新161-73	v3#29	疒部第廿九	瘕	◯	出所不詳		3_075_B41	b008b031
s0306a801	s0306a801	新161-81	v3#29	疒部第廿九	癖	◯	出所不詳		3_079_A52	b009b021
s0306a802	s0306a802	新161-82	v3#29	疒部第廿九	痟	◯	出所不詳		3_074_A51	b010a041
s0306a803	s0306a803	新161-83	v3#29	疒部第廿九	癩	◯	出所不詳			
s0306a804	s0306a804	新161-84	v3#29	疒部第廿九	癈	◯	出所不詳		3_074_A31	b010b034
s0306b101	s0306b101	新162-11	v3#29	疒部第廿九	疲	◯	出所不詳		3_077_A32	b009a021
s0306b102	s0306b102a	新162-12	v3#29	疒部第廿九	癬	◯	出所不詳		3_075_A61	b008b014
s0306b103	s0306b102a	新162-13	v3#29	疒部第廿九	㿅	⿸疒旋	出所不詳	字頭：原作「⿸疒旋」。		
s0306b201	s0306b201	新162-21	v3#29	疒部第廿九	㾯	◯	出所不詳		3_078_B41	b009a094
s0306b202	s0306b202	新162-22	v3#29	疒部第廿九	𤼐	◯	出所不詳		3_078_B21	b009a092
s0306b203	s0306b203	新162-23	v3#29	疒部第廿九	瘦	⿸疒⿱伯反	出所不詳	字頭：原作「⿸疒⿱伯反」。	3_076_B42	b008b093
s0306b204	s0306b204	新162-24	v3#29	疒部第廿九	瘦	◯	出所不詳		3_076_B42	
s0306b205	s0306b205	新162-25	v3#29	疒部第廿九	㾼	◯	出所不詳			
s0306b301	s0306b301	新162-31	v3#29	疒部第廿九	瘧	◯	出所不詳		3_075_B51	b008b041
s0306b302	s0306b302	新162-32	v3#29	疒部第廿九	𤺉	◯	出所不詳		3_074_B21	b010b044
s0306b303	s0306b303	新162-33	v3#29	疒部第廿九	瘍	◯	出所不詳		3_074_A61	b010b041
s0306b401	s0306b401	新162-41	v3#29	疒部第廿九	痒	◯	出所不詳		3_074_A62	b008a034
s0306b402	s0306b402a	新162-42	v3#29	疒部第廿九	疱	◯	一切經音義			b010a104
s0306b403	s0306b402a	新162-43	v3#29	疒部第廿九	靤	◯	一切經音義			a040b081
s0306b404	s0306b402a	新162-44	v3#29	疒部第廿九	皰	◯	一切經音義		6_118_B22	c052b063
s0306b601	s0306b601	新162-61	v3#30	言部第卅	言	◯	出所不詳		3_007_B61	a082b051
s0306b602	s0306b602a	新162-62	v3#30	言部第卅	𧥛	◯	出所不詳			a086b096
s0306b603	s0306b602a	新162-63	v3#30	言部第卅	𧥜	◯	出所不詳			a086b101
s0306b604	s0306b604	新162-64	v3#30	言部第卅	諧	◯	出所不詳		3_010_B52	a083b013
s0306b701	s0306b701	新162-71	v3#30	言部第卅	誕	◯	出所不詳		3_015_A62	a084b055
s0306b702	s0306b702	新162-72	v3#30	言部第卅	⿺延言	◯	出所不詳			
s0306b703	s0306b703	新162-73	v3#30	言部第卅	謔	◯	出所不詳	字頭：「謔」「誥」併合例。	3_015_B21	a084b062
s0306b801	s0306b801	新162-81	v3#30	言部第卅	訣	◯	出所不詳			a087a082
s0306b802	s0306b802	新162-82	v3#30	言部第卅	詰	◯	出所不詳		3_017_A62	a085a051
s0306b803	s0306b803	新162-83	v3#30	言部第卅	誥	◯	出所不詳		3_010_A31	a083a084
s0307a101	s0307a101	新163-11	v3#30	言部第卅	詭	◯	出所不詳		3_017_B21	a085a054
s0307a102	s0307a102	新163-12	v3#30	言部第卅	譖	⿰言⿳⿰天天二日	出所不詳	字頭：原作「⿰言⿳⿰天天二日」。	3_013_B41	a084a054
s0307a103	s0307a103	新163-13	v3#30	言部第卅	譛	◯	出所不詳			
s0307a104	s0307a104	新163-14	v3#30	言部第卅	誼	𧨏	出所不詳	字頭：原作「𧨏」，但，有一部欠損。「誼」之異體字。	3_011_A41	a083b033
s0307a201	s0307a201	新163-21	v3#30	言部第卅	𧦚	◯	出所不詳			
s0307a202	s0307a202	新163-22	v3#30	言部第卅	詆	◯	出所不詳		3_021_B22	a086a075
s0307a203	s0307a203	新163-23	v3#30	言部第卅	⿰言弖	◯	出所不詳	補入項。		
s0307a204	s0307a204	新163-24	v3#30	言部第卅	譺	◯	出所不詳		3_013_B22	a084a051
s0307a205	s0307a205	新163-25	v3#30	言部第卅	謚	◯	出所不詳		3_018_A322	a085a104
s0307a301	s0307a301	新163-31	v3#30	言部第卅	譸	◯	出所不詳		3_014_A12	a084a065
s0307a302	s0307a302	新163-32	v3#30	言部第卅	詶	◯	出所不詳	「詶」「詡」併合例。	3_014_A21	a084a071
s0307a401	s0307a401	新163-41	v3#30	言部第卅	譴	◯	出所不詳		3_017_A21	a085a032
s0307a402	s0307a402	新163-42	v3#30	言部第卅	話	◯	出所不詳		3_011_A11	a083b022
s0307a403	s0307a403a	新163-43	v3#30	言部第卅	譁	◯	出所不詳	傍訓「カマヒスシ」。	3_015_B62	a084b071
s0307a501	s0307a403a	新163-51	v3#30	言部第卅	𧮉	◯	出所不詳			
s0307a502	s0307a502	新163-52	v3#30	言部第卅	譮	◯	出所不詳		3_011_A12	a083b024
s0307a503	s0307a503	新163-53	v3#30	言部第卅	䛋	◯	出所不詳		3_022_B31	a087a046
s0307a504	s0307a504	新163-54	v3#30	言部第卅	謁	◯	出所不詳		3_008_A42	a082b074
