#   HDIC Project
#   Integrated Database of Hanzi Dictionaries in Early Japan
#
#   KTB: Kosanjibon Tenrei Bansho Meigi database -- Full text version
#
#   Kosanjibon Tenrei bansho meigi 篆隸萬象名義, Kosanji copy 高山寺本.
#   Buddhist monk Kukai of the Heian period 空海, c. 827-835.
#   A Hanzi (Chinese character) dictionary.
#
#   Version: 1.1.22
#   Date published: 17 September 2016
#   Last modified: 31 August 2020
#
#   Copyright (c) 2016-2020 HDIC project, IKEDA Shoju (Chair)
#   LI Yuan (Person in charge of text data proofreading)
#   LIU Guanwei (Person in charge of image database design and implementation)
#   Department of Linguistic Sciences, Hokkaido University Graduate School of Letters
#   North 10, West 7, Kita-ku Sapporo, Hokkaido, 060-0810 Japan
#   Contact: hdic_info@let.hokudai.ac.jp
#
#   Feel free to copy and distribute.
#   Send bug reports and feature requests via email.
#
#   TSV Format information:
#   TBID (v_www_xyz)          Book(v), leaf(www), recto-verso(x), line(y) and number(z)
#   TB_vol_radical (xx#yyy)   Volume(xx) and radical number(yyy)
#   TB_radical                Radical of Chinese character 
#   Entry                     Headword
#   Entry_type                For details, refer to the following section
#   Entry_diff                Differences of transliteration with other scholars
#   TB_def                    Definition of pronunciation, meaning and variant(s)
#   SYID (vwwwxyyz)           Book(v), leaf(www), recto-verso(x), line(yy) and number(z)
#   YYID (Ywwxxxyyy-z)        Volume(ww), leaf(xxx), line(yyy) and number(z)
#   TB_remarks                Editor's notes
#   Lv_page                   Zhuan li wan xiang ming yi jiao shi 篆隸萬象名義校釋
#   Zang_page                 Zhong gu Han zi liu bian 中古漢字流變
#
#   Entry_type:
#   Group a   --- Regular headword
#   1 Regular                 隸書掲出字 (= Regular_clerical)
#   2 Regular_seal            隸書掲出字 篆書併存
#
#   Group b -- Embedded headword
#   3 Embedded_clerical       埋字 隸書字體
#   4 Embedded_omitted        埋字 脫落
#   5 Embedded_seal           埋字 篆書字體
#
#   Group c -- Omitted headword
#   6 Omitted                 脫字 項目全體 脫落
#   7 Omitted_regular         脫字 隸書掲出字 脫落
#
#   Group d -- Variant of the Songben Yupian
#   8 Songben-Yupian          宋本《玉篇》增補之異體字
#
#   cf. Li 2015.
#   ＊6 Omitted               項目全體脱落
#                            《説文解字》、《玉篇》殘卷・佚文、《新撰字鏡》玉篇引用部分等，本文存
#
#   Abbreviations:
#   TB: Tenrei Bansho Meigi 篆隸萬象名義, Kosanji copy 高山寺本
#   YY: Yuanben Yupian 原本玉篇, fragments of vol.8, 9, 18, 19, 22, 24 and 27
#   SY: Songben Yupian 宋本玉篇, Zecuntang edition 澤存堂本
#
#   (白藤|白): Shirafuji's transliteration 
#   (宮澤|宮): Miyazawa's transliteration
#   (上田|上): Ueda's transliteration
#   呂: Lv's transliteration
#   臧: Zang's transliteration
#
#   References:
#   Shirafuji Noriyuki 白藤禮幸, An Index of Headwords in the Tenrei Bansho Meigi 掲出字索引, Materials from Ancient Glossaries in the Kosanji Temple Collection 1 高山寺古辭書資料第一, Tokyo: Uiversity of Tokyo Press 東京大学出版会, 1977.
#   Miyazawa Toshimasa 宮澤俊雅, A List of Headwords with Notes in the Tenrei Bansho Meigi 掲出字一覽表, Materials from Ancient Glossaries in the Kosanji Temple Collection 1 高山寺古辭書資料第一, Tokyo: University of Tokyo Press 東京大学出版会, 1977.
#   Ueda Tadashi 上田正, A Complete List of Fanqie in the Original Yupian 玉篇反切總覽, Kobe: Private edition, 1986.
#   Lv Hao 呂浩, Zhuan li wan xiang ming yi jiao shi: A Transliteration and Text-critical Notes 篆隸萬象名義校釋, Shanghai: Xuelin Press 學林出版社, 2007.
#   Zang Kehe 臧克和, Zhong gu Han zi liu bian 中古漢字流變, Shanghai : Hua dong shi fan da xue chu ban she 華東師範大學出版社, 2008.
#   Li Yuan 李媛, Embedded and Omitted Headword: Issues Regarding Entry Counts in Tenrei-Bansho-Meigi 埋字と脫字―篆隸象名義の掲出字數をめぐる問題―, Kuntengo to Kunten-Shiryo 訓點語と訓點資料 135: 60-78, 2015.
#
#   Acknowledgments:
#   We are grateful to Kosanji Temple authorities Ogawa Chie (the previous chief priest) and Ishizuka Harumichi (the representative director) for permission to publish the decipherment text of KTB.
#   This work was supported by JSPS KAKENHI Grant Number 25370506, 16H03422.
#
TBID	TB_vol_radical	TB_radical	Entry	Entry_type	Entry_diff	TB_def	SYID	YYID	TB_remarks	Lv_page	Zang_page
2_045_A52-Shirafuji	v6#67	手	摷	Regular	白		a062a014		宋本《玉篇》	93	461
2_045_A61	v6#67	手	打	Regular		丁冷反。捂也，揰也，撃也。	△			93	#N/A
2_045_A62	v6#67	手	𢲼	Regular		徒結反。擿也。	a062a021			93	461
2_045_B11	v6#67	手	抁	Regular		弋撰反。動也，揣也，消也。	a062a015		弋：原作“戈”，誤。	93	461
2_045_B111	v6#67	手	𢯻	Songben-Yupian		#	a062a016			93	461
2_045_B12	v6#67	手	捖	Regular		胡官反。摶也，圓也。	a062a022			93	461
2_045_B21	v6#67	手	撦	Regular		充野反。開也。	a062a023			94	461
2_045_B22	v6#67	手	㨋	Regular		諸野反。掍也，撃也，揩也。	a062a024			94	461
2_045_B31	v6#67	手	搩	Regular		渠列反。強暴也。	a062a031			94	461
2_045_B32	v6#67	手	𢶍	Regular		先圖反。破物聲也。	a062a032			94	461
2_045_B41	v6#67	手	𢷷	Regular		竹略反。置也，擊也。	a062a034			94	462
2_045_B42	v6#67	手	𢺃	Regular		公殄反。拭面也。	a062a035			94	462
2_045_B421	v6#67	手	挸	Omitted		Omitted	a062a036			94	462
2_045_B51	v6#67	手	捏	Regular		乃結反。捺，搦，摷也。	a062a042			94	462
2_045_B51-Miyazawa	v6#67	手	揑	Regular	宮		a062a042			94	462
2_045_B52	v6#67	手	捺	Regular		乃曷反。搦摷。	a062a043			94	462
2_045_B61	v6#67	手	㩩	Regular		悟潁反。竟也。	a062a044			94	462
2_045_B62	v6#67	手	撨	Regular		先釣反。推也，擇也，振⿰言卆(訊)也。	a062a033			94	461
2_046_A11	v6#67	手	㩵	Regular		五曷反。撨也，擊也，摧也。	a062a045			94	462
2_046_A12	v6#67	手	揌	Regular		先才反。動也，振訊。	a062a046			94	462
2_046_A21	v6#67	手	𢫷	Regular		乃果反。摘也。	a062a051			94	462
2_046_A22	v6#67	手	摒	Regular		卑政反。除也。	a063b035			94	475
2_046_A221	v6#67	手	𢷒	Songben-Yupian		#	a062a052			94	462
2_046_A221-Miyazawa	v6#67	手	扼	Regular	宮		a062a052			94	462
2_046_A31	v6#67	手	扴	Regular		公八反。刮也。	a062a053			94	462
2_046_A32	v6#67	手	𢯳	Regular		㘝劣反。枯(拈)也。	a062a054			94	462
2_046_A32-Shirafuji	v6#67	手	㿱	Regular	白		a062a054			94	462
2_046_A41	v6#67	手	擔	Regular		丁甘反。擧也，負也。	a062a055			94	462
2_046_A42	v6#67	手	㧔	Regular		公快反。擾也，訬也，獪也。	a062a056			94	463
2_046_A51	v6#67	手	摌	Regular		所限反。以手㧡物也。	a063b063			94	476
2_046_A51-Miyazawa	v6#67	手	搧	Regular	宮		a063b063			94	476
2_046_A52	v6#67	手	拍	Regular		莫格反。撃也，搏也，𢮁也。	a062a061		宋本《玉篇》	94	463
2_046_A52-Miyazawa	v6#67	手	𢫦	Regular	宮		a062a061			94	463
2_046_A61	v6#67	手	抳	Regular		女几反。止也。	a062a062			94	463
2_046_A62	v6#67	手	扑	Regular		普木反。杖也，捶也，枝也。	a062a063			94	463
2_046_B11	v6#67	手	㨟	Regular		下哀反。觸也。	a062a064			94	463
2_046_B12	v6#67	手	掋	Regular		丁弟反。擿也，拒也。	a062a065			94	463
2_046_B21	v6#67	手	挱	Regular		素何反。酌也，捫也，摸也。	a062a066		呂作抄。	94	463
2_046_B21-Shirafuji	v6#67	手	抄	Regular	白		a062a066			94	463
2_046_B22	v6#67	手	搷	Regular		徒年反。揚也，引也。	a062a071			94	463
2_046_B31	v6#67	手	𢪍	Regular		子一反。擿也。	a062a072		《新撰字鏡》次項有「擮　上字」。	94	463
2_046_B311	v6#67	手	擮	Omitted		Omitted	a063b074			94	477
2_046_B32	v6#67	手	𢪎	Regular		火戈反。撝也。	a062b095			94	469
2_046_B41	v6#67	手	㩇	Regular		呼馘反。裂聲也。	△			94	#N/A
2_046_B42	v6#67	手	㨊	Regular		弋捶反。棄也，揰也。	a063a073		弋：原作“戈”，誤。	94	472
2_046_B51	v6#67	手	㧆	Regular		几刃反。以巾䨱物也。	a062a082		几：原作“凡”，誤。	94	463
2_046_B52	v6#67	手	㨠	Regular		亡殄反。塗也。	a062a083			94	464
2_046_B61	v6#67	手	摞	Regular		力戈反。理也。	a062a084			94	464
2_046_B62	v6#67	手	撖	Regular		口㩜反。挂也，色也，包也。	a062a085		宮澤無此字。	94	464
2_047_A11	v6#67	手	挅	Regular		當果反。量也，度。	a062a091			94	464
2_047_A12	v6#67	手	䤏	Regular		皮義反。毀也，䨱也。	△			94	#N/A
2_047_A21	v6#67	手	擷	Regular		胡結反。扱也。	a062a093			94	464
2_047_A22	v6#67	手	㧶	Regular		口耕反。琴聲也。	a062a094		耕：原文誤写。	94	464
2_047_A31	v6#67	手	挽	Regular		莫遠反。引車也。	a062a101			94	464
2_047_A32	v6#67	手	𢸬	Regular		公壞反。毀也。	a062a102			95	464
2_047_A41	v6#67	手	担	Regular		丁但反。撃也。	a062a103			95	464
2_047_A42	v6#67	手	挒	Regular		呂結反。搩也，分也，擘也。	a062a104			95	464
2_047_A51	v6#67	手	擯	Regular		卑振反。棄也，導也，進也，陳也。	a062a105			95	464
2_047_A52	v6#67	手	揨	Regular		宅耕反。刺也，撞也。	a062b011			95	465
2_047_A61	v6#67	手	攅	Regular		子今反。頌也，解也。	a062a106			95	464
2_047_A62	v6#67	手	㧻	Regular		都角反。撃也，推也。	a062b012			95	465
2_047_B11	v6#67	手	𢫩	Regular		呼高反。除也，拔田草也。	a062b013			95	465
2_047_B12	v6#67	手	捂	Regular		呉故反。迎也，逆也，逐也，小柱也。	a062b014			95	465
2_047_B21	v6#67	手	拺	Regular		楚草(革)反。筞也，捶也。	a062b021			95	465
2_047_B21-Miyazawa	v6#67	手	捒	Regular	宮		a062b021			95	465
2_047_B22	v6#67	手	㩰	Regular		子紹反。截也，𢶒也。	a062b022		𢶒:《新撰字鏡》字体注。	95	465
2_047_B31	v6#67	手	抄	Regular		楚教反。鈔也，掠也，取強物也。	△			95	#N/A
2_047_B32	v6#67	手	擴	Regular		古鑊反。張弩也。	a062b023			95	465
2_047_B321	v6#67	手	㨯	Omitted		Omitted	a062b024			95	465
2_047_B41	v6#67	手	抦	Regular		鄙景反。秉字。執也，持也，抱也，操也。	a062b025			95	465
2_047_B42	v6#67	手	搥	Regular		丁迴反。擿也。推字也。	a062b026			95	465
2_047_B51	v6#67	手	揕	Regular		丁鴆反。㩒也，質也，摩也。	a062b031			95	465
2_047_B52	v6#67	手	𢳄	Regular		因絹反。縱字。長引也。	a062b032			95	466
2_047_B61	v6#67	手	㧈	Regular		餘忍反。導也，長也，陳也，覃也，彎也，牽也。	△			95	#N/A
2_047_B62	v6#67	手	攙	Regular		仕銜反。貫刺也。	a062b033			95	466
2_048_A11	v6#67	手	𢩨	Regular		苦絞反。巧伎也，工也，能也。	a062b034			95	466
2_048_A12	v6#67	手	𢫥	Regular		次延反。遷字。從也，易也，去也，往也。	a062b035			95	466
2_048_A21	v6#67	手	𢱠	Regular		先勇反。竦字也。敬也，懼也，執也，上也，跳也。	a062b041			95	466
2_048_A22	v6#67	手	㧃	Regular		舒由反。聚也，捕也。	a062b042			95	466
2_048_A31	v6#67	手	㨳	Regular		倶爲反。戴也，悶也。	a062b043			95	466
2_048_A32	v6#67	手	𢶒	Regular		古會反。牧(收)也，精也，捽也。	a062b044			95	466
2_048_A41	v6#67	手	掅	Regular		且定反。捽也。	a062b045			95	466
2_048_A42	v6#67	手	摵	Regular		子育反。到也，至也。	a062b046			95	466
2_048_A51	v6#67	手	掃	Regular		蘇道反。除也。	a062b051			95	466
2_048_A52	v6#67	手	捅	Regular		先孔反。引也，上下也，撃也。	a063b083		宋本《玉篇》	95	477
2_048_A52-Miyazawa	v6#67	手	捔	Regular	宮		a063b083			95	477
2_048_A61	v6#67	手	捧	Regular		季(孚)勇反。兩手持也。	a062b054		反切：上田作「孚勇」，張同作，呂作「季勇（疑當作奉勇反）」。	95	467
2_048_A62	v6#67	手	折	Regular		止烈反。䉼也，敗也，截也，尅也，曲也，下也。	a062b053			95	467
2_048_B11	v6#67	手	摣	Regular		子加反。取也。	a062b061			95	467
2_048_B12	v6#67	手	𢫨	Regular		如勇反。斬也。	a062b062			96	467
2_048_B21	v6#67	手	𢯼	Regular		餘忍反。布也，伸布取也。	a062b063			96	467
2_048_B22	v6#67	手	掞	Regular		餘瞻反。𧰟也，艷也。	△			96	#N/A
2_048_B31	v6#67	手	𢬴	Regular		於換反。輒拈也。	△(a058a102)			96	#N/A
2_048_B51	v6#68	𠬞	𠬞	Regular		倶龍反。竦手也。	a064a041		G20首。	96	480
2_048_B511	v6#68	𠬞	𦌤	Songben-Yupian		#	a064a051			96	481
2_048_B52	v6#68	𠬞	奉	Regular		扶拱反。承也，進也，送也，獻也，與也。	a064a052			96	481
2_048_B61	v6#68	𠬞	丞	Regular		侍陵反。承也，佐也，翊也，繼也。	a064a053		掲出字：原作■。	96	481
2_048_B62	v6#68	𠬞	奐	Regular		呼舒反。賢也，美哉。	a064a054			96	482
2_049_A11	v6#68	𠬞	弇	Regular		於儉反。蓋也，周也，䨱也，同也。	a064a055			96	482
2_049_A111	v6#68	𠬞	𢍔	Omitted		Omitted	a064a061			96	482
2_049_A12	v6#68	𠬞	睪	Regular		餘石反。繒也。繹字。	a064a064			96	482
2_049_A12-Shirafuji	v6#68	𠬞	𦌩	Regular	白		a064a064			96	482
2_049_A21	v6#68	𠬞	𢍁	Regular		渠記反。擧也，教也。	a064a071			96	482
2_049_A22	v6#68	𠬞	异	Regular		餘之反。已也，退也。	a064a072			96	482
2_049_A31	v6#68	𠬞	𢍏	Regular		記倦反。摶飯也。	a064a073			96	483
2_049_A32	v6#68	𠬞	弄	Regular		梁棟反。玩也。	a064a074			96	483
2_049_A41	v6#68	𠬞	𢌻	Regular		居陸反。兩手盛也。	a064a062			96	482
2_049_A42	v6#68	𠬞	兵	Regular		彼榮反。拭也，防也，威也，刀也。	a064a063			96	482
2_049_A51	v6#68	𠬞	戒	Regular		居薤反。洗心曰齊，防忠曰戒也，備也，警也，具也。	a064a081			96	483
2_049_A52	v6#68	𠬞	𢌳	Regular		渠追反。持也。	a064a082			96	483
2_049_A61	v6#68	𠬞	𢌱	Regular		餘擧反。黨也。	a064b021			96	485
2_049_A62	v6#68	𠬞	𩐦	Regular		乙角反。獨敖也。	a064a083			96	483
2_049_A62-Miyazawa	v6#68	𠬞	龏	Regular	宮		a064a083			96	483
2_049_B11	v6#68	𠬞	弈	Regular		餘石反。圍基也。	a064a084		基：當作棊。	96	483
2_049_B12	v6#68	𠬞	具	Regular		渠屨反。倶也，皆也，辨也，饌也，備也，材也。	a064a085			96	483
2_049_B21	v6#68	𠬞	弃	Regular		去異反。癈也，忘也。	a064a091			96	483
2_049_B22	v6#68	𠬞	㢡	Regular		子養反。助也，欲也，厲也，譽也，成。	a064a092			96	484
2_049_B31	v6#68	𠬞	弊	Regular		禆制反。䉼也，止也，惡也，疲也，决也，仆也。	a064a093			96	484
2_049_B32	v6#68	𠬞	𤼷	Regular		都曾反。登字。成升也，進也。	a064a042			96	481
2_049_B41	v6#68	𠬞	㢣	Regular		渠京反。擧也，擎也。	a064a094			96	484
2_049_B42	v6#68	𠬞	𢍎	Regular		公到反。語也，謹也。	a064a043			96	481
2_049_B51	v6#68	𠬞	𢍧	Regular		䐗利反。置字。赦也，立也。	a064a095			96	484
2_049_B52	v6#69	𠬜	𠬜	Regular		普姦反。引也，援也，變也。	a064a101			96	484
2_049_B61	v6#69	𠬜	𠮖	Regular		力令反。攀也，係也。	a064a102			97	484
2_049_B62	v6#69	𠬜	𤕩	Regular		輔園反。止也。	a064a103			97	484
2_050_A11	v6#70	舁	舁	Regular		与居反。共擧也。	a064b011			97	485
2_050_A111	v6#70	舁	𦦉	Omitted		Omitted	a064b012			97	485
2_050_A12	v6#70	舁	𠨧	Regular		且延反。升髙也，遷也，仙也。	a064b013			97	485
2_050_A12-Shirafuji	v6#70	舁	𦦉	Regular	白		a064b013			97	485
2_050_A121	v6#70	舁	𦧂	Omitted		Omitted	a064b014			97	485
2_050_A21	v6#70	舁	𠔜	Regular		苦魂反。埤(坤)也。	a064b022			97	485
2_050_A22	v6#70	舁	與	Regular		餘據反。用也，類也，奇也，數也，黨也，擧也，能也。	a064b015			97	485
2_050_A31	v6#70	舁	興	Regular		虛凝反。熾也，起也，動也，發也，生也。	a064b023			97	485
2_050_A32	v6#71	𦥑	𦥑	Regular		居陸反。叉手也。	a064b031			97	486
2_050_A401	v6#71	𦥑	要	Songben-Yupian		#	a064b032			97	486
2_050_A402	v6#71	𦥑	𦥺	Omitted		Omitted	a064b041			97	486
2_050_A41	v6#71	𦥑	𡢗	Regular		於燒反。腰也，成也，儌也，會也，召也，呼也，遮也，約也。	a064b042			97	486
2_050_A41-Shirafuji	v6#71	𦥑	要	Regular	白		a064b032			97	486
2_050_A42	v6#72	爪	爪	Regular		壯孝反。扟也，䨱手曰爪。	a064b051			97	486
2_050_A51	v6#72	爪	𤓯	Regular		諸養反。爪也，捽也。	a064b052			97	486
2_050_A52	v6#72	爪	孚	Regular		撫倶反。信也，生也，嫗也。	a064b053			97	486
2_050_A521	v6#72	爪	𤔍	Omitted		Omitted	a064b061			97	486
2_050_A61	v6#72	爪	爲	Regular		朝嬀反。使也，治也，作也，行也，敷也，有也，施也，■也，癒也。	a064b062			97	486
2_050_A62	v6#73	丮	丮	Regular		居達反。持也，据。	a064b071			97	487
2_050_A621	v6#73	丮	𠨭	Omitted		Omitted	a064b072			97	487
2_050_B11	v6#73	丮	巩	Regular		記奉反。抱也。	a064b082		隷書掲出字作「汎」，字体差。	97	487
2_050_B12	v6#73	丮	埶	Regular		魚制反。禰也，蒔也，樹也，種也，治也。執字。	a064b081			97	487
2_050_B21	v6#73	丮	孰	Regular		視鞠反。爤也，誰也，飪也。	a064b083			97	487
2_050_B22	v6#73	丮	𩛥	Regular		决戴反。辞也，始也，設食也。	a064b084			97	487
2_050_B31	v6#73	丮	谻	Regular		記逆反。相踦谻也。	a064b085			97	487
2_050_B32	v6#73	丮	𢦚	Regular		胡瓦反。擊踝也。	a064b092			97	488
2_050_B41	v6#73	丮	𦘣	Regular		竹角反。斫也，削也。齗字。	a064b093			97	488
2_050_B42	v6#73	丮	秇	Regular		朱立反。執字。慘也，拘也，持也。	a064b091			97	488
2_050_B51	v6#74	鬥	鬥	Regular		當候反。鬪也。	a064b101			97	488
2_050_B52	v6#74	鬥	鬨	Regular		胡棟反。構也，⿵鬥𠁁也。	a065a012		呂作鬬，又云“鬬”字原訛。	97	488
2_050_B52-Shirafuji	v6#74	鬥	閧	Regular	白		a065a012			97	488
2_050_B61	v6#74	鬥	鬮	Regular		居稠反。取也，闘也。	a065a015			97	489
2_050_B62	v6#74	鬥	鬭	Regular		當候反。爭也，遇也。	a064b102			97	488
2_050_B621	v6#74	鬥	鬪	Songben-Yupian		#	a065a011			97	488
2_051_A11	v6#74	鬥	𩰞	Regular		乃第反。智木少闘也。	a065a016		木：呂作小。原文虫損。當作劣歟(參看彡部弱字)。少：原文糢糊。	97	489
2_051_A12	v6#74	鬥	䰘	Regular		力周反。絞也，經繆叙也。	a065a021			97	489
2_051_A21	v6#74	鬥	𩰗	Regular		匹賓反。爭也，𩰗𩰟也。	a065a014			97	489
2_051_A22	v6#74	鬥	𩰟	Regular		訪云反。紛字。	a065a023			97	489
2_051_A221	v6#74	鬥	𩰏	Songben-Yupian		#	a065a024			97	489
2_051_A31	v6#74	鬥	鬩	Regular		呼歴反。恨也，侮也，懼也，殺也，爭也，訟也。	a065a013			97	488
2_051_A32	v6#74	鬥	𩰎	Regular		胡遍反。錘也。	a065a022			97	489
2_051_A41	v6#75	屮	屮	Regular		作可反。左手。	a065a031		呂作𠂇。	98	489
2_051_A42	v6#75	屮	卑	Regular		補支反。下也，痺也。	a065a032			98	490
2_051_A51	v6#76	又	又	Regular		有救反。復也，手也。祐音。手也。	a065a041		次行，當作「祐音。手也」。次項「右」脱。	98	490
2_051_A61	v6#76	又	厷	Regular		公弘反。左臂也。	a065a043			98	490
2_051_A611	v6#76	又	𠫔	Omitted		Omitted	a065a051			98	490
2_051_A62	v6#76	又	㕚	Regular		壯巧反。手足甲也。	a065a053			98	490
2_051_B11	v6#76	又	叉	Regular		側加反。申引也。	a065a052			98	490
2_051_B12	v6#76	又	叟	Regular		蘇后反。老也，父也，叟父也。	a065a063			98	491
2_051_B12-Miyazawa	v6#76	又	叜	Regular	宮		a065a063			98	491
2_051_B121	v6#76	又	𡨎	Omitted		Omitted	a065a071			98	491
2_051_B122	v6#76	又	父	Songben-Yupian		#	a065a055			98	491
2_051_B123	v6#76	又	𠭙	Songben-Yupian		#	a065a074			98	491
2_051_B21	v6#76	又	燮	Regular		素協反。和也，火熟也。	a065a072			98	491
2_051_B211	v6#76	又	𤍛	Songben-Yupian		#	a065a073			98	491
2_051_B22	v6#76	又	曼	Regular		無願反。長也，修廣也，美也，引也，及也，皮也，或也。	a065a062			98	491
2_051_B31	v6#76	又	尹	Regular		胡准反。正也，治也。	a065a075			98	491
2_051_B32	v6#76	又	夬	Regular		公快反。决也，分也。	a065a081			98	492
2_051_B41	v6#76	又	𠭯	Regular		俎家反。取也。摣字。	a065a082			98	492
2_051_B42	v6#76	又	㕞	Regular		所劣反。清也，涼也，拭也，利也。	a065a083			98	492
2_051_B51	v6#76	又	𠭰	Regular		力尺(尸)反。引也，亥(引)也。	a065a084			98	492
2_051_B52	v6#76	又	𠬮	Regular		作結反。治。	a065a085			98	492
2_051_B61	v6#76	又	反	Regular		非遠反。本也，難也，習也。	a065a086			98	492
2_051_B611	v6#76	又	𠬡	Omitted		Omitted	a065a091			98	492
2_051_B62	v6#76	又	及	Regular		渠立反。至也，連也，辞也，逮也。	a065a092		逮：呂作達。	98	492
2_051_B621	v6#76	又	𢎜	Omitted		Omitted	a065a093			98	492
2_052_A11	v6#76	又	秉	Regular		布景反。操也，把也，執也，持也。	a065a094			98	492
2_052_A12	v6#76	又	𠬢	Regular		勅高反。滑也。	a065a095			98	492
2_052_A21	v6#76	又	𠭥	Regular		諸芮反。祟字也。	a065a096			98	493
2_052_A22	v6#76	又	叔	Regular		舒陸反。拾也，季也。	a065a101			98	493
2_052_A31	v6#76	又	度	Regular		徒改反。量也，法也，居也，填也，摖(揆)也，就也。	a065a102			98	493
2_052_A32	v6#76	又	取	Regular		且禹反。相資受也，捕也，收也，爲也。	a065a054			98	491
2_052_A41	v6#76	又	𠬛	Regular		莫骨反。沒字。	a065a061			98	491
2_052_A411	v6#76	又	㕛	Songben-Yupian		#	a065a103			98	493
2_052_A42	v6#76	又	友	Regular		于久反。從也，受也，親也，同官也。	a065a104		友：原作支。	98	493
2_052_A421	v6#76	又	𠬺	Omitted		Omitted	a065b011			98	493
2_052_A422	v6#76	又	𦐮	Omitted		Omitted	a065b012			98	493
2_052_A51	v6#76	又	彗	Regular		蘇類反。篲字。	a065b013			98	493
2_052_A52	v6#76	又	叚	Regular		加馬反。借也，假也。	a065b014			98	493
2_052_A521	v6#76	又	𠭊	Omitted		Omitted	a065b015			98	493
2_052_A61	v6#76	又	㕟	Regular		苦恠反。息也，歎聲也	a065b016		G20尾。	98	493
2_052_B11	v7#77	足	足	Regular		子欲反。趾也，止也，滿得也，成也。	a065b061		G21首。	98	494
2_052_B21	v7#77	足	蹏	Regular		徒奚反。足下也，趼也。	a065b062			98	494
2_052_B211	v7#77	足	蹄	Songben-Yupian		#	a065b071			98	494
2_052_B22	v7#77	足	跟	Regular		古恩反。脚跟踵也。	a065b072			98	494
2_052_B31	v7#77	足	踝	Regular		胡瓦反。跟也。	a065b073			99	494
2_052_B32	v7#77	足	跖	Regular		之石反。足下石名也。	a065b074			99	494
2_052_B41	v7#77	足	跪	Regular		渠委反。跪拜也，膝行也。	a065b081			99	495
2_052_B42	v7#77	足	踦	Regular		居綺反。跂蹇也，奇也，力也，脛。	a065b082		跂：呂作跋。	99	495
2_052_B51	v7#77	足	跽	Regular		奇几反。長跪也。	a065b083			99	495
2_052_B52	v7#77	足	踧	Regular		徒的反。不進敬也。	a065b091			99	495
2_052_B61	v7#77	足	踄	Regular		蒲閣反。蹈也。	a065b084			99	495
2_052_B62	v7#77	足	躣	Regular		渠倶反。疾行也。	a065b092			99	495
2_053_A11	v7#77	足	踖	Regular		子石反。如也，長脛行也。	a065b101		如也：論語郷党「君在。踧踖如也。與與如也。」之誤引。	99	495
2_053_A12	v7#77	足	躤	Regular		似亦反。踐也，敏也。	a065b102		掲出字：誤。	99	495
2_053_A21	v7#77	足	𨄚	Regular		七羊反。集也，敬也，行也。	a065b103			99	495
2_053_A211	v7#77	足	蹡	Songben-Yupian		#	a065b104			99	495
2_053_A22	v7#77	足	踽	Regular		九羽反。獨行也。	a065b106			99	496
2_053_A31	v7#77	足	䠪	Regular		他卵反。行速也。	a066a011			99	496
2_053_A32	v7#77	足	䟔	Regular		匹付反。趣越也，赴也，至也，奔也。	a066a012			99	496
2_053_A41	v7#77	足	踰	Regular		庾倶反。越也，遙也，度也。	a066a013			99	496
2_053_A42	v7#77	足	䟠	Regular		詡月反。輕也，走也。	a066a014			99	496
2_053_A51	v7#77	足	蹐	Regular		子亦反。累足也，小歩也。	a066a021			99	496
2_053_A52	v7#77	足	蹻	Regular		渠略反。驕也，澁也，翹也，健也。	a066a022		澁：呂作𣾫。	99	496
2_053_A61	v7#77	足	躩	Regular		口篗反。如也，疾行也。	a066a023			99	496
2_053_A62	v7#77	足	跾	Regular		舒育反。疾也，長也。	a066a024			99	496
2_053_A62-Miyazawa	v7#77	足	𨁀	Regular	宮		a066a024			99	496
2_053_B11	v7#77	足	蹌	Regular		七羊反。動也，趍歩也。	a066a031			99	496
2_053_B12	v7#77	足	躋	Regular		子計反。升也，登也。	a066a032			99	497
2_053_B21	v7#77	足	踊	Regular		瑜鞏反。躍也，登也，甚也。	a066a033			99	497
2_053_B22	v7#77	足	跧	Regular		壯攣反。蹴也，伏也。	a066a034			99	497
2_053_B31	v7#77	足	躍	Regular		餘灼反。越也，迅也，上也，進也。	a066a041			99	497
2_053_B32	v7#77	足	蹵	Regular		千陸反。蹋也，躡也。	a066a042			99	497
2_053_B321	v7#77	足	蹴	Songben-Yupian		#	a066a043			99	497
2_053_B41	v7#77	足	蹋	Regular		徒闔反。履也，踶也。	a066a044			99	497
2_053_B42	v7#77	足	躡	Regular		女涉反。登也，斷(!)蹈也，履也。	a065b105		蹈：原作足臽。	99	495
2_053_B51	v7#77	足	跨	Regular		苦覇反。服也，渡也，兩股間也。	a068b025			99	517
2_053_B52	v7#77	足	蹈	Regular		徒到反。踐也，行也。	a066a045			99	497
2_053_B61	v7#77	足	躔	Regular		直連反。循也，行也，舍也。	a066a051			99	497
2_053_B62	v7#77	足	踐	Regular		詞翦反。任也，居也，厭也，升也。	a066a052			99	497
2_054_A11	v7#77	足	踔	Regular		勅卓反。蹇也，踶也，蹔也。	a066a053			99	498
2_054_A12	v7#77	足	踵	Regular		之勇反。趾也，追也，往也。	a066a061			99	498
2_054_A21	v7#77	足	蹛	Regular		都賴反。踶也，蹈也。	a066a062			99	498
2_054_A22	v7#77	足	蹩	Regular		蒲結反。婆娑行也，跛也。	a066a064			99	498
