#   HDIC Project
#   Integrated Database of Hanzi Dictionaries in Early Japan
#
#   KTB: Kosanjibon Tenrei Bansho Meigi database -- Full text version
#   =================================================================
#
#   Kosanjibon Tenrei bansho meigi 篆隸萬象名義, Kosanji copy 高山寺本.
#   Buddhist monk Kukai of the Heian period 空海, c. 827-835.
#   A Hanzi (Chinese character) dictionary.
#
#   Version: 1.0.112
#   Date published: 1 September 2016
#   Last modified: 6 April 2019
#
#   Copyright (c) 2016-2019 HDIC project, IKEDA Shoju (Chair)
#   LI Yuan (Person in charge of text data proofreading)
#   LIU Guanwei (Person in charge of image database design and implementation)
#   Department of Linguistic Sciences, Hokkaido University Graduate School of Letters
#   North 10, West 7, Kita-ku Sapporo, Hokkaido, 060-0810 Japan
#   Contact: hdic_info@let.hokudai.ac.jp
#
#   Feel free to copy and distribute.
#   Send bug reports and feature requests via email.
#
#   TSV Format information
#   ----------------------
#   TBID (v_www_xyz)          Book(v), leaf(www), recto-verso(x), line(y) and number(z)
#   TB_vol_radical (xx#yyy)   Volume(xx) and radical number(yyy)
#   TB_radical                Radical of Chinese character 
#   Entry                     Headword
#   Entry_type                For details, refer to the following section
#   Entry_diff                Differences of transliteration with other scholars
#   TB_def                    Definition of pronunciation, meaning and variant(s)
#   SYID (vwwwxyyz)           Book(v), leaf(www), recto-verso(x), line(yy) and number(z)
#   YYID (Ywwxxxyyy-z)        Volume(ww), leaf(xxx), line(yyy) and number(z)
#   TB_remarks                Editor's notes
#
#   Entry_type
#   ----------
#   Group a   --- Regular headword
#   1 Regular                 隸書掲出字 (= Regular_clerical)
#   2 Regular_seal            隸書掲出字 篆書併存
#
#   Group b -- Embedded headword
#   3 Embedded_clerical       埋字 隸書字體
#   4 Embedded_omitted        埋字 脫落
#   5 Embedded_seal           埋字 篆書字體
#
#   Group c -- Omitted headword
#   6 Omitted                 脫字 項目全體 脫落
#   7 Omitted_regular         脫字 隸書掲出字 脫落
#
#   Group d -- Variant of the Songben Yupian
#   8 Songben-Yupian          宋本《玉篇》增補之異體字
#
#   cf. Li 2015.
#   ＊6 Omitted               項目全體脱落
#                            《説文解字》、《玉篇》殘卷・佚文、《新撰字鏡》玉篇引用部分等、本文存
#
#   Abbreviations
#   -------------
#   TB: Tenrei Bansho Meigi 篆隸萬象名義, Kosanji copy 高山寺本
#   YY: Yuanben Yupian 原本玉篇, fragments of vol.8, 9, 18, 19, 22, 24 and 27
#   SY: Songben Yupian 宋本玉篇, Zecuntang edition 澤存堂本
#
#   白: Shirafuji's transliteration 
#   宮: Miyazawa's transliteration
#   上: Ueda's transliteration
#   呂: Lv's transliteration
#
#   References
#   ----------
#   Shirafuji Noriyuki 白藤禮幸, An Index of Headwords in the Tenrei Bansho Meigi 掲出字索引, Materials from Ancient Glossaries in the Kosanji Temple Collection 1 高山寺古辭書資料第一, Tokyo: Uiversity of Tokyo Press 東京大学出版会, 1977.
#   Miyazawa Toshimasa 宮澤俊雅, A List of Headwords with Notes in the Tenrei Bansho Meigi 掲出字一覽表, Materials from Ancient Glossaries in the Kosanji Temple Collection 1 高山寺古辭書資料第一, Tokyo: University of Tokyo Press 東京大学出版会, 1977.
#   Ueda Tadashi 上田正, A Complete List of Fanqie in the Original Yupian 玉篇反切總覽, Kobe: Private edition, 1986.
#   Lv Hao 呂浩, Zhuanli Wanxiang Mingyi: A Transliteration and Text-critical Notes 篆隸萬象名義校釋, Shanghai: Xuelin Press 學林出版社, 2007.
#   Li Yuan 李媛, Embedded and Omitted Headword: Issues Regarding Entry Counts in Tenrei-Bansho-Meigi 埋字と脫字―篆隸象名義の掲出字數をめぐる問題―, Kuntengo to Kunten-Shiryo 訓點語と訓點資料 135: 60-78, 2015.
#
#   Acknowledgments
#   ---------------
#   We are grateful to Kosanji Temple authorities Ogawa Chie (the previous chief priest) and Ishizuka Harumichi (the representative director) for permission to publish the decipherment text of KTB.
#   This work was supported by JSPS KAKENHI Grant Number 25370506, 16H03422.
#
TBID	TB_vol_radical	TB_radical	Entry	Entry_type	Entry_diff	TB_def	SYID	YYID	TB_remarks
3_035_A31-Miyazawa	v9#113	食	𩚬	Regular	宮		a092a093	Y09203309-1	
3_035_A311	v9#113	食	𩚚	Songben-Yupian		#	a092a094		
3_035_A312	v9#113	食	𩜄	Songben-Yupian		#	a092a095		
3_035_A32	v9#113	食	餧	Regular		奴猥反。耕也、餓飤也。	a092a102	Y09203309-2	
3_035_A41	v9#113	食	飢	Regular		羈治反。餓也。	a091b073	Y09203311-1	
3_035_A411	v9#113	食	𩚮	Omitted		Omitted	a091b074	Y09203312-1	
3_035_A42	v9#113	食	餓	Regular		魚賀反也。	a091b075	Y09203312-2	
3_035_A51	v9#113	食	餟	Regular		張芮反。餽也、⿰酉子也、祭⿰酉将也。	a091b081	Y09203313-1	
3_035_A52	v9#113	食	䬽	Regular		始悅反。餟也。	a091b082	Y09203314-1	
3_035_A61	v9#113	食	䭨	Regular		餽字也、銳字也。	a091b083	Y09203315-1	
3_035_A62	v9#113	食	䬴	Regular		莫達反。秣、或穢字。馬穀也。	a091b084	Y09203315-2	
3_035_B11	v9#113	食	𩜁	Regular		力承反。	a091b085	Y09203316-1	
3_035_B111	v9#113	食	飼	Songben-Yupian		#	a091b092		
3_035_B12	v9#113	食	飤	Regular		囚吏反。糧也、哺也。	a091b091	Y09203316-2	
3_035_B21	v9#113	食	餗	Regular		思穀反。鼎實也、粥高也。	a091b093	Y09203318-1	
3_035_B22	v9#113	食	餤	Regular		翼鹿反。進也。濫字也。	a091b094	Y09203319-1	
3_035_B31	v9#113	食	䭒	Regular		胥翼反。滋也、餑也、長也。	a091b053	Y09203319-2	
3_035_B32	v9#113	食	餌	Regular		如志反。餅也、䭐也、粥鬲也。	a091b095	Y09203321-1	
3_035_B41	v9#113	食	䭐	Regular		餘障反。煎稻米也。	a091b096	Y09203323-1	
3_035_B42	v9#113	食	𩚹	Regular		力丁反。餌也。	a091b102	Y09203324-1	
3_035_B51	v9#113	食	餣	Regular		於劫反。粢也。	a091b103	Y09203324-2	
3_035_B52	v9#113	食	飩	Regular		徒昆反。餅也。	a091b104	Y09203324-3	
3_035_B61	v9#113	食	餦	Regular		豬壃反。餛也、餌也。	a092a012	Y09203325-1	
3_035_B62	v9#113	食	餛	Regular		胡昆反。餦餛也。	a091b105	Y09203325-2	
3_036_A11	v9#113	食	餭	Regular		胡光反。餳也、軋飴。	a092a011	Y09203326-1	
3_036_A12	v9#113	食	䬵	Regular		古来反。䬵也、飴也。	a092a013	Y09203326-2	
3_036_A21	v9#113	食	𩜌	Regular		於月反。登豆飴也。	a092a014	Y09203327-1	
3_036_A211	v9#113	食	𩚴	Songben-Yupian		#	a092a015		
3_036_A22	v9#113	食	䭉	Regular		思累反。豆屑雜糖也、登也。	a092a016	Y09203327-2	
3_036_A31	v9#113	食	餹	Regular		徒當反。䬾也、餌也。	a092a021	Y09203329-1	
3_036_A32	v9#113	食	䭁	Regular		之世反。臭也。	a092b016	Y09203329-2	
3_036_A401	v9#113	食	䭔	Songben-Yupian		#	a092a096		
3_036_A41	v9#113	食	𩛍	Regular		丁目反。膏也。	a092a097	Y09203330-1	
3_036_A42	v9#113	食	𩜰	Regular		普力反。飽也。	a092a025	Y09203328-1	
3_036_A51	v9#113	食	餄	Regular		公洽反。餅也。	a092a031	Y09203330-2	
3_036_A52	v9#113	食	𩚳	Regular		扶万反。飤也。	a091a103	Y09203330-3	
3_036_A52-Miyazawa	v9#113	食	餠	Regular	宮		a091a103	Y09203330-3	
3_036_A52-Shirafuji	v9#113	食	飯	Regular	白		a091a103	Y09203330-3	
3_036_A521	v9#113	食	飰	Songben-Yupian		#	a091a104		
3_036_A61	v9#113	食	餼	Regular		虛氣反。饔餉也、稟給也。	a092a032	Y09203332-1	
3_036_A62	v9#113	食	䬾	Regular		達奚反。餌也、酪蘇。	a092a022	Y09203334-1	
3_036_B11	v9#113	食	䬧	Regular		五丸反。餌也。	a092a033	Y09203334-2	
3_036_B12	v9#113	食	䬫	Regular		達奚反。酪蘇也。	a092a034	Y09203334-3	
3_036_B21	v9#113	食	䭘	Regular		乙景反。飽也、滿也。	a092a035	Y09203335-1	
3_036_B211	v9#113	食	䭊	Omitted		Omitted	a092a036	Y09203335-2	
3_036_B22	v9#113	食	䭢	Regular		奴耕反。內充實也。	a092a024	Y09203335-3	
3_036_B31	v9#113	食	𩟊	Regular		女江反。強食也。	a092a023	Y09203336-1	
3_036_B32	v9#113	食	䬷	Regular		尸野反。䬼也。捨字。	a092a037	Y09203336-2	
3_036_B321	v9#113	食	𩜉	Songben-Yupian		#	a092a041		
3_036_B41	v9#113	食	𩞪	Regular		以管反。餽女也。	a092a042	Y09203336-3	
3_036_B41-Miyazawa	v9#113	食	餪	Regular	宮		a092a042	Y09203336-3	
3_036_B42	v9#113	食	䭈	Regular		紀言反。〔鬻字。〕粥也。	a092a043	Y09203337-1	粥鬲、當作鬻。
3_036_B421	v9#113	食	鬻	Embedded_clerical		鬻字。			埋字B。
3_036_B422	v9#113	食	飦	Omitted		Omitted	a092a044	Y09203337-2	
3_036_B51	v9#113	食	𩜾	Regular		䭈字。平、粥也、饘也。	a091a083	Y09203338-1	
3_036_B511	v9#113	食	䬣	Songben-Yupian		#	a092b082		
3_036_B52	v9#113	食	𩜐	Regular		呼乞反。長䭒也。	a092b083	Y09203338-2	
3_036_B61	v9#113	食	䬬	Regular		於仰反。飽也、䭒也。	a092a045	Y09203339-1	
3_036_B62	v9#113	食	餑	Regular		蒲突反。長䭒也。	a092b102	Y09203339-2	
3_036_B621	v9#113	食	𩟕	Songben-Yupian		#	a092a046		
3_037_A11	v9#113	食	䭂	Regular		猗𦟻反。濕臭也。	a092a098	Y09203340-1	
3_037_A12	v9#113	食	餋	Regular		居媛反。	a092a047	Y09203340-2	
3_037_A21	v9#113	食	飺	Regular		似離反。嫌也、嬒也。疵字。	a092a103	Y09203341-1	疵：當作㖢。原本《玉篇》・《新撰字鏡》作㖢。
3_037_A22	v9#113	食	䭞	Regular		餘石反。祭也。	a092a051	Y09203341-2	
3_037_A31	v9#113	食	𩛟	Regular		於元反。貪也。	a092b012	Y09203344-1	
3_037_A31-Miyazawa	v9#113	食	𩝜	Regular	宮		a092b012	Y09203344-1	
3_037_A32	v9#113	食	䭖	Regular		之庶反。翥豕食也。	a092a052	Y09203344-2	
3_037_A41	v9#113	食	𩟓	Regular		胡郭反。飷也、无味也。	a092a053	Y09203344-3	
3_037_A42	v9#113	食	飷	Regular		子野反。无味也。	a092a054	Y09203345-1	
3_037_A51	v9#113	食	䭕	Regular		子冉反。薄味也。	a091b101	Y09203345-2	
3_037_A52	v9#113	食	𩝡	Regular		去善反。唯也、黏也。	a092a055	Y09203346-1	
3_037_A52-Miyazawa	v9#113	食	䭤	Regular	宮		a092a055	Y09203346-1	
3_037_A61	v9#113	食	𩚷	Regular		力拾反。粒也、糝也。	a092a061	Y09203346-2	
3_037_A62	v9#113	食	𩟋	Regular		視豔反。瞻也、悶也。	a092a062	Y09203347-1	
3_037_B11	v9#113	食	䭙	Regular		子荏反。䤐、美、■也。	a092a063	Y09203347-2	■：原作⿲女尚攵、呂作媺、原本《玉篇》作⿰女發。未勘。
3_037_B12	v9#113	食	餂	Regular		達兼反。甛美也、甘也。	a092a064	Y09203348-1	
3_037_B21	v9#113	食	𩞀	Regular		思盛反。糂以米和羹也。	a092a065	Y09203348-2	
3_037_B22	v9#113	食	𩝙	Regular		視利反。嗜也、欲也。	a092a066	Y09203349-1	
3_037_B31	v9#113	食	𩝝	Regular		苦到反。勞也。⿰米高字也。	a092a071	Y09203350-1	
3_037_B32	v9#113	食	䬿	Regular		無鬼反。尾、鳥獸尾也。	a092a072	Y09203350-2	掲出字形異
3_037_B41	v9#113	食	𩛺	Regular		居陸反。饘也。	a092a073	Y09203351-1	
3_037_B42	v9#113	食	䭇	Regular		於結反。噎也。䊦食不下也。	a092a074	Y09203351-2	
3_037_B51	v9#113	食	飲	Regular		於錦反。㱃字。歠𠳁水。	a092a075	Y09203352-1	
3_037_B511	v9#113	食	𩚜	Omitted		Omitted	a092a081	Y09203353-1	
3_037_B52	v9#113	食	餕	Regular		子侚反。孰食也、肉惠施也。	a092a083	Y09203353-2	
3_037_B61	v9#113	食	餩	Regular		於北反。噎也。	a092a082	Y09203355-1	
3_038_A21	v9#114	甘	甘	Regular		古藍反。味甛也、厭也、美也、樂也、緩也。	a093a031	Y09203356-1	
3_038_A211	v9#114	甘	𤮺	Songben-Yupian		#	a093a032		
3_038_A22	v9#114	甘	𤯎	Regular		紅談反。和也、譋也。	a093a041	Y09203360-1	
3_038_A22-Miyazawa	v9#114	甘	𤯌	Regular	宮		a093a041	Y09203360-1	
3_038_A31	v9#114	甘	甛	Regular		徒兼反。美也、甘也。	a093a033	Y09203360-2	
3_038_A32	v9#114	甘	猒	Regular		於豔反。女也、飽也、安也。	a093a042	Y09203361-1	
3_038_A321	v9#114	甘	𤞣	Omitted		Omitted		Y09203366-1	
3_038_A322	v9#114	甘	⿱甘瓦	Omitted		Omitted		Y09203366-2	原本《玉篇》「字書古文猒字也」。宋本《玉篇》未見。諸橋「冐」M01534歟。
3_038_A323	v9#114	甘	𤟶	Songben-Yupian		#	a093a043		
3_038_A41	v9#114	甘	甙	Regular		徒戴反。甘也。	a093a044	Y09203366-3	
3_038_A42	v9#114	甘	甚	Regular		時稔反。孔也、安樂也、劇也。	a093a045	Y09203366-4	
3_038_A421	v9#114	甘	𠯕	Omitted		Omitted	a093a051	Y09203367-1	
3_038_A51	v9#114	甘	㽑	Regular		徒紺反。甘。	a093a052		
3_038_A52	v9#114	甘	㽐	Regular		呼兼反。或馦。香也。	a093a053		
3_038_A61	v9#114	甘	甞	Regular		視楊反。試也。	a093a054	Y09203368-1	
3_038_A61-Shirafuji	v9#114	甘	嘗	Regular	白		a093a054	Y09203368-1	
3_038_B21	v9#115	旨	旨	Regular		視支反。美也、詞也、意也、樂也。	a093a061	Y09203370-1	
3_038_B211	v9#115	旨	𠮛	Omitted		Omitted	a093a062		
3_038_B212	v9#115	旨	𤮻	Omitted		Omitted	a093a063	Y09203372-1	
3_038_B22	v9#115	旨	嘗	Regular		視楊反。試也。	a093a064	Y09203372-2	
3_038_B41	v9#116	㳄	㳄	Regular		囚仙反。慕也、欲也、口液也。	a093a071	Y09203377-1	
3_038_B411	v9#116	㳄	𣶙	Omitted		Omitted	a093a072	Y09203377-2	
3_038_B42	v9#116	㳄	羨	Regular		慈箭反。饒也、長也、侄也、延也、道也、過也、願。	a093a073	Y09203377-3	
3_038_B51	v9#116	㳄	盜	Regular		徒到反。逃也、纔也、偷也。	a093a081	Y09203381-1	
3_038_B52	v9#116	㳄	𣢭	Regular		翼支反。歠也。	a093a082	Y09203384-1	
3_038_B61	v9#117	㚔	㚔	Regular		如涉反。大聲也、驚人也。	a093a091	Y09203386-1	
3_038_B62	v9#117	㚔	睪	Regular		餘石反。伺視也、調也、樂也。	a093a092	Y09203386-2	
3_038_B62-Shirafuji	v9#117	㚔	𦎝	Regular	白		a093a092	Y09203386-2	字体差。
3_039_A11	v9#117	㚔	執	Regular		之入反。服也、伯也、持也、操也、捉也、媱也、脅也、攝處也、拘也、結也。	a093a101	Y09203387-1	
3_039_A12	v9#117	㚔	圉	Regular		魚距反。楚(禁)也、就也、使也、𡇞固(囹圄)。	a093a102	Y09203390-1	
3_039_A21	v9#117	㚔	報	Regular		補到反。荅也、酬也、曰也、合也、復也、論也。	a093a103		
3_039_A211	v9#117	㚔	𥲩	Omitted		Omitted	a093b011		
3_039_A22	v9#117	㚔	𥷚	Regular		居陸反。窮也、盡也。	a093a104		
3_039_A31	v9#117	㚔	盩	Regular		張周反。輈引擎也。	a093b012		
3_039_A51	v9#118	𠦍	𠦍	Regular		敕高反。進趣也。	a093b021		
3_039_A51-Miyazawa	v9#118	𠦍	夲	Regular	宮		a093b021		
3_039_A52	v9#118	𠦍	𠦪	Regular		呼貴反。疾也。	a093b023		
3_039_A61	v9#118	𠦍	曓	Regular		蒲報反。暴疾也、⿰礻毛也、槫。	a093b031		
3_039_A62	v9#118	𠦍	𡴞	Regular		胡准反。進也、當也、信也、倭也。	a093b034		
3_039_B11	v9#118	𠦍	奏	Regular		子陋反。奉進也、爲也、書也、𣴎也。	a093b035		
3_039_B12	v9#118	𠦍	皋	Regular		古勞反。告也、號也、澤也、局高也。	a093b032		
3_039_B121	v9#118	𠦍	皐	Songben-Yupian		#	a093b033		
3_039_B31	v9#119	夰	夰	Regular		公道反。於也、放也。	a093b041		
3_039_B32	v9#119	夰	𥉁	Regular		苦並反。瞿字。	a093b042		
3_039_B41	v9#119	夰	奡	Regular		牛到反。嫚也。	a093b043		
3_039_B42	v9#119	夰	臩	Regular		嬀迥反。驚走也、往来皃。	a093b044		
3_039_B501	v9#119	夰	昦	Songben-Yupian		#	a093b051		
3_039_B51	v9#119	夰	昊	Regular		朝老反。旴也、皓也。	a093b052		G31尾。
3_040_A21	v10#128	辵	辵	Regular		丑略反。走也。	a097b061		掲出字：原作走。G33首。
3_040_A22	v10#128	辵	䢦	Regular		山律反。導也、引也。	a097b062		
3_040_A31	v10#128	辵	迹	Regular		子亦反。跡也、理也、步遽也、道也。𨒪迹字。	a097b071		有埋字B。
3_040_A32	v10#128	辵	𨒪	Embedded_clerical		迹字。	a097b072		埋字B。
3_040_A33	v10#128	辵	邁	Regular		莫芥反。行也。	a097b073		
3_040_A41	v10#128	辵	𨙚	Regular		邁字。	a097b074		
3_040_A42	v10#128	辵	𨘇	Regular		會胡貝反。	a097b071		
3_040_A51	v10#128	辵	巡	Regular		似倫反。脩也、收也、徧也。	a097b075		
3_040_A52	v10#128	辵	𨖏	Regular		f居宥反q。茶謹行也。	a099b072		
3_040_A52-Miyazawa	v10#128	辵	𨗋	Regular	宮		a099b072		
3_040_A61	v10#128	辵	𨑒	Regular		達胡反。步行也。徒字。空也、隸黨也。	a097b081		
3_040_A62	v10#128	辵	𨒌	Regular		阺盈反。正行也、税也、遠也。	a097b082		
3_040_B11	v10#128	辵	𨙂	Regular		翼周反。侄也、疾行也。	a099b061		
3_040_B12	v10#128	辵	隨	Regular		辭規反。從也、遂也、行也。	a097b083		
3_040_B21	v10#128	辵	䢌	Regular		部葛反。伇(役)𢿛也、跋、行皃也。	a100a036		
3_040_B21-Miyazawa	v10#128	辵	𨒉	Regular	宮		a100a036		
3_040_B22	v10#128	辵	迋	Regular		尤放反。往也、歸也、誑也、怨也。	a097b084		
3_040_B221	v10#128	辵	逛	Songben-Yupian		#	a097b091		
3_040_B31	v10#128	辵	逝	Regular		視制反。往也、去也、行也、乃也。	a097b092		
3_040_B32	v10#128	辵	䢐	Regular		似胡反。往退也。徂字也。	a097b093		
3_040_B41	v10#128	辵	𨖆	Regular		䢐字。	a097b094		
3_040_B42	v10#128	辵	述	Regular		視聿反。循也。	a097b095		
3_040_B51	v10#128	辵	䢤	Regular		述字。	a097b101		
3_040_B52	v10#128	辵	䢒	Regular		古爻切。會也、逪也、昔也。	a097b102		
3_040_B61	v10#128	辵	過	Regular		古貨反。渡也、誤也、軼也、責也、越也、歷也。	a097b103		
3_040_B62	v10#128	辵	遵	Regular		子倫反。循也、率也、自也、後也、習也、行也。	a097b104		
3_040_B621	v10#128	辵	𨘊	Songben-Yupian		#	a098a011		
3_041_A11	v10#128	辵	適	Regular		尸亦反。之也、止也、歸也、往也、莭(節)也、悟也、善也、得也。	a098a012		
3_041_A12	v10#128	辵	遦	Regular		古患反。習也、串。樌字。	a098a013		
3_041_A21	v10#128	辵	䢱	Regular		徒鹿反。媟也、狎也、慢也、易也、數也。	a098a014		媟也：宋本《玉篇》字体注。
3_041_A22	v10#128	辵	進	Regular		子者反。晉也、前也、善也、登也、行也。	a098a021		
3_041_A31	v10#128	辵	𨙟	Regular-Omitted		進字。造次忿遽也、就也、內也、即至也。	a098a022		掲出字脱。原作進。呂《校釋》前項注文合併。《新撰字鏡》「進」「𨙟」連続掲出。
3_041_A32	v10#128	辵	造	Regular		徐道反。始為成也、作也、王也。	a098a023		
3_041_A41	v10#128	辵	逾	Regular		庚俱反。越也、進也、遠也。踰字。	a098a031		
3_041_A42	v10#128	辵	䢔	Regular		胡荅(答)反。遝也。	a098a024		
3_041_A51	v10#128	辵	逯	Regular		達載反。及也、與也、蹟也。逮也字也。	a098a025		掲出字：宮澤・呂作遝。
3_041_A51-Miyazawa	v10#128	辵	遝	Regular	宮		a098a025		
3_041_A52	v10#128	辵	迮	Regular		子各反。起也、止也。	a098a032		
3_041_A61	v10#128	辵	逪	Regular		且各反。䢒也、背也、乱也。錯字。	a098a033		
3_041_A62	v10#128	辵	速	Regular		思鹿反。疾也、召也、徵也。戚字也。	a098a041		戚：大字。
3_041_B11	v10#128	辵	遄	Regular		視專反。疾也、速也、數。	a098a034		
3_041_B21	v10#128	辵	遬	Regular		速古文。	a098a042		
3_041_B22	v10#128	辵	迅	Regular		綏閏反。疾也、雷風烈也。	a098a043		
3_041_B31	v10#128	辵	适	Regular		古活反。疾也。	a098a044		
3_041_B32	v10#128	辵	逆	Regular		魚戟反。迎也、咈也、■(度)也、却也、逪(錯)也、乱(亂)也。	a098a045		■(度)：呂作度。
3_041_B41	v10#128	辵	迎	Regular		宜京反。逢也、逆也。	a098a051		
3_041_B42	v10#128	辵	遭	Regular		祖遨反。邐行也、遭家不造、遇也。	a098a052		
3_041_B51	v10#128	辵	遇	Regular		娛勾(句)反。見也、偶也、遻(遌)也、逢也、遇也。	a098a053		
3_041_B52	v10#128	辵	遘	Regular		古候反。遇也、遻(遌)也。姤字或覯。	a098a054		
3_041_B61	v10#128	辵	逢	Regular		扶恭反。遇也、迎也、大、見也、相遭也。	a098a055		
3_041_B62	v10#128	辵	遞	Regular		達礼反。失也、更易也。递遞字。	a099b074		有埋字B。
3_041_B62-Shirafuji	v10#128	辵	逓	Regular	白		a099b074		
3_041_B63	v10#128	辵	递	Embedded_clerical		遞字。	a099b075		埋字B。
3_042_A11	v10#128	辵	遻	Regular		午故反。逢也、見也、觸也、驚也。或迂。	a099b016		掲出字字形、遻(遌)。
3_042_A11-Miyazawa	v10#128	辵	遌	Regular	宮		a099b016		
3_042_A12	v10#128	辵	迪	Regular		徒的反。道也、蹈也、進也、正教道也。	a098a056		
3_042_A21	v10#128	辵	迻	Regular		餘支反。從也、遷也、奔也。移字。	a098a061		
3_042_A22	v10#128	辵	通	Regular		敕東反。達也、徹也、道也。	a098a062		
3_042_A301	v10#128	辵	𨑭	Songben-Yupian		#	a099b076		
3_042_A31	v10#128	辵	𨔀	Regular		斯紫反。移也、從也。	a099b081		
3_042_A32	v10#128	辵	𨖤	Regular		從字也。	△		
3_042_A41	v10#128	辵	遷	Regular		且錢反。從也、去也、易也、變、改也。	a098a063		
3_042_A42	v10#128	辵	運	Regular		胡愠反。行、動也、轉也、輸也。	a098a071		
3_042_A51	v10#128	辵	返	Regular		甫晚反。還也、復也、歸也、避也。	a098a072		
3_042_A52	v10#128	辵	還	Regular		胡串反。劫也、顧也、退也、返也、旋也。	a098a073		
3_042_A61	v10#128	辵	選	Regular		先絹反。數也、齊也、迅徧也。鐉字。萬也、遣也。	a098a074		
3_042_A62	v10#128	辵	邌	Regular		力奚反。徐也、遲也、小息也。	a098a081		
3_042_B11	v10#128	辵	送	Regular		蘇頁(貢)反。畢也、送、遣也。	a098a082		
3_042_B12	v10#128	辵	𨓵	Regular		送字也。	a098a083		
3_042_B21	v10#128	辵	遣	Regular		去闡反。送也、縱也、車也、延。	a098a084		
3_042_B22	v10#128	辵	邐	Regular		力紙反。行也、過也、山列也。	a098a091		山列也：呂按、當為‟峛”字之誤拆。
3_042_B31	v10#128	辵	逮	Regular		徒計反。閑、習也。	a098a092		
3_042_B32	v10#128	辵	𨓯	Regular		於玄反。行皃也。	a099b051		
3_042_B41	v10#128	辵	遲	Regular		除梨反。晚也、煖也、徐也、久息也。	a098a093		
3_042_B42	v10#128	辵	迡	Regular		遲字也。	a098a095		
3_042_B51	v10#128	辵	遟	Regular		遲字也。	a098a094		
3_042_B52	v10#128	辵	遰	Regular		徒計反。往也、去也。	a098a096		
3_042_B61	v10#128	辵	𨙔	Regular		竹句反。駐、不行也。	a098a101		
3_042_B62	v10#128	辵	𨒅	Regular		丘戟反。待、曲也、行。	a098a102		
3_043_A11	v10#128	辵	逗	Regular		徒闘反。往也、止也、遛也、留也。	a098a103		
3_043_A111	v10#128	辵	遛	Songben-Yupian		#	a098a104		
3_043_A12	v10#128	辵	逶	Regular		於危反。遲也、曲也、邪行去也。	a098b011		
3_043_A21	v10#128	辵	遹	Regular		以出反。循也、述也、僻、自也。	a098b012		
3_043_A22	v10#128	辵	避	Regular		裨豉反。行、去也、迴也。	a098b014		
3_043_A31	v10#128	辵	違	Regular		胡歸反。失也、避也、離也、恨也、異也、背也、邐也、遠也、奔也。	a099b055		
3_043_A32	v10#128	辵	遴	Regular		旅振反。難也、歰(澀)也、貪也。	a098b021		
3_043_A41	v10#128	辵	䢑	Regular		丁計反。晐也、駭也、鷙也、向也、不及也。	a098b013		
3_043_A42	v10#128	辵	达	Regular		他計反。違也、迭也、滑也、去跌也。	a098b022		
3_043_A51	v10#128	辵	達	Regular		徒割反。通也、至也、皆也、具也、賜也。	a098b023		
3_043_A52	v10#128	辵	逯	Regular		力屬反。行謹逯也。	a098b024		
3_043_A61	v10#128	辵	迵	Regular		徒棟反。通達也、迭也、過也。	a099b064		
3_043_A62	v10#128	辵	迭	Regular		達結反。更也、伐也、到也、达也。	a098b031		
3_043_B11	v10#128	辵	迷	Regular		莫雞反。誤也、惑也、復也。	a098b032		
3_043_B12	v10#128	辵	迆	Regular		餘支反。溢也、長也、逶也、邪。	a098b033		
3_043_B21	v10#128	辵	連	Regular		力錢反。合也、反也、還也、續也、聚。聮字。難也。	a098b034		
3_043_B22	v10#128	辵	逑	Regular		渠鳩反。匹也、合也、鞠也、迫、斂也。	a098b035		
3_043_B31	v10#128	辵	䢙	Regular		蒲快反。救也、數也。敗字。	a098b041		
3_043_B32	v10#128	辵	逳	Regular		餘陸反。轉也、步也、出也、行也。	a098b042		
3_043_B41	v10#128	辵	逭	Regular		胡舘反。逃也、失、更、易也、行也、周也、步也、轉也。	a098b043		
3_043_B42	v10#128	辵	𨙕	Regular		逭字也。	a098b044		
3_043_B51	v10#128	辵	邋	Regular		力涉反。搚也、■也。	a098b051		■：呂作捷。
3_043_B52	v10#128	辵	遜	Regular		先困反。遁也、去也、奔。	a098b052		
3_043_B61	v10#128	辵	𨖹	Regular		如質反。近也、傳也、至也。	a098b053		
3_043_B62	v10#128	辵	逋	Regular		補胡反。亡也、竄也、遲也、晚也、後也。	a098b054		
3_044_A11	v10#128	辵	𨕝	Regular		逋字。	a098b055		
3_044_A12	v10#128	辵	近	Regular		渠謹反。附也、迫也、摩也、幾也。	a098b056		
3_044_A21	v10#128	辵	遺	Regular		胡蔡反。忘失也、脫也、亡餘也、与也、贈也、加也、⿰䖝隹(雖)也、墮也	a098b061		⿰䖝隹(雖)：呂按、當作「𩀌」。
3_044_A22	v10#128	辵	遂	Regular		辞類反。進也、久也、安也、徧(遍)也、因也、育也、竟也、行也、往也、成也、達也、造也、從也、信也。	a098b062		
3_044_A31	v10#128	辵	𨒉	Regular		遂字也。	a098b063		次項空欄。
3_044_A31-Miyazawa	v10#128	辵	𨔱	Regular	宮		a098b063		
3_044_A41	v10#128	辵	邇	Regular		而紙反。近也、移也。	a098b064		
3_044_A42	v10#128	辵	迩	Regular		邇字。	a098b071		
3_044_A51	v10#128	辵	𨕤	Regular		渠汲反。及字也。与也、至也、連也、還也、法也。	a098b072		
3_044_A52	v10#128	辵	逃	Regular		徒勞反。亡、去也、竄也、避也。	a098b073		
