#	HDIC Project
#	Integrated Database of Hanzi Dictionaries in Early Japan
#
#	SYP: Songben Yupian 宋本玉篇 database
#
#	Version: 1.1.3
#	Date: 20 October 2015
#	Last update : 12 January 2020
#
#	Copyright (c) 2014-2019 HDIC project, IKEDA Shoju (Chair)
#	LI Yuan (Person in Charge)
#	Department of Linguistic Sciences, Hokkaido University Graduate School of Letters
#	North 10, West 7, Kita-ku Sapporo, Hokkaido, 060-0810 Japan
#	Contact: hdic_info@let.hokudai.ac.jp
#
#	Feel free to copy and distribute.
#	Send bug reports and feature requests via email.
#
#	TSV Format information:
#
#	SYID	: Book, leaf, recto-verso, line and number (Zecuntang edition)
#	SY_vol_radical	: Volume and radical number
#	SY_radical	: Radical of Chinese character
#	Entry		: Headword
#	Entry_original	: Original headword (option)
#	SY_def		: Definition of pronunciation, meaning and variant(s)
#	Zang_page	: Zhong gu Han zi liu bian
#	KSY_diff	: Differences of SYID with Kunaicho Shoryobu edition
#	SY_remarks	: Editor's notes
#
#   References:
#
#   臧克和著, 中古漢字流變, 華東師範大學出版社, 2008. Zang Kehe, Zhong gu Han zi liu bian, Shanghai : Hua dong shi fan da xue chu ban she, 2008.
#
#   Primary Sources:
#
#       宮内廳書陵部藏本(南宋版)：大廣益會玉篇 (box 515, no.106, photographic images).
#       澤存堂本：〔梁〕顧野王著, 大廣益會玉篇, 北京：中華書局, 1987.
#
#	This work was supported by JSPS KAKENHI Grant Number 25370506, 16H03422.
#
SYID	SY_vol_radical	SY_radical	Entry	Entry_original	SY_def	Zang_page	KSY_diff	SY_remarks
a016a084	v2#9	土	垘		扶目切。《漢書》：川塞谿垘。孟康云：谿谷垘崩也。如淳曰：填塞不通也。	80		
a016a091	v2#9	土	埭		徒賚切。以土堨水。《晉中興書》：求以牛車牽埭取其海稅。	80		
a016a092	v2#9	土	墱		都倰切。小坎也。	80		
a016a101	v2#9	土	㙂		烏弄切。㙂牆也。	80		
a016a102	v2#9	土	𤬪		時夜切。𤬪器也。	80		
a016a103	v2#9	土	㙐		都果切。垂皃。	80		
a016a104	v2#9	土	埨		力尹切。壟土也。	80		
a016a105	v2#9	土	㙧		力又切。瓦飯器也。	80		
a016a106	v2#9	土	墑		丁歷切。入射也。	80		
a016b011	v2#9	土	垾		胡肝切。小隄也。	80		
a016b012	v2#9	土	堈		古昂切。器也。亦作𤭛。	80		
a016b013	v2#9	土	圾		渠劫切。土圾也。	80		
a016b014	v2#9	土	垛		徒果切。射垛。《說文》云：堂塾也。亦作垜。	80		
a016b015	v2#9	土	塛		力日切。塞也。	81		
a016b021	v2#9	土	㙞		魚佶切。小山也。	81		
a016b022	v2#9	土	埊		迪利切。古地字。	81		
a016b023	v2#9	土	垙		古皇切。垙陌也。	81		
a016b024	v2#9	土	㲄		苦谷切。土⿱𣪠土也。	81		
a016b025	v2#9	土	㙝		虛劫切。隄水也。	81		
a016b026	v2#9	土	㘦		渠銀切。㘦土壁。	81		
a016b031	v2#9	土	坩		口甘切。土器也。	81		
a016b032	v2#9	土	𡍪		初戢切。𡍪㙷累土也。	81		
a016b033	v2#9	土	垻		必駕切。蜀人謂平川曰垻。	81		
a016b034	v2#9	土	𡏯		薄賣切。小堤也。	81		
a016b035	v2#9	土	堠		胡遘切。牌堠五里一堠。	81		
a016b041	v2#9	土	堦		古崖切。土堦。	81		
a016b042	v2#9	土	堝		古和切。甘堝所以烹、煉金銀。	81		
a016b043	v2#9	土	垌		他孔切。缶垌也。	82		
a016b044	v2#9	土	坰		圭營切。郊外曰坰。古作冂。	82		
a016b045	v2#9	土	埪		苦公切。土埪龕也。	82		
a016b051	v2#9	土	㘺		扶滑切。耕也。亦作垡。	82		
a016b052	v2#9	土	𡊸		而勇切。地名。	82		
a016b053	v2#9	土	㙳		口感切。㙳坷。又苦紺切。	82		
a016b054	v2#9	土	㙷		直輒切。墊也。	82		
a016b055	v2#9	土	𡑞		辝類切。墓道也。正作隧。	82		
a016b061	v2#9	土	壜		徒含切。甒屬。	82		
a016b062	v2#9	土	墅		余者切。田也。又食與切。村也、田廬也。	82		
a016b063	v2#9	土	㙴		之𧰟切。蔽也。	82		
a016b064	v2#9	土	墡		時闡切。白堊名白墡也。	82		
a016b065	v2#9	土	壈		力感切。壈坎也。	82		
a016b071	v2#9	土	埥		七盈切。青精土也。	83		
a016b072	v2#9	土	堶		徒禾切。飛塼也。	83		
a016b073	v2#9	土	𡏭		計堯切。伏土爲卵也。	83		
a016b074	v2#9	土	垟		余章切。土精也。	83		
a016b075	v2#9	土	垀		火烏切。垺垀也。	83		
a016b081	v2#9	土	埦		於阮切。又烏管切。	83		
a016b082	v2#9	土	㙰		戶買切。地名。	83		
a016b083	v2#9	土	塘		徒郎切。隄塘也。	83		
a016b084	v2#9	土	墻		疾羊切。垣墻。正作牆。	83		
a016b085	v2#9	土	壆		降角切。土堅也。	83		
a016b091	v2#9	土	𡒋		口交切。𡒋土也。	83		
a016b092	v2#9	土	㘱		他藍切。水動岸壞也。	83		
a016b093	v2#9	土	埇		余隴切。地名、在淮泗。	83		
a016b094	v2#9	土	𡈿		之深切。𡈿鄩、古國名。	84		
a016b095	v2#9	土	圵		徒朗切。高田也。	84		
a016b101	v2#9	土	塕		烏孔切。又烏公切。塵也。	84		
a016b102	v2#9	土	壕		胡高切。城壕也。	84		
a016b103	v2#9	土	㙎		於歸切。㙎決塘也。	84		
a016b104	v2#9	土	墭		食政切。墭𥂭器也。	84		
a016b105	v2#9	土	塉		情迪切。薄土也。	84		
a017a011	v2#9	土	坬		古罵切。土埵也。	84		
a017a012	v2#9	土	塵		除仁切。塵埃。	84		
a017a013	v2#9	土	墌		之亦切。基址也。	84		
a017a014	v2#9	土	坨		羊之切。地名也。	84		
a017a015	v2#9	土	垹		博尨切。土精也。	84		
a017a016	v2#9	土	㙡		咨容切。土菌也。	84		
a017a017	v2#9	土	⿰土宂		而勇切。地名。	84		
a017a021	v2#9	土	𡓦		鉏減切。𡓦兆名。	85		
a017a022	v2#9	土	𡎺		側六切。塞也。	85		
a017a023	v2#9	土	塣		丈井切。通也。	85		
a017a024	v2#9	土	塸		烏侯切。墓也。	85		
a017a025	v2#9	土	𡐤		去竭切。𡐤界也。	85		
a017a026	v2#9	土	𡒌		祛輦切。小塠𡒌也。	85		
a017a031	v2#9	土	塚		知隴切。塚墓也。正作冢。	85		
a017a032	v2#9	土	㙇		丑玉切。馬所蹈之處。	85		
a017a033	v2#9	土	塢		烏古切。村塢也。	85		
a017a034	v2#9	土	埡		同上。	85		
a017a035	v2#9	土	墏		次養切。墏基。	85		
a017a041	v2#9	土	㙻		遲連切。居也。與廛同。	85		
a017a042	v2#9	土	⿸厂⿱口土		乎狗切。古文厚。	85		
a017a043	v2#9	土	塼		煑緣切。㼾甎。亦作塼。	85		
a017a044	v2#9	土	堰		於幰切。壅水也。又於建切。	86		
a017a045	v2#9	土	壒		於蓋切。塵也。	86		
a017a051	v2#9	土	墜		直類切。落也。	86		
a017a052	v2#9	土	圼		與㘿同。	86		
a017a053	v2#9	土	堉		音育。地土肥也。	86		
a017a054	v2#9	土	墰		徒含切。	86		
a017a055	v2#9	土	埁		才心切。	86		
a017a061	v2#10	垚	垚		五幺切。《說文》云：土高也。	87		
a017a062	v2#10	垚	堯		五彫切。善行德義曰堯。《白虎通》曰：堯猶嶢、嶢高之貌。《廣雅》曰：堯曉也。	87		
a017a063	v2#10	垚	𡋰		古文。	87		
a017a071	v2#11	𡏳	𡏳		居隱切。禮堇塗、塗有穰草也。又草也。《說文》：又巨巾切。黏土也。	87		
a017a072	v2#11	𡏳	堇		同上。	87		
a017a073	v2#11	𡏳	𡐳		並古文。	87		
a017a074	v2#11	𡏳	䒺		並古文。	87		
a017a081	v2#11	𡏳	𩁬		奴安切。不易之稱也。又乃旦切。《易》曰：蹇難也。又畏憚也。	87		
a017a082	v2#11	𡏳	難		同上。	87		
a017a083	v2#11	𡏳	𦫒		居顏切。《爾雅》曰：阻艱難也。郭璞云：皆險難也。	87		
a017a091	v2#11	𡏳	艱		同上。	87		
a017a092	v2#11	𡏳	𡆒		籀文。	87		
a017a101	v2#12	里	里		力擬切。邑里也。《周禮》曰：五鄰爲里。《國語》曰：管仲制國五家爲軌、十軌爲里。	88		
a017a102	v2#12	里	野		餘者切。郊外也。又常渚切。	88		
a017b011	v2#12	里	釐		力之切。《書傳》云：釐理也。《方言》云：貪也。《蒼頡》曰：賜也、亦祭餘肉也。又音禧。	88		
a017b021	v2#13	田	田		徒堅切。土也、地也。《說文》云：陳也、樹穀曰田象四口、十阡陌之制也。《易》曰：見龍在田。王弼易通曰：龍處於地故曰田也。	89		
a017b031	v2#13	田	甾		側飢切。與葘同。《爾雅》曰：田一歲曰葘。郭璞云：今江東呼初耕地反草爲葘。	89		
a017b032	v2#13	田	畬		與居切。田三歲曰畲。亦作畭。	89		
a017b041	v2#13	田	𤰩		古文。	89		
a017b042	v2#13	田	疇		直流切。《周書》云：天乃錫、禹九疇。孔安國曰：九類也。杜預曰：並畔爲疇。《說文》作𤲮、云耕治之田也。	89		
a017b043	v2#13	田	𤲮		《說文》：疇。	89		
a017b051	v2#13	田	𤲬		泥緣奴過二切。《說文》云：城下田。一曰𤲬郤也。又城外隍內地也。	89		
a017b052	v2#13	田	㽭		同上、俗。	89		
a017b053	v2#13	田	㽥		如田切。和田也。	89		
a017b054	v2#13	田	疁		力周切。田不耕、燒種也。	89		
a017b061	v2#13	田	畔		蒲半切。《說文》云：田界也。《左氏傳》曰：如農之有畔。	89		
a017b062	v2#13	田	㽨		在何切。《說文》云：殘田也。《詩》云：天方薦㽨。	89		
a017b063	v2#13	田	畦		胡圭切。《說文》云：田五十畮曰畦。《史記》曰：千畦薑韭。韋昭云：畦猶隴也。	90		
a017b071	v2#13	田	畮		莫走切。司馬法步百爲畮。	90		
a017b072	v2#13	田	𠭇		同上。	90		
a017b073	v2#13	田	畞		《說文》：與畮同。	90		
a017b074	v2#13	田	町		徒頂他頂二切。田踐處也。又他典切。町疃鹿迹。	90		
a017b081	v2#13	田	𤲖		他典切。餉田皃、亦鹿跡。	90		
a017b082	v2#13	田	疃		吐管切。鹿跡也。	90		
a017b083	v2#13	田	畽		同上。又他本切。	90		
a017b084	v2#13	田	畹		於遠於萬二切。王逸曰：田十二𠭇爲畹、秦孝公二百三十步爲𠭇、三十步爲畹。	90		
a017b091	v2#13	田	㽜		同上。	90		
a017b092	v2#13	田	㽘		古莽切。境也、趙魏陌名也。	90		
a017b093	v2#13	田	畷		豬衛切。《詩》云：下國畷流。畷表也。本亦作綴。《禮記》云：郵表畷。《說文》云：兩陌閒道也、廣六尺。又陟劣切。	90		
a017b101	v2#13	田	界		耕薤切。《爾雅》云：疆界垂也。	90		
a017b102	v2#13	田	畍		同上。	90		
a017b103	v2#13	田	畛		諸引諸鄰二切。十夫之道也。《說文》云：井田閒陌也。	91		
a018a011	v2#13	田	𤱥		古文。	91		
a018a012	v2#13	田	畎		古泫切。隴中曰畎。《夏書》曰：濬畎澮距川。《孔傳》曰：廣尺深尺謂之畎。《說文》又作甽。	91		
a018a013	v2#13	田	甽		古文。	91		
a018a014	v2#13	田	甸		徒見切。《夏書》曰：五百里甸服。《孔傳》云：規方千里之內謂之甸服。《周禮》云：九夫爲井、四井爲邑、四邑爲丘、四丘爲甸、四甸爲縣。	91		
a018a021	v2#13	田	畿		渠依切。《說文》云：天子千里地以遠、近言之則言畿也。	91		
a018a031	v2#13	田	畸		居羲切。數畸。亦作奇。《說文》云：殘田也。	91		
a018a032	v2#13	田	疄		力振切。轢田也。或爲躙。	91		
a018a033	v2#13	田	𤳉		呼旦切。《埤蒼》云：耕麥地。又作䎯。	91		
a018a041	v2#13	田	𤱍		普皮切。耕外地。又作耚。	91		
a018a042	v2#13	田	甿		莫繃亡鄧二切。《說文》云：田民也。與氓同。	91		
a018a043	v2#13	田	𤲓		力才切。田𤲓。今爲萊。	92		
a018a044	v2#13	田	㽩		子紺切。十壣也。	92		
a018a051	v2#13	田	𤱩		除了切。疁田中穴也。	92		
a018a052	v2#13	田	㽤		九陸切。韭畦也。	92		
a018a053	v2#13	田	𤱨		居容切。㽤也。	92		
a018a054	v2#13	田	畇		蘇均徐均羊倫三切。《詩》云：畇畇原隰。《注》云：畇畇墾辟貌。	92		
a018a061	v2#13	田	𤱬		同上。	92		
a018a062	v2#13	田	畯		祖峻切。田畯、古之先教田者也。《爾雅》曰：農夫也。《詩傳》云：田大夫也。	92		
a018a063	v2#13	田	畟		楚力切。《說文》云：治稼畟畟進也。《詩》云：畟畟良耜。又音即。	92		
a018a071	v2#13	田	留		略周切。止也、久也。	92		
a018a072	v2#13	田	畤		諸以時止二切。《漢書》云：秦襄公攻戎救周列爲諸侯而居西、自以主少昊之神作西畤祠白帝、獻公自以得金瑞、故作畦畤櫟陽而祭白帝、文公作鄜畤、宣公作密畤、靈公於吳陽作上畤祭黃帝、下畤祭炎帝也。	93		
a018a081	v2#13	田	略		力灼切。用功少曰略。又強取也、要也、法也、利也、求也。	93		
a018a091	v2#13	田	畊		古文、耕字。	93		
a018a092	v2#13	田	㽦		詳遵切。均也。	93		
a018a093	v2#13	田	當		都郎切。任也、直也、敵也。又都浪切。主當也、底也。	93		
a018a094	v2#13	田	畜		許六切。養也、容也。《說文》曰：田畜也。《淮南子》曰：玄田爲畜。又許又丑六二切。	93		
a018a101	v2#13	田	𤲸		《說文》云：同上。魯郊禮畜、从茲、茲益也。	93		
a018a102	v2#13	田	畼		敕向切。不生也。	93		
a018b011	v2#13	田	疅		九良切。界也。俗疆字。	93		
a018b012	v2#13	田	㽣		于逼切。古文域邦也。	94		
a018b013	v2#13	田	𤳔		時升切。古文塍。	94		
a018b014	v2#13	田	𤲵		直里切。偫儲也。或爲庤。	94		
a018b015	v2#13	田	畂		力救切。古文㙀。	94		
a018b021	v2#13	田	𩒵		去潁切。百𠭇爲𩒵。今作頃。	94		
a018b022	v2#13	田	𤰫		秘江切。《說文》云：古文邦。	94		
a018b023	v2#13	田	畘		奴甘切。	94		
a018b024	v2#13	田	畉		防無切。	94		
a018b025	v2#13	田	㽡		音碑。㽡田也。	94		
a018b026	v2#13	田	𤲺		亦溪字。	94		
a018b031	v2#13	田	㽫		於容切。鷄頭也。	94		
a018b032	v2#13	田	㽧		音茲。地名。	95		
a018b033	v2#13	田	𤲚		都籠切。地名。	95		
a018b034	v2#13	田	𤲕		力尹切。壟土也。	95		
a018b035	v2#13	田	𤰟		火朗切。鹵地名。	95		
a018b036	v2#13	田	㽪		子等切。水田名。	95		
a018b041	v2#13	田	𤰠		恥力切。田器也。	95		
a018b042	v2#13	田	㽛		古侯切。畦也。	95		
a018b043	v2#13	田	𤱎		於糾切。里田也。	95		
a018b044	v2#13	田	𤳪		於葉切。地名。	95		
a018b045	v2#13	田	𤱌		音祖。田也。	95		
a018b046	v2#13	田	㽝		音例。陷也。	95		
a018b047	v2#13	田	𤲗		二典切。高也。	95		
a018b051	v2#13	田	𤲭		上：丁淡切。下：許儉切。蔭也。	95		
a018b052	v2#13	田	𣕎		上：丁淡切。下：許儉切。蔭也。	95		
a018b061	v2#14	畕	畕		記良切。《說文》云：比田也。	96		
a018b062	v2#14	畕	畺		居良切。《說文》曰：界也、从畕、三其界畫也。亦作疆。	96		
a018b063	v2#14	畕	畾		音雷。田閒也。	96		
a018b071	v2#14	畕	疊		徒協切。重也、累也。《詩》云：莫不振疊。疊懼也。《說文》作𡀉。	96		
a018b081	v2#15	黄	黃		胡光切。中央色也、馬病色也。	96		
a018b082	v2#15	黄	𡕛		古文。	96		
a018b083	v2#15	黄	䵌		喜兼切。赤黃色。一曰輕易人䵌姁也。	97		
a018b091	v2#15	黄	䵎		他官切。黃黑色。或作煓。	97		
a018b092	v2#15	黄	䵋		胡悔于鄙二切。黃色也。	97		
a018b093	v2#15	黄	𪎽		齒隆切。黃色。《大戴禮》：𪎽纊塞耳、掩聽也。又音統。	97		
a018b094	v2#15	黄	黊		胡卦戶圭二切。鮮明黃色。	97		
a018b101	v2#15	黄	𪏆		吐丸吐門二切。黃色。又魯哀公少子名𪏆。	97		
a018b102	v2#15	黄	斢		他口切。黃色。或作紏。	97		
a018b103	v2#15	黄	黈		同上。	97		
a018b104	v2#15	黄	黇		他兼切。黃色也。	97		
a018b105	v2#15	黄	䵐		齒善切。黃色也。	98		
a019a011	v2#15	黄	𪎵		口浪切。黃色也。	98		
a019a012	v2#15	黄	黅		居吟切。黃色也。	98		
a019a013	v2#15	黄	𪏓		胡觥切。《字書》：藤屬以織也。	98		
a019a014	v2#15	黄	𪎻		音證。黃色。	98		
a019a015	v2#15	黄	𪏔		云粉切。《說文》曰：面急𪏔𪏔也。	98		
a019a021	v2#15	黄	𪏚		同上。又黃皃。	98		
a019a022	v2#15	黄	𪏉		音霑。黃色。	98		
a019a023	v2#15	黄	䵏		力道切。黃色。	98		
a019a024	v2#15	黄	𪏂		直占切。黃色。	98		
a019a025	v2#15	黄	𪏤		古對切。病皃。	98		
a019a031	v2#16	丘	丠		去留切。虛也、聚也、冢也。《夏書》曰：是降丘宅士。孔安國云：土高曰丘。《周禮》曰：四邑爲丘、四丘爲甸。《漢書》云：高祖過其丘嫂食丘空也。《廣雅》云：小陵曰丘、丘居也。	98		
a019a041	v2#16	丘	㐀		並同上。	98		
a019a042	v2#16	丘	丘		並同上。	98		
a019a043	v2#16	丘	虛		丘居切。大丘也。今作墟。《爾雅》曰：河出崐崘虛。郭璞云：《山海經》曰：河出崐崘西北隅虛山下基也。又許魚切。空也。	99		
a019a051	v2#16	丘	屔		奴兮切。《爾雅》曰：水潦所止屔尼。本亦作泥。	99		
a019a061	v2#17	京	京		居英切。《爾雅・釋丘》云：絕高爲之京。郭璞云：人力所作。《公羊傳》曰：京者何大也。	100		
a019a062	v2#17	京	就		才救切。從也、成也、即也、久也。郭璞曰：成就。亦終也。	100		
a019a071	v2#17	京	𡰜		籀文。	100		
a019a072	v2#17	京	𡮎		音涼。薄也。	100		
a019a081	v2#18	冂	冂		古螢切。《說文》云：邑外謂之郊、郊外謂之野、野外謂之林、林外謂之冂、象遠界也。	100		
a019a082	v2#18	冂	坰		《說文》：上同。	100		
a019a091	v2#18	冂	冋		《說文》曰：古文冂从口、象國邑。	100		
a019a092	v2#18	冂	冊		音琮。冊孔也。	101		
a019a093	v2#18	冂	市		時止切。《周禮》曰：五十里有市。《丗本》云：祝融作市。	101		
a019a094	v2#18	冂	央		於良切。中央也。一曰久也。《詩傳》云：央旦也、亦位內爲四方之主也。	101		
a019a101	v2#18	冂	隺		乎沃切。《說文》云：高至也、从隹、上欲出冂。	101		
a019a102	v2#18	冂	冘		余針切。《說文》云：淫淫行皃、从人出冂。	101		
a019b011	v2#19	𩫏	𩫏		古穫切。《說文》云：度也、民所度、居也。《白虎通》云：郭之爲言廓也、大也。今作郭。	102		
a019b012	v2#19	𩫏	𩫠		苦穴切。《說文》云：缺也、古者城闕其南方謂之𩫠。	102		
a019b021	v2#19	𩫏	𩫧		于元切。籀文垣。	102		
a019b022	v2#19	𩫏	䯬		都可切。廣也。又垂下皃。今作嚲。	102		
a019b023	v2#19	𩫏	𩫨		時征切。籀文城。	102		
a019b024	v2#19	𩫏	𩫭		都戶切。籀文堵。	102		
a019b031	v2#19	𩫏	𩫫		毗離切。籀文陴。女垣也。	102		
a019b032	v2#19	𩫏	𩫱		餘恭切。古文墉、亦作𩫏。	102		
a019b041	v2#20	邑	邑		於急切。《說文》云：國也。《周禮》曰：四井爲邑。	103		
a019b042	v2#20	邑	邦		補江切。《周禮》：太宰六典以佐王治邦國。鄭玄云：大曰邦小曰國。亦界也。	103		
a019b051	v2#20	邑	鄢		於巘切。鄢陵縣名。又於乾切。	103		
a019b052	v2#20	邑	酇		子管切。《說文》云：百家爲酇、酇聚也。又子旦切。南陽有酇縣。又在丸切。	104		
a019b061	v2#20	邑	鄰		力臣切。《周禮》：五家爲鄰。	104		
a019b062	v2#20	邑	䣊		丁莽切。《說文》云：地名。《廣雅》云：居也。一曰五百家爲䣊。今作黨。	104		
a019b063	v2#20	邑	郊		古爻切。《周禮》曰：五百里爲遠郊。《爾雅》曰：邑外謂之郊。	104		
a019b071	v2#20	邑	鄙		補美切。《周禮》云：五酇爲鄙、鄙小國、去都遠、鄙陋。又不慧也。	104		
a019b072	v2#20	邑	都		當烏切。《周禮》曰：四甸爲縣、四縣爲都、都采地也。	105		
a019b081	v2#20	邑	鄭		直政切。在滎陽宛陵縣。	105		
a019b082	v2#20	邑	郡		求慍切。《說文》云：周制天子地方千里、分爲百縣、縣有四郡、故《春秋傳》曰：下大夫受縣、上大夫受郡。《史記》云：秦始皇二十六年分天下爲三十六郡。裴駰曰：三十六郡者三川、河東、南陽、南郡、九江、鄣郡、會稽、潁川、碭郡、泗水、薛郡、東郡、琅邪、齊郡、上谷、漁陽、右北、平遼、西遼、東代郡、鋸鹿、邯鄲、上黨、太原、雲中、九原、鴈門、上郡、隴西、北地、漢中、巴郡、蜀郡、黔中、長沙、內史也。	105		
a020a011	v2#20	邑	郵		音尤。《說文》：云境上行書舍也。	106		
a020a012	v2#20	邑	郛		芳俱切。《左氏傳》曰：鄭人入其郛。杜預曰：郛郭也。	106		
a020a013	v2#20	邑	𨛍		所教切。大夫食邑。	106		
a020a021	v2#20	邑	𥨪		渠雄切。《說文》云：夏后時諸侯夷羿國也。《書》曰：有𥨪、后羿。	106		
a020a022	v2#20	邑	𨜒		姑戾切。周武王封黃帝後於𨜒。今作薊。	106		
a020a023	v2#20	邑	邰		土臺切。姜嫄、邑帝嚳元妃邰氏女也。	106		
a020a031	v2#20	邑	𨙸		渠離切。右扶風、美陽縣西有𨙸山。亦作歧。古作岐山。	107		
a020a032	v2#20	邑	郁		於六切。右扶風、郁夷縣。	107		
a020a033	v2#20	邑	䣝		杜胡切。左馮翊、有䣝陽亭。	107		
a020a041	v2#20	邑	郿		莫悲切。右扶風、縣名、郃陽有郿鄉。又音媚。	107		
a020a042	v2#20	邑	邠		補珉切。周太王國、在右扶風、郇邑。亦作豳。	107		
a020a043	v2#20	邑	𨝘		呼古切。地名。	107		
a020a051	v2#20	邑	鄠		胡古切。右扶風、縣名。	107		
a020a052	v2#20	邑	扈		胡古切。夏后同姓所封之國、在鄠有扈谷甘亭。	107		
a020a053	v2#20	邑	䢸		此諸切。右扶風、鄠鄉。	108		
a020a054	v2#20	邑	郝		呼各舒石二切。右扶風、盩厔鄉。	108		
a020a061	v2#20	邑	酆		孚弓切。酆在始平鄠縣東。	108		
a020a062	v2#20	邑	郖		徒透切。《說文》云：弘農縣、㡼地。又音兜。	108		
a020a063	v2#20	邑	𨚶		奴經奴顛二切。左馮翊、谷口鄉。	108		
a020a071	v2#20	邑	𨟄		扶園切。京兆杜陵有𨟄鄉。	108		
a020a072	v2#20	邑	𨞻		芳珠切。左馮翊、有𨞻鄉。	108		
a020a073	v2#20	邑	鄜		同上。	108		
a020a074	v2#20	邑	𨙫		音口。京兆藍田鄉也。	109		
a020a075	v2#20	邑	邮		與鳩切。左馮翊、高陵縣有邮亭。又音笛。	109		
a020a081	v2#20	邑	鄏		如蜀切。成王定鼎於郟鄏。	109		
a020a082	v2#20	邑	鄻		力衍切。《說文》云：周邑也。	109		
a020a083	v2#20	邑	鄆		爲慍切。魯地名。	109		
a020a084	v2#20	邑	𨝋		側界切。周邑名。	109		
a020a091	v2#20	邑	邙		莫旁切。河南洛陽北土山上邑也。	109		
a020a092	v2#20	邑	郗		敕梨切。周邑、在河內野王縣西南。	109		
a020a093	v2#20	邑	鄐		許六切。晉邑也。	109		
a020a094	v2#20	邑	鄩		似林切。河南鞏縣西有鄩中。	110		
a020a101	v2#20	邑	邶		蒲內切。紂城東曰衛、南曰鄘、北曰邶也。	110		
a020a102	v2#20	邑	鄁		同上。	110		
a020a103	v2#20	邑	邘		禹俱切。河內野王縣西有邘城。	110		
a020a104	v2#20	邑	𨛫		力奚切。《說文》曰：商諸侯國、在上黨東北。《書》曰：西伯戡𨛫。	110		
a020b011	v2#20	邑	邵		是照切。晉邑也。	110		
a020b012	v2#20	邑	鄇		胡豆切。晉地名。又音侯。	110		
a020b013	v2#20	邑	鄍		莫丁切。晉邑也。	110		
a020b014	v2#20	邑	邲		蒲必切。晉邑也。《春秋》曰：晉楚戰于邲。	111		
a020b021	v2#20	邑	郤		去戟切。晉大夫叔虎邑也。	111		
a020b022	v2#20	邑	𨜻		巨焉切。聚名、在河東聞喜。	111		
a020b023	v2#20	邑	𨞙		巨諸切。聚名。	111		
a020b024	v2#20	邑	鄈		渠惟切。河東臨汾地、即漢之所祭后土處。	111		
a020b031	v2#20	邑	邢		胡丁切。《左氏傳》：狄伐邢。杜預云：邢國在廣平、襄國縣。又輕干切。周公所封、地近河內。	111		
a020b032	v2#20	邑	郉		同上。	111		
a020b041	v2#20	邑	郱		蒲經切。地名、在東莞臨朐縣東南。	111		
a020b042	v2#20	邑	郇		相倫切。郇伯文王子也、今河東有郇城。	111		
a020b043	v2#20	邑	鄔		於古切。晉大夫司馬彌牟邑。又音烏。	111		
a020b051	v2#20	邑	鄴		魚怯切。魏郡有鄴縣。	112		
a020b052	v2#20	邑	祁		渠夷切。太原縣。《左氏傳》云：晉賈辛爲祁大夫。又多也。	112		
a020b053	v2#20	邑	邯		何安胡甘二切。趙國有邯鄲縣。	112		
a020b054	v2#20	邑	鄲		都闌切。邯鄲縣。	112		
a020b061	v2#20	邑	鄃		㡼娛切。清河郡鄃縣。又音輸。	112		
a020b062	v2#20	邑	鄗		許各切。常山縣、光武即位改爲高邑。	112		
a020b063	v2#20	邑	𨜑		輕彫切。鉅鹿郡有𨜑縣。	113		
a020b064	v2#20	邑	鄡		苦幺切。豫章郡有鄡陽縣。	113		
a020b071	v2#20	邑	郅		諸逸切。北地郡有郁郅縣。	113		
a020b072	v2#20	邑	鄚		亡各切。𣵠郡有鄚縣。	113		
a020b073	v2#20	邑	𨜛		所留切。狄國名、在夏爲防風氏。	113		
a020b074	v2#20	邑	鄋		同上。	113		
a020b081	v2#20	邑	邟		口盎古衡二切。《說文》曰：潁川縣。	113		
a020b082	v2#20	邑	鄦		欣呂切。甫侯所封在潁川。	113		
a020b083	v2#20	邑	郾		於獻切。潁川獻。又於幰切。	113		
a020b084	v2#20	邑	郟		古洽切。洛陽北地。又潁川縣名。	113		
a020b091	v2#20	邑	郪		七兮千私二切。新郪汝南縣。又廣漢有郪縣。	114		
a020b092	v2#20	邑	𨛖		苦怪切。《說文》云：汝南安陽鄉。	114		
a020b093	v2#20	邑	郙		方禹芳殊二切。汝南上蔡亭。	114		
a020b101	v2#20	邑	郋		胡雞切。汝南邵陵里。	114		
a020b102	v2#20	邑	𨝭		負弓切。國名。	114		
a020b103	v2#20	邑	鄧		徒亘切。南陽有鄧縣。	114		
a020b104	v2#20	邑	𨜷		蒲當切。汝南鮦陽亭。	114		
a020b105	v2#20	邑	鄎		思力切。汝南新鄎縣。	114		
a021a011	v2#20	邑	郹		古𨶑切。蔡邑也。	114		
a021a012	v2#20	邑	鄾		於牛切。鄧國地也。《春秋傳》曰：鄧南鄙鄾人攻之。	115		
a021a013	v2#20	邑	𨚙		胡高切。南陽鄉名。	115		
a021a014	v2#20	邑	酈		郎的切。又音蹢。南陽縣。	115		
a021a021	v2#20	邑	鄛		助交切。南陽棘陽鄉名。	115		
a021a022	v2#20	邑	𨟚		如羊切。南陽鄉。	115		
a021a023	v2#20	邑	䣚		力兜切。南陽𨟚縣鄉。	115		
a021a024	v2#20	邑	𨞛		公達切。《說文》云：南陽陰鄉。	115		
a021a031	v2#20	邑	䣁		于矩切。南陽舞陰亭。	115		
a021a032	v2#20	邑	𨛋		力止切。南陽西鄂縣亭。	115		
