# HDIC Project
# HDIC is an abbreviation of the Integrated Database of Hanzi Dictionaries in Early Japan
#
# YYP: Yuanben Yupian 原本玉篇 database
#
# *Yupian* 玉篇, original edition 原本. Gu Yewang 顧野王 of the Liang dynasty 梁, 543.
# This file is intended as a full-text entry-level dataset for the surviving old manuscript fragments preserved in Japan.
# The present transcription is still provisional and not yet fully proofread. Users must consult the facsimile reproductions
# and the published printed transcriptions when using the data for research purposes.
#
# Introduction to the *Yuanben Yupian* (YYP)
#
# The term Yuanben Yupian (原本玉篇, “original Yupian”) designates the tradition of Tang-dynasty manuscript copies of the Yupian,
# the lexicon compiled by Gu Yewang (顧野王) of the Liang dynasty. No complete scroll survives today; only fragments and partial
# rolls are extant. In Japan, surviving portions are today preserved in institutions such as the Daitōkyū Kinen Bunko, Waseda
# University, the Kyoto National Museum, Fujita Museum, Jingū Bunko, Daifukukō-ji, Kōzan-ji, and Ishiyama-dera. The current dataset
# contains 2,087 entry-level records. Known portions include juan 8 (Heart radical); juan 9, now divided among Waseda University,
# the Kyoto National Museum, and an untraced fragment; juan 18 latter portion (preserving radical 271 放部 through 274 工部,
# and radical 277 卜部 through 284 方部, including the 卜, 車, and 舟 sections); juan 19 (Water radical 285); juan 22
# (from radical 343 山部 through radical 356 厽部, ending at 參); juan 24 (Fish radical 397); and juan 27
# (from 糸部 425 through 索部 431). Many of these witnesses are designated
# National Treasures or Important Cultural Properties.
#
# As foundational resources for full-text transcription, the facsimile volumes published in the 1930s series Tōhō Bunka Sōsho
# (東方文化叢書) remain standard points of reference. Additional sources include the 1882 carved edition in Li Shichang and Yang
# Shoujing’s *Guyi Congshu* (古逸叢書), Luo Zhenyu’s 1917 facsimile edition, and the 1985 Zhonghua Shuju edition. The sectional
# sequence of juan 27 can be reconstructed by combining the Kōzan-ji and Ishiyama-dera manuscripts, while images of juan 9 are
# publicly available through Waseda University’s digital collection. Recent scholarship, notably Yao Yongming’s *Yuanben Yupian
# Canjuan Jiaozheng* (《原本玉篇殘卷校證》, 2023), has further advanced the collation and philological study of the surviving manuscripts.
#
# Version: 1.1.2
# Date: 23 May 2026
# Last update : 20 June 2026
#
# Copyright (c) 2026 HDIC project, IKEDA Shoju (Chair, Professor Emeritus, Hokkaido University)
# Contact: ikeda.shoju@gmail.com, liyuansapporo@yahoo.co.jp, toyjack@gmail.com
#
# Data License Information and Access Rights
# License:
# Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0)
# Access Rights (Availability):
# Open access
#
# File Format Information:
# Delimiter: Tab (\t)
# Encoding: UTF-8
# Header Row: The line immediately following these comment lines is the header row containing column names.
#
# Column Description:
# YYID              Item ID. Begins with `Y`, followed by volume and location-based numbering as assigned in the working data.
# YY_vol_radical    Volume and radical number, e.g. `v08#088`, `v27#425`.
# Entry             Headword.
# Lv_page           Page or location reference used in the Lü Hao (Lv Hao) 呂浩 reference framework.
# Yao_page          Page or location reference used in the Yao Yongming 姚永銘 reference framework; available only for a small portion of the dataset.
# YY_def            Definition of pronunciation, meaning, variants, and citations.
# YY_remarks        Editor's notes and structural notes in the working data.
# TBID              Cross-reference ID to `KTB.tsv` when available.
# SYID              Cross-reference ID to `SYP.tsv` when available; `△` indicates no direct correspondence was assigned in the current data.
# YY_img_filename   Image filename corresponding to the entry in the current image set; this refers to an internal working image set, not publicly released.
#
# Data Conventions:
# - Empty fields are represented by an empty string ("").
# - Cross-reference columns (`TBID`, `SYID`) preserve the current working values as-is.
# - `YY_def` retains punctuation, omission markers, and editorial signs exactly as entered in the source spreadsheet.
# - `YY_remarks` retains current editorial comments, including notes such as `重文`, `有再注字`, `字体注`, and `原本補入`.
#
# Primary Sources:
# - Surviving manuscript fragments of the original *Yupian* preserved in Japan, including vols. 8, 9, 18, 19, 22, 24, and 27.
# - Major holders include Kōzan-ji 高山寺, Ishiyama-dera 石山寺, Waseda University, Kyoto National Museum, Fujita Museum, Jingū Bunko, Dai Tōkyū Kinen Bunko, and Daifukukō-ji.
#
# Reproductions and Reference Editions:
# - 黎庶昌・楊守敬『古逸叢書』所収『原本玉篇』, 1882.
# - 羅振玉跋『原本玉篇残巻』, 1917.
# - 東方文化叢書第六所収の各巻影印, 東方文化学院, 1933-1935.
# - 『原本玉篇残巻』, 中華書局, 1985.
#
# Editions and annotated studies
# - Okai Shingo, *Gyokuhen no Kenkyū* (『玉篇の研究』), The Toyo Bunko, 1933.
# - Mabuchi Kazuo, “Gyokuhen Itsubun Hosei” (「玉篇佚文補正」), *Tokyo Bunrika Daigaku Kokugo Kokubun Gakkai Kiyō* (『東京文理科大学国語国文学会紀要』), 3: 1–153, 1952.
# - Kōzanji Tenseki Monjo Sōgō Chōsadan, *Kōzanji Kojisho Shiryō Daiichi* (『高山寺古辞書資料第一』), University of Tokyo Press, 1977.
# - Hu Jixuan, *Yupian Jiaoshi* (《玉篇校釋》), Shanghai Guji Chubanshe, 1989.
# - Zang Kehe, *Zhonggu Hanzì Liubian* (《中古漢字流變》), East China Normal University Press, 2008.
# - Lv Hao, *〈Yupian〉 Wenxian Kaoshu* (《〈玉篇〉文獻考述》), Shanghai People’s Publishing House, 2018.
# - Yao Yongming, *Yuanben Yupian Canjuan Jiaozheng* (《原本玉篇殘卷校證》), Zhejiang Guji Chubanshe, 2023.
#
# This work was supported by JSPS KAKENHI Grant Number 25370506, 16H03422, 19H00526, 23K17500 and 25K00466.
#
# Notes:
# - `Yao_page` remains a work-in-progress reference field.
#
YYID	YY_vol_radical	Entry	Lv_page	Yao_page	YY_def	YY_remarks	TBID	SYID	YY_img_filename
Y09203197-1	v09#112	⿱⿱小小⿱冖比	162		《聲類》：古文次字也。		3_031_A221		Y09a-31-03-1.jpg
Y09203197-2	v09#112	⿳艹冖死	162		《字書》：亦古文次字也。		3_031_A222		Y09a-31-03-2.jpg
Y09203197-3	v09#112	㱂	162		苦唐反。《榖梁傳》：四榖不升謂之㱂，劉兆曰，㱂虗也。《說文》：飢也，虗也。野王案大戴礼喪凶㱂色是也，凡器物空虗亦曰㱂。《毛詩》：酌彼㱂爵是也，水空虗為漮字。在水部，屋空為[宀/康]字。在宀部。		3_031_A31	a090a105	Y09a-31-03-3.jpg
Y09203199-1	v09#112	欺	162		去其反。《左氏傳》：背盟以欺大國。野王案欺猶妄也。《論語》：吾誰欺欺天乎是也。《蒼頡篇》：紿也。《字書》：欺詐也。ミダ		3_031_A32	a090b011	Y09a-31-05-1.jpg
Y09203200-1	v09#112	歆	163		義金反。《毛詩》：無然歆羡傳曰，歆羨，貪羨也。又曰履帝武敏歆，箋云歆歆然如人道感己也。《左氏傳》：能歆神人。杜預曰：歆享也。野王案祭祀鬼神賓客享宴之享亦曰歆也。《國語》：王歆大牢是也。《國語》：又曰民歆而德之賈逵曰，歆猶服也。又曰楚灾歆之。賈逵曰：歆貪也。《說文》：神食氣也。野王案《左氏傳》：神不歆非類是也。		3_031_A41	a090b012	Y09a-31-06-1.jpg
Y09203203-1	v09#112	欥	163		尤出反。《說文》：詮辭也，詩云，欥求厥寧是也。野王案今並為聿字。在聿部。《蒼頡篇》：喜皃也。		3_031_A42	a090b013	Y09a-31-09-1.jpg
Y09203204-1	v09#112	歠	163		昌悅反。《國語》：無不歠也。野王案：《說文》：歠飲也。《礼記》：無流歠是也。《蒼頡篇》：𠻜也。或為吷字。在口部也。		3_031_A51	a091a016	Y09a-31-10-1.jpg
Y09203205-1	v09#112	㱃	163		猗錦反。《周礼》：膳夫掌王之食飲。鄭玄曰：飲酒漿也。又曰酒正，掌四飲，一曰清，二曰醫，三曰漿，四曰酏。又曰漿人，掌王之六飲，一曰水，二曰漿，三曰醴，四曰涼，五曰醫，六曰酏也。《左氏傳》：欒寧飲酒。野王案《說文》：飲歠也，謂凡汁物可歠者也，喪服傳，蔬食水飲。《論語》：飯蔬食飲水曲肱而枕之是也，闕子，東面而射，飲羽於石樑。野王案飲羽謂沒羽也，又音猗鴆反。《左氏傳》：將飲馬於河。野王案以可飲之汁与人飲之曰飲，「酒我為女立之」《礼記》：爾飲調何也竝是也，古文為[今/水]字。在水部，或為飲字。在食部。		3_031_A52	a090b095	Y09a-31-11-1.jpg
Y09203210-1	v09#112	歛	163		呼濫呼甘二反。《蒼頡篇》：歛[乞+欠]也。《廣雅》：歛予也，歛欲也。		3_031_A61	a090b014	Y09a-32-01-1.jpg
Y09203210-2	v09#112	㰼	163		丘涉反。《埤倉》：㰼欲也。		3_031_B11	a091a022	Y09a-32-01-2.jpg
Y09203211-1	v09#112	㰥	163		呼字反。《埤倉》：欨㰥笑意也。《廣倉》：氣越息也。		3_031_B12	a090b022	Y09a-32-02-1.jpg
Y09203211-2	v09#112	弞	163		式忍反。《字書》：笑不壞顧也。野王案大笑也，或為哂字。在口部。		3_031_B21	a090b015	Y09a-32-02-2.jpg
Y09203212-1	v09#112	㰳	163		於訝反。《蒼頡篇》：欭㰳也，字指，欭㰳驢鳴也。《廣雅》：㰳，極也。		3_031_B22	a090b023	Y09a-32-03-1.jpg
Y09203212-2	v09#112	嗽	163		素豆反。《周礼》：冬時有欶，上氣疾。鄭玄曰：頰欬也。《蒼頡篇》：齊郡謂欶曰欬也	欶（嗽）	3_031_B31	△	Y09a-32-03-2.jpg
Y09203213-1	v09#112	㰰	164		呼洽反。《埤倉》：㰰㰨，久欬也。		3_031_B32	a090b024	Y09a-32-04-1.jpg
Y09203214-1	v09#112	㰨	164		呼飢反。《埤倉》：㰰㰨也。		3_031_B41	a090b025	Y09a-32-05-1.jpg
Y09203214-2	v09#112	㱄	164		呼勒反。《蒼頡篇》：㱄欬也。		3_031_B42	a090b031	Y09a-32-05-2.jpg
Y09203214-3	v09#112	㰦	164		丘庶反。《埤倉》：欠㰦，張口也。野王案：此亦与呿字同。呿，張口也。在口部。		3_031_B51	a090b032	Y09a-32-05-3.jpg
Y09203215-1	v09#112	㰤	164		丘暇反。《廣倉》：大笑也。《埤倉》：張口也。《廣雅》：㰤息也。		3_031_B52	a090b033	Y09a-32-06-1.jpg
Y09203215-2	v09#112	㰯	164		妨走他豆二反。《說文》：相与語唾而不受也。《蒼頡篇》：㰯詬也，亦㰯軟唾也。或為[丶/否]字。在丶部。		3_031_B61	a090b034	Y09a-32-06-2.jpg
Y09203216-1	v09#112	歖	164		虗紀反。《字書》：古文喜字也。喜樂也。在喜部。		3_031_B62	a090b035	Y09a-32-07-1.jpg
Y09203217-1	v09#112	欮	164		居月反。《山海經》：相柳之所抵欮為澤溪，禹殺相柳，其血腥不可以樹，禹欮之，三仞三沮。郭璞曰，欮掘也。《廣雅》：欮，穿也。《說文》：或厥字，厥發石也，其也，在厂部。		3_032_A11	a090b036	Y09a-32-08-1.jpg
Y09203218-1	v09#112	㰪	164		於佳居攜二反。《[字]書》：或哇字也。哇聲也，謳也，邪也。在口部。	古屋1984:25⑩に挙例。[字]は脱字。王三は「倿人居攜反」（上声養韻：枉,紆罔反、広韻は〓に作る)。「於佳」は平声佳韻、「居攜」は平声齊韻。	3_032_A12	a090b041	Y09a-32-09-1.jpg
Y09203219-1	v09#112	𣢲	164		丘凡反。《字書》：𣢲謂多智也。		3_032_A21	a090b042	Y09a-32-10-1.jpg
Y09203219-2	v09#112	𣣤	164		呼昆反。《字書》：𣣏𣣏不可知也。		3_032_A22	a090b043	Y09a-32-10-2.jpg
Y09203220-1	v09#112	歄	164		古華反。《字書》：歄歄𣢉猶媧[女+厄]也。		3_032_A31	a090b044	Y09a-32-11-1.jpg
Y09203220-2	v09#112	𣢉	164		五瓜反。《字書》：歄𣢉也。		3_032_A32	a090b045	Y09a-32-11-2.jpg
Y09203220-3	v09#112	𣢍	164		許脂反。廣倉𣢁，呻吟也。《字書》：或[尸/欠]字也，在尸部，或為[口+尸]字。在口部，或為[月+（尸/欠）]字。在肉部。		3_032_A41	a090b052	Y09a-32-11-3.jpg
Y09203221-1	v09#112	𣪳	164		許角反。《字書》：或嗀字也，嗀歐也，在口部。		3_032_A42	a090b054	Y09a-32-12-1.jpg
Y09203222-1	v09#112	𣢘	164		舒臣反。《字書》：古文呻字也，呻吟也，讀書也，在口部。		3_032_A51	a090b053	Y09a-32-13-1.jpg
Y09203222-2	v09#112	𣣈	164		丁念反。《字書》：或為唸字也，唸[尸/欠]，呻吟也，在口部。		3_032_A52	a090b103	Y09a-32-13-2.jpg
Y09203223-1	v09#112	㰫	164		恥南反。《字書》：古文貪字也，貪欲也，惏也。在貝部。		3_032_A61	a090b055	Y09a-32-14-1.jpg
Y09203223-2	v09#112	欹	164		於宜反。《廣雅》：欹〻歟〻訶也。《字書》：或猗字也。在犬部。		3_032_A62	a090b056	Y09a-32-14-2.jpg
Y09203224-1	v09#112	㰽	164		於建反。《廣倉》：大呼用力也。《聲類》：怒腹也，或為躽字。在身部。		3_032_B11	a090b062	Y09a-32-15-1.jpg
Y09203225-1	v09#112	㱊	165		於牛反。《老子》：佟日号而不㱊。野王案：㱊氣逆也。今並為嚘字。在口部。		3_032_B12	a090b061	Y09a-32-16-1.jpg
Y09203225-2	v09#112	肷	165		扶福反。今俗般字也，[服（月を舟に）]，衣服也，重服也。《說文》：為[服（月を舟に）]字。在舟部。		3_032_B21	△	Y09a-32-16-2.jpg
Y09203226-1	v09#112	㰬	165		思均反。《廣倉》：詩云，㰬㰭且樂。野王案：《毛詩傳》：㰬信也，許也，大也。亦為恂字。在心部。		3_032_B22	a090b063	Y09a-33-01-1.jpg
Y09203227-1	v09#112	㰭	165		虗娛反。廣倉樂喜也。		3_032_B31	a090b064	Y09a-33-02-1.jpg
Y09203229-1	v09#113	食	165	236	是力反。《尚書》：食哉惟時，鴻範八政，一曰食。孔安國曰：勤農業也。野王案此食謂五榖可食以護人命也。《論語》：足食足兵是也，凡口所嚼咀者皆曰食也。《尚書》：唯辟玉食。《左氏傳》：肉食者謀之是也。又曰乃卜澗水東湹水西，惟洛食。孔安國曰：卜必先墨畫龜，然後灼之，兆從食墨也。又曰朕弗食言。孔安國曰：食盡其言，僞不實也。《周礼》：与其食。鄭玄曰：行道曰糧，糧謂[米+葡]也，止居曰食，食謂米也，世本，黃帝作火食。《左氏傳》：不可食也。杜預曰：食消也。又曰功以食民。杜預曰：食養也。《礼記》：則擇不食之地。鄭玄曰：不食謂不耕墾也。《爾雅》：食僞也。《史記》：博之貴賤俊得使則食。野王案其相吞拜如人食也。又曰慈吏反。《周礼》：膳夫掌王之飲食。鄭玄曰：食飯也。野王案飯謂食也。《礼記》：食居人之左，我則食之，竝是也，以飲食設供於人亦曰食，為飲字也。		3_032_B51	a091a051	Y09a-33-04-1.jpg
Y09203235-1	v09#113	饙	165	238	甫云反。《毛詩》：可以饙饎。《傳》：曰：饙餾也。《尓雅》：饙稔也。郭璞曰：今呼脩(𩛢)飯為饙也。《字書》：一曰業米也。		3_032_B61	a091a053	Y09a-33-10-1.jpg
Y09203236-1	v09#113	𩞑	165	238	《說文》：；或饙字也。𩞑飧飯也。	飧：說文解字作滫。	3_032_B611	a091a054	Y09a-33-11-1.jpg
Y09203236-2	v09#113	餴	165	238	《說文》：亦饙字也。		3_032_B612	a091a061	Y09a-33-11-2.jpg
Y09203237-1	v09#113	餾	165	239	力救反。《尓雅》：餾稔也。郭璞曰：今呼飯熟為餾也。《說文》：飯氣業也。《方言》：自闗而東，或謂甑為䬰餾也。		3_032_B62	a091a062	Y09a-33-12-1.jpg
Y09203238-1	v09#113	𢕦	167	239	思流反。《蒼頡篇》：𢕦饙也。《廣雅》：饙謂之𢕦也。		3_033_A11	a091a063	Y09a-33-13-1.jpg
Y09203238-2	v09#113	飪	167	239	如甚反。周易鼎彖也，以木巽火亨飪也，王弼曰，飪熟也。《方言》：徐揚之間，謂熟曰飪。《說文》：大熟也。《字書》：或為腍字在肉部，或為[任/火]字。在火部。		3_033_A12	a091a065	Y09a-33-13-2.jpg
Y09203240-1	v09#113	饔	167	240	於恭反。《周礼》：內饔中士四人。鄭玄曰：饔者割亨煎和之稱也。又曰凡賓客之飧饔。鄭玄曰：飧者客始至之礼，饔者將幣之礼也，致礼於客莫盛於饔也。《說文》：熟食也，或為今雍字。在隹部。		3_033_A21	a091a067	Y09a-33-15-1.jpg
Y09203241-1	v09#113	𩛛	167	240	《說文》：籀文饔字也。		3_033_A222	a091a072	Y09a-33-16-1.jpg
Y09203242-1	v09#113	飴	167	240	翼之反。《毛詩》：堇荼如飴，箋云甘如飴也。《方言》：凡飴謂之餳自闗而東，陳楚宋衛之間通語也。《說文》：米糵煎也。		3_033_A22	a091a068	Y09a-33-17-1.jpg
Y09203243-1	v09#113	𩞫	167	241	《說文》：亦飴字也。		3_033_A221	a091a071	Y09a-34-01-1.jpg
Y09203243-2	v09#113	䬮	167	241	《字書》：亦飴字也。		3_033_A223	a091a073	Y09a-34-01-2.jpg
Y09203243-3	v09#113	饊	167	241	先但反。《說文》：熬稻張餭也。野王案以膏煎乾飯也。		3_033_A31	a091a074	Y09a-34-01-3.jpg
Y09203244-1	v09#113	餳	167	242	徒當反。淮南曾子見餳可以養老，盜跖見餳可以黏扗須也。《方言》：凡飴謂之餳，自闗而東陳楚宋衛之間通語也。《說文》：飴饊和也。		3_033_A32	a091a075	Y09a-34-02-1.jpg
Y09203245-1	v09#113	餠	167	242	卑井反。墨子見人作餅而遝然竊之。《漢書》：宣帝微時，每買餅，家輒大讎也。《說文》：[麥+舌]餈也。《廣雅》：餅飤也。《釋名》：胡餅，蒸餅，湯餅，蠋餅，髓餅，金餅，索餅，各隨形而名之也，鄭衆注考工記，闗東謂餅音補管反。		3_033_A41	a091a076	Y09a-34-03-1.jpg
Y09203247-1	v09#113	餈	167	243	徐[利/尒]反。《周礼》：羞邊之[米+（血/哉）]餌粉餈鄭衆曰謂乾餌餅之也。鄭玄曰：合蒸曰餅餅之曰餈。《方言》：餅或謂之餈《說文》：稻餅也或為粢字。在米部。		3_033_A42	a092a104	Y09a-34-05-1.jpg
Y09203248-1	v09#113	䭣	167	243	《說文》：或餈字也。		3_033_A422	△	Y09a-34-06-1.jpg
Y09203248-2	v09#113	餱	167	243	胡溝反。《毛詩》：乾餱以⿰信于。《傳》：曰：餱食也。《說文》：乾食也。《周書》：庤乃餱糧是也。		3_033_A51	a091a081	Y09a-34-06-2.jpg
Y09203249-1	v09#113	饘	167	244	之延反。左式傳納橐饘為。杜預曰：饘糜也。《說文》：周謂之饘衛謂之也，或為⿰米睪（𥼷），在米部。ノエンタン		3_033_A52	a091a082	Y09a-34-07-1.jpg
Y09203250-1	v09#113	餥	167	245	甫鬼甫韋二反。《尓雅》：餥食也。《方言》：陳楚之内，相謁而食麦饘曰餥。《說文》：餥餱也。		3_033_A61	a091a084	Y09a-34-08-1.jpg
Y09203251-1	v09#113	饎	167	245	死志反。《毛詩》：吉蠲為饎傳曰，饎酒食也。《爾雅》：彑云。郭璞曰猶今時之饎饌皆語而兼通者也。《毛詩》：又曰大饎果果戔云饎[禾/米]稷也，韓詩大饎大祭也。《儀礼》：饎舞在東璧。鄭玄曰：炊[禾/米]稷也。《方言》：饎熟自阿以北氣熟曰饎或為糦字。在米部。		3_033_A62	a091a085	Y09a-34-09-1.jpg
Y09203253-1	v09#113	𩝮	167	245	周礼𩝮人掌凡祭礼共盛鄭衆曰主炊之官也，或作饎。《說文》：此彑饎字也。		3_033_B11	a091a091	Y09a-34-11-1.jpg
Y09203254-1	v09#113	籑	168	246	仕眷反礼俱饌千西[孰/云]。鄭玄曰：饌陳也，俱具也。《論語》：有酒食先生饌馬融曰饌飲食也。《廣雅》：進也。《方言》：自開以西秦晉之間凡取物而[祥（ネを之に）]謂之䉵《漢書》：或以為撰字在手部。		3_033_B12	a091b014	Y09a-34-12-1.jpg
Y09203256-1	v09#113	饌	168	246	《說文》：彑䉵䉵(!)字也。		3_033_B111	a092b013	Y09a-34-14-1.jpg
Y09203256-2	v09#113	𩟪	168	247	子旦反。《說文》：以義澆飯也。野王案九思時混混子澆饌是也。		3_033_B21	a091a092	Y09a-34-14-2.jpg
Y09203257-1	v09#113	䬤	168	247	《字書》：古文饡字也。		3_033_B211	a091a093	Y09a-34-15-1.jpg
Y09203257-2	v09#113	養	168	247	餘掌反。《尚書》：德惟善政，〻在養民。野王案：謂畜養之也。《毛詩》：遵養時晦。《傳》：曰：養取也，夏小正時有養長也曰之也。野王案：此長養之養音猪雨反。又曰：時有養夜，養者長也。《公羊傳》：斯伇尾養。何烋曰：炊者曰養汲水漿者伇刈草為防者曰斯也。《礼記》：生太傳少傳以養之。鄭玄曰：養猶敬也。言養者積侵成長之也。盖子君子之所養可知已矣。劉熙曰：養猪守也。《說文》：足食。《蒼頡篇》：養育也。《廣雅》：養樂也，養使也，養餝也。古文為䍩字，在攵部。又音餘尚反。《孝經》：以養父母曰嚴也。野王案：具珎羞以供養尊者也。《國語》：祭養尸饗養上賓。《礼記》：生則敬養，死則敬辛是也。		3_033_B22	a091a094	Y09a-34-15-2.jpg
Y09203263-1	v09#113	飯	168	248	扶脕反。《礼記》：飯黍黃梁⿰禾⿱胥頁秬。鄭玄曰月諸飯也。又曰：文王一飯亦一飯。野王案：《說文》：飯食也，謂食飯也。又曰：飯无着是也。今亦以為飯字。	広韻上声阮韻「扶晩切」（めしの意）、去声願韻「符万切」（くらうの意）。「飯黍黃梁⿰禾⿱胥頁秬」は礼記内則に「飯：黍，稷，稻，粱，白黍，黃粱，稰，穛。」の「黃粱，稰，穛」による。「鄭玄曰月諸飯也」の「月」は十三経注疏「目」に作る。「又曰：文王一飯亦一飯」は礼記文王世子の冒頭部分に見える一文で「くらう」の意。	3_033_B212	a091a102	Y09a-35-06-1.jpg
Y09203264-1	v09#113	𩚖	168	248	女又反。《楚辞》：芳与澤其雜釼。王逸曰𩚖雜也。《說文》：雜飯也。為米字，在米部。		3_033_B31	a091a101	Y09a-35-07-1.jpg
Y09203265-1	v09#113	𩞧	168	248	舍掌反。《說文》：盡食也。		3_033_B32	a091a105	Y09a-35-08-1.jpg
Y09203265-2	v09#113	𩞃	168	250	《說文》：或𩞃字也。		3_033_B321	a091a106	Y09a-35-08-2.jpg
Y09203265-3	v09#113	餐	168	250	薭昆反。《周礼》：司儀之職掌致餐如致精之礼。鄭玄曰：食也小礼曰餐大礼曰饔《毛詩》：有𩞧蒕餐傳曰餐享食也，謂[禾/示]稷也。《說文》：餐[食+肴]也。《字書》：飲澆飯食也。	注文の間に朱筆があり、内容確認できず。李媛2014.8.8	3_033_B41	a092a084*	Y09a-35-08-3.jpg
Y09203267-1	v09#113	湌	168	250	《說文》：今湌字也。		3_033_B51	a092a086	Y09a-35-10-1.jpg
Y09203267-2	v09#113	餔	169	250	補湖反。《國語》：親載以行國之摶子无不餔也。野王案：《廣雅》：餔食也。《楚辞》：餔其糟歠其醏是也。《尚書大傳》：春食餔子。鄭玄曰：餔子小子也。《說文》：曰：加申時也。野王案：今為脯字，在日部。古文為盙字，在皿部。		3_033_B42	a091a107	Y09a-35-10-2.jpg
Y09203270-1	v09#113	飧	169	251	旦舟反。《周礼》：賓賜之餐。鄭玄曰：喰久食也。《礼記》：君未覆手不敢喰鄭玄曰飧勸食也。《說文》：食吞也，韓詩不素飧子无功而食[禾+彖]謂之素飧人俱有質朴无治民之杖落位食[禾+彖]多得，君之加賜名日素飧素者質也，飧者食之加惡小人君加賜溫飽，故喰言之也。		3_033_B51	a092a085*	Y09a-35-13-1.jpg
Y09203272-1	v09#113	䭑	169	252	力兼反。《說文》：䭑喚也，一日廣潔也。		3_033_B52	a091b011	Y09a-35-15-1.jpg
Y09203272-2	v09#113	饁	169	252	為輙反。《毛詩》：饁彼南畝。《戔》：云：饁饋也。《韓詩》：鉤田也。《國語》：其妻饁之。賈逵曰：野饋曰饁也。		3_033_B61	a091b012	Y09a-35-15-2.jpg
Y09203273-1	v09#113	饟	169	252	式尚式章二反。《尓雅》：饟饋也。野王案：《毛詩》：其饟伊黍是也。《說文》：周人謂餉曰饟也。		3_033_B62	a091b013	Y09a-35-16-1.jpg
Y09203274-1	v09#113	餉	169	253	式尚反。書乃葛伯仇餉。孔安國曰：日見農民於餉田者与其人集其餉曰仇餉也。《說文》：饟也。《廣雅》：餉貴也。		3_034_A11	a091b014	Y09a-36-01-1.jpg
Y09203275-1	v09#113	饋	169	253	渠愧反。《周礼》：兌王之饙。鄭玄曰：進物於[首/寸]者曰饋也。《儀礼》：侍彖饋食。鄭玄曰：饋猶[自+反]也。又曰性甠饋食之礼。鄭玄曰：祭祀自熱始曰饋食也。《說文》：餉也，蒼頡篇祭遺也。		3_034_A12	a092b061	Y09a-36-02-1.jpg
Y09203277-1	v09#113	餽	169	254	《說文》：吳人謂祭口饋也。《蒼頡篇》：餽饟也。《聲類》：彑饋字也。		3_034_A21	a092a101	Y09a-36-04-1.jpg
Y09203277-2	v09#113	饛	169	254	莫東反。《毛詩》：有饛蒕喰。《傳》：曰：饛蒕蒕皃也。《韓詩》：為[（歹+阝）/皿]字。在四部。		3_034_A22	a091b021	Y09a-36-04-2.jpg
Y09203278-1	v09#113	饗	169	254	穴掌反。《周礼》：上公饗礼九獻俟伯饗礼七献子男饗礼五献。鄭玄曰：饗說盛礼以飲賓也。野王案：《毛詩》：鍾皷既設一朝饗之是也。《公羊傳》：饗齊俟于祀丘。何烋曰：牛角曰橋加飯羹曰饗。《儀礼》：机(执)奠祝饗。鄭玄曰：勸強之也，神明歆饗食為享字，在辛部。		3_034_A31	a091b022	Y09a-36-05-1.jpg
Y09203281-1	v09#113	飵	170	255	似故反。《方言》：陳楚之郊，南楚之外，相謁而餐曰飵也。又曰：飵，食也，楚謂相謁食麥為飵也。		3_034_A32	a091b023	Y09a-36-08-1.jpg
Y09203281-2	v09#113	䬯	170	255	仁三女兼二反。《方言》：南楚之外，相謁而餐曰䬯也。		3_034_A41	a091b024	Y09a-36-08-2.jpg
Y09203282-1	v09#113	䭡	170	256	於寸於恨二反。《方言》：相謁而喰也，秦晉之際，河陰之間曰䭡䭓，此真秦語也。郭璞曰，今闗西呼食欲飽為䭡䭓，食也。		3_034_A42	a091b031	Y09a-36-09-1.jpg
Y09203283-1	v09#113	䭓	170	256	五恨五寸二反。《說文》：䭡䭓也。《廣雅》：䭓，食也。		3_034_A51	a091b032	Y09a-36-10-1.jpg
Y09203284-1	v09#113	餫	170	257	胡問反。《左氏傳》：宣伯餫諸榖。杜預曰：野饋曰餫也。		3_034_A52	a091b033	Y09a-36-11-1.jpg
Y09203284-2	v09#113	餬	170	257	戶徒反。《爾雅》：餬饘也。郭璞曰，即糜也。《方言》：餬寄食也，齊衛。郭璞曰傳曰，餬予口于四方是也，餬口之餬。《說文》：為鬻字。在鬻部，網黏之餬為糊字。在黍部，或為糊字。在米部。		3_034_A61	a091b034	Y09a-36-11-2.jpg
Y09203286-1	v09#113	𩚩	170	257	《字書》：亦為餬字。	画像修正	3_034_A611	a091b041	Y09a-36-13-1.jpg
Y09203286-2	v09#113	飶	170	258	蒲結反。《毛詩》：有飶其香。《傳》：曰飶，芳香也。《說文》：食之香也。《聲類》：或為苾字。在艸部，或為咇字。在口部，或為馝字。在香部，或為𪏺字。在黍部。		3_034_A62	a091b042	Y09a-36-13-2.jpg
Y09203287-1	v09#113	飫	170	258	於據反。《尚書》：序作汨作九共，稾飫，范甯集解曰，槀，勞也，飫，賜也，勞賜下士，故曰槀飫也。《毛詩》：如日宜飫。《傳》：曰，飫飽也。《左氏傳》：加膳則飫賜。杜預曰：飫厭也，宴私之飫為醧字。在酉部。		3_034_B11	a092a091	Y09a-36-14-1.jpg
Y09203289-1	v09#113	𩜏	170	259	《字書》：亦為飫字。		3_034_B111	a092a092	Y09a-36-16-1.jpg
